normalized_position	All_Reads.normalized_coverage
0	0.184222
1	0.268116
2	0.380867
3	0.471523
4	0.550956
5	0.618194
6	0.674607
7	0.726254
8	0.771408
9	0.814162
10	0.850213
11	0.879936
12	0.903851
13	0.924544
14	0.93975
15	0.960656
16	0.981269
17	1.000598
18	1.012316
19	1.026038
20	1.034038
21	1.040368
22	1.049304
23	1.053907
24	1.055599
25	1.059645
26	1.061599
27	1.059528
28	1.056164
29	1.060303
30	1.061407
31	1.06111
32	1.059386
33	1.057919
34	1.059469
35	1.060273
36	1.069247
37	1.079149
38	1.082709
39	1.087791
40	1.092304
41	1.094759
42	1.101025
43	1.101846
44	1.100684
45	1.09802
46	1.103665
47	1.111392
48	1.123432
49	1.136166
50	1.144516
51	1.146549
52	1.146641
53	1.159768
54	1.158612
55	1.153165
56	1.157257
57	1.168739
58	1.173732
59	1.165563
60	1.161431
61	1.161667
62	1.168168
63	1.175294
64	1.166807
65	1.160551
66	1.158362
67	1.1628
68	1.160405
69	1.14109
70	1.131156
71	1.117177
72	1.112091
73	1.108878
74	1.105117
75	1.099071
76	1.098912
77	1.093163
78	1.080245
79	1.069638
80	1.061351
81	1.054334
82	1.047418
83	1.039135
84	1.028717
85	1.016742
86	1.002008
87	0.987552
88	0.969677
89	0.951946
90	0.938756
91	0.924606
92	0.911231
93	0.892593
94	0.868522
95	0.838732
96	0.800413
97	0.751481
98	0.696252
99	0.631811
100	0.583016
