normalized_position	All_Reads.normalized_coverage
0	0.789214
1	0.862295
2	0.934815
3	0.996633
4	1.02927
5	1.049204
6	1.060372
7	1.057716
8	1.050185
9	1.036526
10	1.033246
11	1.019014
12	1.002382
13	0.990246
14	0.982121
15	0.98894
16	0.987675
17	0.992447
18	0.990762
19	0.983775
20	0.987692
21	1.000609
22	1.004545
23	0.999264
24	0.991056
25	0.989965
26	0.984352
27	0.969287
28	0.96974
29	0.967463
30	0.953691
31	0.954867
32	0.97315
33	0.971796
34	0.970613
35	0.972862
36	0.973447
37	0.979177
38	0.97446
39	0.980999
40	0.989047
41	0.99867
42	1.003185
43	1.006962
44	1.008679
45	0.986518
46	0.981382
47	0.97875
48	0.984305
49	0.975185
50	0.969518
51	0.961665
52	0.956437
53	0.957915
54	0.950997
55	0.952642
56	0.957568
57	0.948806
58	0.948647
59	0.942976
60	0.940414
61	0.950513
62	0.960168
63	0.955659
64	0.964165
65	0.973259
66	0.963889
67	0.965367
68	0.958631
69	0.958273
70	0.968105
71	0.983796
72	0.985152
73	0.991827
74	0.994996
75	0.993647
76	0.995121
77	1.005452
78	1.009165
79	1.024482
80	1.02968
81	1.022604
82	1.021444
83	1.027466
84	1.031739
85	1.039268
86	1.03418
87	1.025642
88	1.032398
89	1.04306
90	1.052868
91	1.055432
92	1.071401
93	1.080929
94	1.099476
95	1.107837
96	1.124242
97	1.146689
98	1.155866
99	1.184976
100	1.164997
