normalized_position	All_Reads.normalized_coverage
0	0.749881
1	0.82227
2	0.895367
3	0.965005
4	1.005483
5	1.028097
6	1.043229
7	1.045845
8	1.043007
9	1.031022
10	1.028227
11	1.01457
12	1.001623
13	0.990201
14	0.982007
15	0.993038
16	0.993613
17	0.997539
18	0.996959
19	0.990119
20	0.995281
21	1.003808
22	1.005412
23	0.994498
24	0.993077
25	0.993645
26	0.989588
27	0.974041
28	0.974747
29	0.976545
30	0.959794
31	0.957862
32	0.977726
33	0.974226
34	0.975088
35	0.97864
36	0.980742
37	0.984153
38	0.978231
39	0.982683
40	0.989848
41	0.998333
42	1.002581
43	1.00416
44	1.000959
45	0.978939
46	0.974018
47	0.970122
48	0.978628
49	0.97163
50	0.970426
51	0.966172
52	0.960747
53	0.963048
54	0.957053
55	0.957895
56	0.960409
57	0.950243
58	0.947387
59	0.942297
60	0.939198
61	0.945505
62	0.953478
63	0.949431
64	0.958221
65	0.966152
66	0.957767
67	0.959666
68	0.953917
69	0.953557
70	0.960584
71	0.978808
72	0.980405
73	0.989547
74	0.993609
75	0.992086
76	0.991311
77	1.001061
78	1.00588
79	1.022531
80	1.035579
81	1.033766
82	1.030029
83	1.038119
84	1.046822
85	1.054801
86	1.048725
87	1.039018
88	1.044614
89	1.052228
90	1.058506
91	1.060523
92	1.081823
93	1.091253
94	1.11182
95	1.121588
96	1.13692
97	1.156821
98	1.165303
99	1.194925
100	1.17846
