normalized_position	All_Reads.normalized_coverage
0	0.149062
1	0.21455
2	0.310214
3	0.39794
4	0.474842
5	0.54424
6	0.612794
7	0.67324
8	0.725883
9	0.777736
10	0.822786
11	0.86133
12	0.891451
13	0.915588
14	0.936369
15	0.956177
16	0.976297
17	0.998795
18	1.01781
19	1.03498
20	1.04598
21	1.062195
22	1.079108
23	1.085174
24	1.087166
25	1.095376
26	1.100115
27	1.093406
28	1.087978
29	1.089687
30	1.09049
31	1.090395
32	1.093088
33	1.094679
34	1.097694
35	1.096898
36	1.094889
37	1.098072
38	1.101778
39	1.104876
40	1.106506
41	1.102608
42	1.093732
43	1.093856
44	1.092186
45	1.094603
46	1.09817
47	1.106515
48	1.120362
49	1.133585
50	1.141848
51	1.145002
52	1.146237
53	1.156823
54	1.151038
55	1.148465
56	1.150128
57	1.159638
58	1.158421
59	1.150737
60	1.15089
61	1.156193
62	1.163009
63	1.167438
64	1.161902
65	1.160317
66	1.16013
67	1.160719
68	1.15615
69	1.143286
70	1.134482
71	1.119782
72	1.112913
73	1.112064
74	1.10943
75	1.102301
76	1.100169
77	1.096112
78	1.086221
79	1.080524
80	1.07428
81	1.067834
82	1.056828
83	1.052194
84	1.043073
85	1.032977
86	1.019021
87	1.004212
88	0.990649
89	0.977673
90	0.962612
91	0.945616
92	0.924215
93	0.899236
94	0.869976
95	0.8348
96	0.789112
97	0.732204
98	0.675803
99	0.612186
100	0.562135
