normalized_position	All_Reads.normalized_coverage
0	0.40456
1	0.444703
2	0.48936
3	0.527879
4	0.601613
5	0.658164
6	0.734498
7	0.774214
8	0.805335
9	0.805235
10	0.82236
11	0.877338
12	0.90163
13	0.908674
14	0.909518
15	0.911468
16	0.916568
17	0.919636
18	0.938399
19	0.952218
20	0.972269
21	0.994494
22	1.02257
23	1.03703
24	1.040482
25	1.049136
26	1.055733
27	1.044482
28	1.039744
29	1.057335
30	1.056608
31	1.061364
32	1.073515
33	1.0782
34	1.083766
35	1.097663
36	1.086112
37	1.084187
38	1.109907
39	1.115132
40	1.095519
41	1.114165
42	1.135869
43	1.105696
44	1.087888
45	1.093753
46	1.110258
47	1.120003
48	1.121442
49	1.110986
50	1.106512
51	1.111066
52	1.10134
53	1.106228
54	1.101652
55	1.097996
56	1.061694
57	1.049118
58	1.054586
59	1.03777
60	1.046651
61	1.040179
62	1.035354
63	1.061405
64	1.098634
65	1.082543
66	1.086019
67	1.096466
68	1.090613
69	1.06513
70	1.050532
71	1.04856
72	1.048895
73	1.050648
74	1.072573
75	1.076727
76	1.082784
77	1.074706
78	1.066601
79	1.06998
80	1.078233
81	1.083257
82	1.096485
83	1.083666
84	1.059642
85	1.052213
86	1.060447
87	1.067925
88	1.05098
89	1.045632
90	1.048596
91	1.035235
92	1.010952
93	1.026737
94	1.015403
95	0.977655
96	0.936552
97	0.894539
98	0.815523
99	0.726199
100	0.664792
