normalized_position	All_Reads.normalized_coverage
0	0.428258
1	0.491893
2	0.572284
3	0.641517
4	0.702269
5	0.752527
6	0.795164
7	0.832777
8	0.86149
9	0.88846
10	0.912146
11	0.93541
12	0.949004
13	0.962029
14	0.966571
15	0.964464
16	0.964157
17	0.967733
18	0.971976
19	0.97508
20	0.97817
21	0.982694
22	0.986558
23	0.99276
24	1.001148
25	1.005462
26	1.011684
27	1.015443
28	1.021067
29	1.022164
30	1.028958
31	1.030651
32	1.034391
33	1.037293
34	1.040325
35	1.053374
36	1.060112
37	1.059859
38	1.059659
39	1.057079
40	1.053899
41	1.056886
42	1.058694
43	1.058251
44	1.058181
45	1.056929
46	1.054208
47	1.051579
48	1.053211
49	1.060559
50	1.059302
51	1.057856
52	1.066031
53	1.071072
54	1.073677
55	1.075389
56	1.075891
57	1.082898
58	1.086797
59	1.085082
60	1.087168
61	1.088652
62	1.093446
63	1.094355
64	1.098278
65	1.102509
66	1.107102
67	1.111219
68	1.113281
69	1.10904
70	1.105121
71	1.099041
72	1.090406
73	1.080122
74	1.069667
75	1.064261
76	1.062851
77	1.061949
78	1.062287
79	1.063991
80	1.065909
81	1.065398
82	1.065456
83	1.069643
84	1.065623
85	1.057152
86	1.047615
87	1.041106
88	1.032253
89	1.022031
90	1.011188
91	0.999162
92	0.985346
93	0.968869
94	0.952863
95	0.925746
96	0.897346
97	0.871195
98	0.838295
99	0.796973
100	0.761122
