normalized_position	All_Reads.normalized_coverage
0	0.432858
1	0.496265
2	0.569106
3	0.614157
4	0.66682
5	0.720143
6	0.755686
7	0.796399
8	0.825552
9	0.854565
10	0.871775
11	0.891661
12	0.90589
13	0.924946
14	0.932294
15	0.952177
16	0.974814
17	0.985124
18	0.982037
19	0.989942
20	1.004066
21	1.019075
22	1.025969
23	1.043222
24	1.046404
25	1.036505
26	1.056504
27	1.060316
28	1.055051
29	1.059303
30	1.065715
31	1.080572
32	1.05397
33	1.057489
34	1.061268
35	1.084103
36	1.082594
37	1.083862
38	1.09808
39	1.094392
40	1.095363
41	1.076496
42	1.059804
43	1.052147
44	1.039831
45	1.035386
46	1.037545
47	1.026346
48	1.041282
49	1.048058
50	1.073339
51	1.085246
52	1.088432
53	1.076952
54	1.096609
55	1.108433
56	1.109008
57	1.099193
58	1.098032
59	1.09791
60	1.125006
61	1.132745
62	1.137866
63	1.149055
64	1.162064
65	1.172888
66	1.18584
67	1.198815
68	1.197163
69	1.194678
70	1.209506
71	1.186054
72	1.185806
73	1.164508
74	1.14362
75	1.118668
76	1.082926
77	1.055463
78	1.060647
79	1.055492
80	1.060724
81	1.048686
82	1.052097
83	1.043092
84	1.027681
85	1.036415
86	1.010579
87	0.991773
88	0.978839
89	0.968083
90	0.946548
91	0.913142
92	0.869099
93	0.838776
94	0.807602
95	0.786531
96	0.756935
97	0.740743
98	0.707673
99	0.668563
100	0.630639
