normalized_position	All_Reads.normalized_coverage
0	0.779065
1	0.853067
2	0.927059
3	0.99122
4	1.023632
5	1.04525
6	1.053962
7	1.051606
8	1.049852
9	1.041276
10	1.035835
11	1.015926
12	0.998984
13	0.985175
14	0.979833
15	0.989026
16	0.988524
17	0.995035
18	0.994126
19	0.985753
20	0.993416
21	1.006215
22	1.008346
23	0.996161
24	0.988447
25	0.989568
26	0.983646
27	0.969549
28	0.96961
29	0.970206
30	0.959027
31	0.957035
32	0.974647
33	0.970015
34	0.966576
35	0.967084
36	0.968076
37	0.972033
38	0.966354
39	0.974106
40	0.981071
41	0.989124
42	0.994093
43	0.994511
44	0.99441
45	0.974526
46	0.972729
47	0.973105
48	0.982049
49	0.976564
50	0.974555
51	0.965881
52	0.960794
53	0.964124
54	0.956833
55	0.960855
56	0.970738
57	0.960405
58	0.951478
59	0.940247
60	0.934108
61	0.942665
62	0.952153
63	0.951305
64	0.961271
65	0.969344
66	0.959762
67	0.9605
68	0.955677
69	0.956421
70	0.961174
71	0.974945
72	0.975791
73	0.985548
74	0.988794
75	0.988227
76	0.990697
77	1.002894
78	1.005694
79	1.022702
80	1.034072
81	1.025367
82	1.025808
83	1.032389
84	1.038403
85	1.041458
86	1.036958
87	1.027627
88	1.03587
89	1.043942
90	1.047538
91	1.047645
92	1.068212
93	1.079167
94	1.101183
95	1.119822
96	1.15257
97	1.190553
98	1.203555
99	1.210753
100	1.189229
