normalized_position	All_Reads.normalized_coverage
0	0.75866
1	0.831327
2	0.905564
3	0.973443
4	1.014441
5	1.037157
6	1.051095
7	1.055216
8	1.054302
9	1.043641
10	1.04001
11	1.024953
12	1.010531
13	0.99686
14	0.986941
15	0.994923
16	0.99308
17	1.002107
18	1.001678
19	0.995013
20	1.001806
21	1.012647
22	1.011816
23	0.997025
24	0.99079
25	0.989706
26	0.984883
27	0.971892
28	0.972507
29	0.969692
30	0.954304
31	0.952776
32	0.969193
33	0.966248
34	0.964424
35	0.966836
36	0.968873
37	0.974695
38	0.970317
39	0.976896
40	0.985484
41	0.994005
42	0.999392
43	1.0021
44	1.000691
45	0.984468
46	0.979787
47	0.973958
48	0.981633
49	0.976297
50	0.974144
51	0.967839
52	0.962198
53	0.963515
54	0.956627
55	0.954513
56	0.95677
57	0.947351
58	0.946124
59	0.94071
60	0.93883
61	0.945258
62	0.954289
63	0.950088
64	0.95747
65	0.962847
66	0.954657
67	0.959639
68	0.952857
69	0.951584
70	0.957548
71	0.975193
72	0.977254
73	0.985807
74	0.987901
75	0.986827
76	0.988454
77	0.997591
78	1.001458
79	1.018301
80	1.028265
81	1.024804
82	1.024742
83	1.032358
84	1.03633
85	1.040954
86	1.038584
87	1.031244
88	1.03643
89	1.046709
90	1.056375
91	1.060993
92	1.081444
93	1.093525
94	1.117137
95	1.130647
96	1.147349
97	1.16845
98	1.177033
99	1.204407
100	1.187376
