normalized_position	All_Reads.normalized_coverage
0	0.375187
1	0.431036
2	0.503134
3	0.568038
4	0.628712
5	0.683523
6	0.731622
7	0.770249
8	0.803138
9	0.837302
10	0.861609
11	0.88571
12	0.9099
13	0.926464
14	0.939025
15	0.946245
16	0.95485
17	0.963754
18	0.967299
19	0.97599
20	0.979219
21	0.987318
22	0.989842
23	0.997268
24	1.013617
25	1.02449
26	1.025843
27	1.020046
28	1.018429
29	1.017602
30	1.019329
31	1.023958
32	1.025127
33	1.02934
34	1.035708
35	1.043463
36	1.047912
37	1.045931
38	1.053643
39	1.048651
40	1.042406
41	1.041236
42	1.038348
43	1.031657
44	1.037322
45	1.040218
46	1.044107
47	1.041176
48	1.032717
49	1.037633
50	1.034088
51	1.038605
52	1.053792
53	1.065546
54	1.068969
55	1.068266
56	1.064891
57	1.069824
58	1.072426
59	1.072563
60	1.072374
61	1.071179
62	1.080735
63	1.079304
64	1.082447
65	1.087119
66	1.092628
67	1.096518
68	1.101413
69	1.107333
70	1.110864
71	1.112155
72	1.107649
73	1.10177
74	1.097379
75	1.095573
76	1.095837
77	1.091196
78	1.091589
79	1.095365
80	1.102738
81	1.10981
82	1.122218
83	1.132063
84	1.134687
85	1.132035
86	1.130344
87	1.119863
88	1.100184
89	1.0859
90	1.077797
91	1.06209
92	1.045446
93	1.029787
94	1.014628
95	0.97975
96	0.942558
97	0.904108
98	0.852584
99	0.7883
100	0.741778
