normalized_position	All_Reads.normalized_coverage
0	0.169394
1	0.251983
2	0.358928
3	0.447363
4	0.527274
5	0.59445
6	0.652806
7	0.706839
8	0.752651
9	0.795924
10	0.833055
11	0.860166
12	0.881252
13	0.908004
14	0.931762
15	0.945953
16	0.961785
17	0.981066
18	0.99609
19	1.011785
20	1.025983
21	1.037454
22	1.048571
23	1.058431
24	1.067462
25	1.082947
26	1.092742
27	1.088344
28	1.085923
29	1.092595
30	1.095625
31	1.096052
32	1.093116
33	1.091854
34	1.094314
35	1.09464
36	1.099395
37	1.105289
38	1.109792
39	1.113176
40	1.116057
41	1.113942
42	1.112147
43	1.114763
44	1.117655
45	1.12176
46	1.127776
47	1.135369
48	1.141521
49	1.145496
50	1.152656
51	1.152144
52	1.157774
53	1.168857
54	1.16012
55	1.149206
56	1.145948
57	1.155094
58	1.156655
59	1.147704
60	1.143076
61	1.147947
62	1.157806
63	1.166279
64	1.162223
65	1.162834
66	1.165371
67	1.168709
68	1.161634
69	1.139865
70	1.125803
71	1.11107
72	1.101675
73	1.092135
74	1.084654
75	1.078502
76	1.08138
77	1.080151
78	1.06767
79	1.065008
80	1.057911
81	1.048007
82	1.039162
83	1.031476
84	1.019313
85	1.00697
86	0.995137
87	0.985495
88	0.971534
89	0.956536
90	0.942896
91	0.927533
92	0.908417
93	0.888603
94	0.865108
95	0.833399
96	0.79424
97	0.73991
98	0.687142
99	0.62709
100	0.586857
