bacteria_OG	read_count_sum	RPK_sum	TPM	LIBID
2Z7I5	12	19.41747572815534	13.281883345977937	MBM166
2Z7ID	2	1.8726591760299625	1.2809306972244638	MBM166
2Z7J1	142	197.49535099953513	135.09017598746283	MBM166
2Z7JK	77	76.162215628091	52.09624966219141	MBM166
2Z7JT	14	13.645224171539962	9.333565197319778	MBM166
2Z7JY	14	17.348203221809168	11.866465789900982	MBM166
2Z7K9	906	671.1111111111111	459.0514037333219	MBM166
2Z7KF	166	251.5151515151515	172.04063746176573	MBM166
2Z7KS	16	27.67216674787397	18.928232269799153	MBM166
2Z7MA	16	11.825572801182558	8.088892739900828	MBM166
2Z7MD	107	130.17031630170317	89.038708245756	MBM166
2Z7NG	68	47.22222222222222	32.30080241501023	MBM166
2Z7PA	8	8.547008547008547	5.846299079639861	MBM166
2Z7RJ	59	115.68627450980392	79.13137754265483	MBM166
2Z7RU	26	37.518037518037524	25.662975180756796	MBM166
2Z7VJ	2	7.168458781362006	4.9033476151818185	MBM166
2Z803	17	14.951627088830255	10.227166991559969	MBM166
2Z805	49	72.895900147352	49.862034371095035	MBM166
2Z80V	610	794.3283166109253	543.3340660411169	MBM166
2Z82F	233	338.7400980761977	231.70398306353894	MBM166
2Z82H	38	33.805579337899545	23.123590702272967	MBM166
2Z82N	276	377.4443650604641	258.17835935598447	MBM166
2Z895	152	156.25159936537182	106.87874904275746	MBM166
2Z89M	833	881.4814814814815	602.9483117468577	MBM166
2Z89P	43	22.751322751322753	15.562291359612775	MBM166
2Z89T	193	243.68686868686868	166.68595898655013	MBM166
2Z89X	4	0.057971014492753624	0.03965315897494862	MBM166
2Z8AE	28	12.89134438305709	8.817898611832497	MBM166
2Z8AH	9	15.589975379414252	10.663808069336483	MBM166
2Z8GB	756	773.452407837791	529.0545897102155	MBM166
2Z8IX	16	28.955797565663033	19.80625756102975	MBM166
2Z8K9	55	86.47798742138365	59.15241285767689	MBM166
2Z8KK	157	73.50187265917603	50.27652986606021	MBM166
2Z8M7	321	232.60869565217394	159.10830038698137	MBM166
2Z8PW	4	7.4074074074074066	5.066792535687879	MBM166
2Z8TA	4	7.8920332492761744	5.398284846442467	MBM166
2Z8VT	13	20.422629653045195	13.969425710497593	MBM166
2Z8VW	1	3.9215686274509802	2.6824195777171127	MBM166
2Z8VZ	488	474.2468415937804	324.39289820322404	MBM166
2Z8W6	33	33.43465045592705	22.869869044062312	MBM166
2Z8WK	185	135.34716537789834	92.57976098053852	MBM166
2Z8ZC	12	7.4074074074074066	5.066792535687879	MBM166
2Z913	44	40.072859744990886	27.410516996344263	MBM166
2Z927	19	38.25241476364102	26.16530169552118	MBM166
2Z92K	89	67.57782839787396	46.22438292808647	MBM166
2Z932	1770	2783.458443227159	1903.9328725780047	MBM166
2Z94B	6	9.900990099009901	6.772445468493701	MBM166
2Z95J	90	82.19178082191782	56.2205747110573	MBM166
2Z95M	8	16.75341574495771	11.459621048916716	MBM166
2Z96Y	139	185.49510692279813	126.88180512701292	MBM166
2Z97R	13	12.820512820512821	8.769448619459792	MBM166
2Z9BC	40	32.92181069958848	22.519077936390577	MBM166
2Z9DS	425	0.963718820861678	0.6592000492859231	MBM166
2Z9EC	29	18.447837150127224	12.618634082199776	MBM166
2Z9JM	55	127.41046831955923	87.15092532975537	MBM166
2Z9ND	18	11.25703564727955	7.700003665867134	MBM166
2Z9QP	15	0.040983606557377046	0.028033483291715726	MBM166
2Z9XS	148	182.71604938271605	124.9808825469677	MBM166
2ZA1Z	34	22.092267706302795	15.111486509946308	MBM166
2ZA26	145	138.0952380952381	94.45948941532404	MBM166
2ZA90	19	0.06484641638225255	0.04435605069638024	MBM166
2ZADB	157	431.3854245560886	295.0749606346204	MBM166
2ZAF1	41	33.57903357903358	22.9686295536711	MBM166
2ZAF5	31	36.773428232502965	25.153649776813495	MBM166
2ZAG0	107	101.32575757575758	69.3085399412987	MBM166
2ZAGZ	103	139.00134952766533	95.07928503203775	MBM166
2ZAK6	2	0.028985507246376812	0.01982657948747431	MBM166
2ZAKY	72	54.66970387243736	37.39500641373287	MBM166
2ZAQJ	347	319.5211786372007	218.5579155932769	MBM166
2ZAS3	16	45.899393227637496	31.395964904783526	MBM166
2ZAV8	1	4.62962962962963	3.166745334804925	MBM166
2ZAVY	36	72.91961570210321	49.87825621352711	MBM166
2ZB20	2	0.02040816326530612	0.013959530455466607	MBM166
2ZB22	110	60.40637012630423	41.31898361063428	MBM166
2ZB4X	106	144.21768707482994	98.64734855196403	MBM166
2ZB58	1455	1818.969966270446	1244.2063654448366	MBM166
2ZB6Z	439	687.0109546165884	469.9271668662632	MBM166
2ZB92	15	19.011406844106464	13.004125329236954	MBM166
2ZB9T	509	804.1074249605056	550.0231423219474	MBM166
2ZBAE	23	22.351797862001945	15.289009546463427	MBM166
2ZBIE	134	89.87256874580818	61.47436416538816	MBM166
2ZBKK	8	18.560606060606062	12.695769933172473	MBM166
2ZBMB	2	4.830917874396135	3.304429914579052	MBM166
2ZBPQ	66	67.90123456790124	46.44559824380557	MBM166
2ZBQ0	12	29.411764705882355	20.11814683287835	MBM166
2ZBSM	16	0.08743169398907104	0.05980476435566022	MBM166
2ZBTK	7	12.681159420289854	8.67412852577001	MBM166
2ZBV4	35	90.43927648578811	61.862001889212486	MBM166
2ZBVG	1	3.663003663003663	2.5055567484170833	MBM166
2ZBVY	60	121.54108131119625	83.13616488154538	MBM166
2ZC43	13	11.64775413711584	7.967261752127931	MBM166
2ZC5Z	35	60.7638888888889	41.56353251931465	MBM166
