feature	lfc_(Intercept)	lfc_regionCh	lfc_mol_typeRNA	lfc_region:mol_type	se_(Intercept)	se_regionCh	se_mol_typeRNA	se_region:mol_type	W_(Intercept)	W_regionCh	W_mol_typeRNA	W_region:mol_type	p_(Intercept)	p_regionCh	p_mol_typeRNA	p_region:mol_type	q_(Intercept)	q_regionCh	q_mol_typeRNA	q_region:mol_type	diff_(Intercept)	diff_regionCh	diff_mol_typeRNA	diff_regionCh:mol_typeRNA	passed_ss_(Intercept)	passed_ss_regionCh	passed_ss_mol_typeRNA	passed_ss_region:mol_type
2Z7RS	-0.4782358318166254	0.3645837580873122	-0.3088060999053575	0.39832377325204765	0.22392564155846262	0.2794729274175877	0.3697212221012792	0.45260896734969264	-2.1356903501011844	1.3045405201003677	-0.8352403958590319	0.880061602810217	0.03628553977619202	0.19751412584032849	0.4071559862807108	0.38277312007776776	0.10158832938881494	0.46188309736406286	0.4909107014413083	0.5838504743481981	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
2Z7SI	-1.1175538717836921	-1.2988334860372617	2.964943664683983	0.20391217020152316	0.3212494494893639	0.38065645729929787	0.45149880339069387	0.576779871645247	-3.4787728774635385	-3.412088409723287	6.566891523117368	0.35353551714602993	0.0010161588940048032	0.0014351410632773775	7.6713098388462e-8	0.7255150832657968	0.007212346525026279	0.006862240294671039	5.783721982233835e-7	0.8474234552082905	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
2Z7U4	-0.1526749873822612	-0.04390882144509571	0.36075921279343853	-1.040942871974567	0.19666451879816957	0.24420877634036592	0.3018627391184819	0.383092866048883	-0.7763219736598578	-0.17980034175306542	1.1951101147725278	-2.7172076648426593	0.4402502216953973	0.8579827821503343	0.23747402305757467	0.008958446729714825	0.6124053618785198	0.9823427928793574	0.31403951957468207	0.05070871560090915	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
2Z7VY	-0.5662156379046657	0.7072530020163584	-1.7139286348359237	0.4576058531713624	0.20555013426918056	0.2588225111987678	0.43607409054736973	0.500494770041494	-2.7546352130481773	2.732579166860836	-3.930361083100725	0.914306962954726	0.007712576321027895	0.008977781097407468	2.507980817103824e-4	0.3650021950004493	0.0336869018637204	0.03902542644495065	7.939026384455833e-4	0.5687898699106486	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
2Z83I	-0.5124739826679164	0.6802613741526504	-1.2038709247492514	0.20233398959710724	0.1995932369470907	0.22403451752875528	0.3481388787826173	0.40567690168294246	-2.567591920981601	3.0364132351405964	-3.4580191932569675	0.49875649502776415	0.012910734494033264	0.003980871033514024	0.0011808555502638713	0.6203858085519673	0.048568953572791805	0.018358483928667468	0.0030651636211849343	0.7829310253014785	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
2Z89R	-0.23039942745359326	0.4578674873829788	-1.8073143999287828	0.8034451269908938	0.1938943094496916	0.2374934210370775	0.3349057356730649	0.4038997026905267	-1.1882732820138457	1.9279165097861657	-5.396486854119106	1.9892194067954143	0.2391221753418473	0.05951037761501132	1.6444579026683766e-6	0.05207330272047855	0.4068211541162327	0.1814267720242879	8.73678365248082e-6	0.17109799465300093	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
2Z8UC	-0.34412266011246506	0.6452716785651637	-1.9160104692791664	0.15395269125332725	0.23848498804167734	0.2625806358630245	0.4527000393535693	0.5148787317127377	-1.4429531306697032	2.4574229415065107	-4.232406235296828	0.2990076726245917	0.1546889851188027	0.01798433299071798	1.0918570384946271e-4	0.766311184417338	0.29837567511769053	0.0704257177675314	0.00038146378725018623	0.8762664707906251	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
2Z90C	-0.4740309029018945	0.27661293344700305	0.5050327262645676	-0.39307374453442273	0.202248003274459	0.24994214342822982	0.3086332362039046	0.38739339460061345	-2.3438100511608746	1.106707855077796	1.6363523659224695	-1.0146630015198517	0.02189571872479184	0.27306525309491536	0.10745738562080888	0.3148262308429782	0.06931101206088287	0.576259657228178	0.16004104071558173	0.5242944353682631	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
2Z980	-2.60092889516118	0.5956128161076353	3.703521629937744	0.17054641981709706	0.3695689642890331	0.41096598214005275	0.7417597766260358	0.826291517161705	-7.037736245425202	1.449299557608291	4.9928854956028506	0.20639981928281273	6.4552641515687244e-9	0.1561100710002485	2.0570662474126488e-5	0.8378205291127131	2.6699479690032293e-7	0.3885643822019884	8.39930195853659e-5	0.9209436790065333	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
2Z9GU	0.035062355921634036	0.22811615739460125	-1.6222289837044002	-0.024959112868550674	0.17396415296106496	0.22348270436502202	0.3231207108701261	0.38767446631266955	0.2015493153321154	1.0207329378921925	-5.02050450228315	-0.06438162695094936	0.8409083113844911	0.31122402001718485	4.379797643663332e-6	0.948867032956981	0.9041008294589469	0.6290256333384037	2.0997605062100987e-5	0.9781350372712772	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
