#Transcript position	Transcript coverage profile
0.0	5050.2304462822485
1.0	6529.412106374368
2.0	7469.174430584379
3.0	7585.329051514663
4.0	7911.242303410928
5.0	8313.894226376608
6.0	9166.745758440558
7.0	10097.659148720088
8.0	11347.174291400032
9.0	13112.982243892964
10.0	14905.97891418698
11.0	15981.75150535416
12.0	16609.446923022344
13.0	17255.48699412048
14.0	18275.487834435604
15.0	18781.926612851494
16.0	19233.290459156055
17.0	19729.638325061856
18.0	20049.515888934024
19.0	20287.605568216717
20.0	21566.554861575692
21.0	22483.680748000355
22.0	23619.217765131638
23.0	24947.791273324197
24.0	26686.194421921384
25.0	28527.30205319615
26.0	29164.84738470467
27.0	30087.429775194338
28.0	29972.559209443163
29.0	29686.893668517365
30.0	31213.321151977667
31.0	33192.33945866889
32.0	34231.06384465857
33.0	36712.08961798476
34.0	39677.00072013736
35.0	42314.75221571349
36.0	42565.49471864694
37.0	43273.60194882761
38.0	43714.626490266244
39.0	43758.480655250285
40.0	44323.7574706491
41.0	45338.6439312485
42.0	45375.54844611448
43.0	45381.46582423924
44.0	45036.25628049419
45.0	44120.67700881657
46.0	43781.46029115372
47.0	43226.9057467779
48.0	43284.70226543785
49.0	43031.51624105586
50.0	42460.345432512426
51.0	41233.50515686134
52.0	39631.00424200336
53.0	39395.155138693306
54.0	38956.85363882261
55.0	37264.538398794015
56.0	35670.25943468573
57.0	35139.182519509486
58.0	32853.75000128609
59.0	30559.021317518844
60.0	28670.97381100326
61.0	28683.265610583476
62.0	28555.422477139167
63.0	27522.166527047604
64.0	27044.960437338977
65.0	26257.261315722873
66.0	26783.972886357733
67.0	27889.02766394411
68.0	27687.776406594938
69.0	26682.612346663936
70.0	26590.036170044434
71.0	25132.67426704488
72.0	23708.555305390746
73.0	23282.762798005246
74.0	22814.805475045312
75.0	22269.631173261754
76.0	21777.94005811285
77.0	21740.01695004636
78.0	21656.548998459086
79.0	21350.92686565605
80.0	21750.809906014558
81.0	22008.563965783305
82.0	21916.421159290934
83.0	21716.8347154076
84.0	20872.73751060129
85.0	20080.552461807274
86.0	19098.912859629276
87.0	18245.922036628846
88.0	17104.01058302226
89.0	15993.107591842409
90.0	14767.082503389714
91.0	12318.019761212305
92.0	10086.860983157034
93.0	8747.140367348897
94.0	7591.583210702363
95.0	5881.426853390288
96.0	4016.28267193615
97.0	2644.6795014948852
98.0	1346.97787462559
99.0	206.33397123558757
