73.27	6359753	5834	356628787	16213112	D	2	 Bacteria	MHS475
21.92	1902503	0	102436015	5337419	D	2759	 Eukaryota	MHS475
0.00	345	0	5317	2910	D	2157	 Archaea	MHS475
0.09	7699	0	334781	15599	D	10239	 Viruses	MHS475
93.63	5333425	2555	309790993	4340163	D	2	 Bacteria	MHS474
4.91	279463	0	14893511	2162339	D	2759	 Eukaryota	MHS474
0.00	36	0	1235	825	D	2157	 Archaea	MHS474
0.03	1670	0	71855	10207	D	10239	 Viruses	MHS474
91.27	1379194	633	79446593	3296298	D	2	 Bacteria	MHS473
5.21	78729	0	4407340	1645236	D	2759	 Eukaryota	MHS473
0.00	43	0	459	311	D	2157	 Archaea	MHS473
0.02	278	0	12605	6220	D	10239	 Viruses	MHS473
89.58	9749285	23394	475203848	20976473	D	2	 Bacteria	MHS477
0.05	5925	0	267225	159588	D	2759	 Eukaryota	MHS477
0.01	894	41	18454	6124	D	2157	 Archaea	MHS477
0.14	15044	0	294853	9236	D	10239	 Viruses	MHS477
86.96	9465024	14150	514724956	25916894	D	2	 Bacteria	MHS476
3.61	393093	0	20929347	4417719	D	2759	 Eukaryota	MHS476
0.02	2015	0	23228	12065	D	2157	 Archaea	MHS476
0.12	13405	0	572402	21459	D	10239	 Viruses	MHS476
46.84	5575107	24599	273933988	18793074	D	2	 Bacteria	MHS499
45.38	5401791	0	289862347	6143704	D	2759	 Eukaryota	MHS499
0.04	5006	4	68242	36657	D	2157	 Archaea	MHS499
0.03	3018	0	99950	11761	D	10239	 Viruses	MHS499
97.93	8086544	10636	465440140	4681795	D	2	 Bacteria	MHS498
0.66	54100	0	2867551	1363338	D	2759	 Eukaryota	MHS498
0.00	370	0	5228	3578	D	2157	 Archaea	MHS498
0.09	7145	0	305505	7773	D	10239	 Viruses	MHS498
65.90	1537852	4267	83559234	6741163	D	2	 Bacteria	MHS497
8.28	193149	0	7035198	3060370	D	2759	 Eukaryota	MHS497
0.03	612	0	5722	3142	D	2157	 Archaea	MHS497
0.02	518	0	5965	1705	D	10239	 Viruses	MHS497
80.12	13615593	79120	595416665	30960266	D	2	 Bacteria	MHS501
0.61	104090	10	1413289	389791	D	2157	 Archaea	MHS501
0.25	42913	0	1973406	1166367	D	2759	 Eukaryota	MHS501
0.03	5080	0	64313	10585	D	10239	 Viruses	MHS501
82.61	2063083	3606	111986059	11544431	D	2	 Bacteria	MHS484
1.80	44880	0	1703623	944686	D	2759	 Eukaryota	MHS484
0.01	321	0	7664	4898	D	2157	 Archaea	MHS484
0.08	1889	0	66614	13195	D	10239	 Viruses	MHS484
97.84	9032520	2814	527758085	7889197	D	2	 Bacteria	MHS483
0.25	23406	0	888245	598852	D	2759	 Eukaryota	MHS483
0.00	134	0	2906	1808	D	2157	 Archaea	MHS483
0.01	1163	0	44387	9850	D	10239	 Viruses	MHS483
75.30	9852781	52091	466241043	22771450	D	2	 Bacteria	MHS486
0.29	38102	0	1121206	435776	D	2759	 Eukaryota	MHS486
0.03	3955	4	37662	13956	D	2157	 Archaea	MHS486
0.10	13146	0	354667	18256	D	10239	 Viruses	MHS486
80.99	6646266	12692	359562872	22838699	D	2	 Bacteria	MHS485
1.70	139561	0	5122231	1765399	D	2759	 Eukaryota	MHS485
0.01	835	3	11863	5793	D	2157	 Archaea	MHS485
0.05	4039	0	128849	19232	D	10239	 Viruses	MHS485
85.69	7946656	0	433557227	7461966	D	2759	 Eukaryota	MHS504
11.51	1067433	4831	49889735	11566989	D	2	 Bacteria	MHS504
0.00	341	0	5917	2827	D	2157	 Archaea	MHS504
0.01	613	0	21753	9713	D	10239	 Viruses	MHS504
50.66	718056	0	37567506	4858309	D	2759	 Eukaryota	MHS503
40.60	575479	1958	27914581	7369726	D	2	 Bacteria	MHS503
0.01	153	0	2053	1244	D	2157	 Archaea	MHS503
1.21	17146	0	856119	10958	D	10239	 Viruses	MHS503
71.06	2360535	0	130065270	5703946	D	2759	 Eukaryota	MHS502
22.65	752211	3430	36701980	8977682	D	2	 Bacteria	MHS502
0.01	394	0	4044	2626	D	2157	 Archaea	MHS502
0.01	380	0	11910	6898	D	10239	 Viruses	MHS502
63.41	5293243	26636	244896131	22460781	D	2	 Bacteria	MHS505
22.99	1918669	0	99788493	8982389	D	2759	 Eukaryota	MHS505
0.02	1785	1	21788	7109	D	2157	 Archaea	MHS505
0.04	3158	0	112777	15857	D	10239	 Viruses	MHS505
88.28	5459530	19218	284293047	10168365	D	2	 Bacteria	MHS508
2.53	156696	0	8311862	2345864	D	2759	 Eukaryota	MHS508
0.02	1165	0	12705	5210	D	2157	 Archaea	MHS508
0.02	1200	1	55128	9909	D	10239	 Viruses	MHS508
51.46	2319366	12916	95450020	8549367	D	2	 Bacteria	MHS507
19.22	866393	0	48747130	3881397	D	2759	 Eukaryota	MHS507
0.02	843	0	7086	2578	D	2157	 Archaea	MHS507
0.01	291	0	7835	3912	D	10239	 Viruses	MHS507
77.18	10960872	60526	521094008	20366412	D	2	 Bacteria	MHS448
4.85	688322	0	36617683	4900524	D	2759	 Eukaryota	MHS448
0.04	6270	9	53791	13306	D	2157	 Archaea	MHS448
0.77	109754	4	511814	11293	D	10239	 Viruses	MHS448
96.10	15689841	5881	907522189	6715246	D	2	 Bacteria	MHS447
1.87	304930	0	16585700	2346107	D	2759	 Eukaryota	MHS447
0.00	305	0	4989	2652	D	2157	 Archaea	MHS447
0.05	8216	0	383811	10217	D	10239	 Viruses	MHS447
82.74	9830179	11544	548035971	9023707	D	2	 Bacteria	MHS446
9.33	1107941	0	61480435	6861234	D	2759	 Eukaryota	MHS446
0.01	877	3	8415	3992	D	2157	 Archaea	MHS446
0.02	2173	0	29292	7662	D	10239	 Viruses	MHS446
58.97	8950673	123421	281818545	38898480	D	2	 Bacteria	MHS450
0.29	44373	0	1542974	809317	D	2759	 Eukaryota	MHS450
0.08	12834	8	114232	42589	D	2157	 Archaea	MHS450
0.03	5195	0	66434	19840	D	10239	 Viruses	MHS450
86.99	13629260	34655	684374784	31937188	D	2	 Bacteria	MHS449
1.72	269097	0	13435157	3215110	D	2759	 Eukaryota	MHS449
0.02	3575	4	34441	10610	D	2157	 Archaea	MHS449
0.03	4155	0	138443	13135	D	10239	 Viruses	MHS449
51.99	3545654	14036	160110379	14376500	D	2	 Bacteria	MHS592
37.25	2540691	0	132654804	5942672	D	2759	 Eukaryota	MHS592
0.02	1242	2	11749	4524	D	2157	 Archaea	MHS592
0.02	1215	0	39234	8924	D	10239	 Viruses	MHS592
60.88	141584	1181	7413312	2253734	D	2	 Bacteria	MHS513
32.56	75720	0	4083369	1911920	D	2759	 Eukaryota	MHS513
0.01	16	0	181	153	D	2157	 Archaea	MHS513
0.01	21	0	665	492	D	10239	 Viruses	MHS513
80.55	12572928	26239	687304990	11745003	D	2	 Bacteria	MHS452
15.08	2353878	0	125826795	3889397	D	2759	 Eukaryota	MHS452
0.01	897	0	13269	4236	D	2157	 Archaea	MHS452
0.15	24082	0	550812	7234	D	10239	 Viruses	MHS452
88.26	3101063	1629	176642708	3473273	D	2	 Bacteria	MHS451
8.88	312068	0	16614093	4049585	D	2759	 Eukaryota	MHS451
0.00	56	0	906	619	D	2157	 Archaea	MHS451
0.00	29	0	1062	533	D	10239	 Viruses	MHS451
92.97	9268769	17552	485598555	18321093	D	2	 Bacteria	MHS454
0.22	22057	0	742928	435760	D	2759	 Eukaryota	MHS454
0.01	694	1	9620	4714	D	2157	 Archaea	MHS454
0.10	10311	0	239871	5304	D	10239	 Viruses	MHS454
83.78	11651630	16014	634114013	19391767	D	2	 Bacteria	MHS453
3.18	442520	0	21804477	3874870	D	2759	 Eukaryota	MHS453
0.01	1833	0	16504	5073	D	2157	 Archaea	MHS453
0.02	2263	0	61329	10434	D	10239	 Viruses	MHS453
50.62	526141	4309	29156039	3993759	D	2	 Bacteria	MHS517
44.95	467193	0	24967668	4697754	D	2759	 Eukaryota	MHS517
0.00	51	0	634	483	D	2157	 Archaea	MHS517
0.02	258	0	10473	3866	D	10239	 Viruses	MHS517
84.59	10232680	35268	515338757	33984879	D	2	 Bacteria	MHS521
0.27	32512	2	305896	143995	D	2157	 Archaea	MHS521
0.12	13975	0	317770	199000	D	2759	 Eukaryota	MHS521
0.04	4877	1	80957	8588	D	10239	 Viruses	MHS521
98.96	16844104	1740	994632037	3463665	D	2	 Bacteria	MHS493
0.78	133247	0	7286551	1837421	D	2759	 Eukaryota	MHS493
0.00	19	0	2359	1663	D	2157	 Archaea	MHS493
0.03	4550	0	205454	9123	D	10239	 Viruses	MHS493
80.51	5019275	4047	245505192	6731656	D	2	 Bacteria	MHS492
10.99	685086	0	35871241	4763450	D	2759	 Eukaryota	MHS492
0.00	222	0	4566	1347	D	2157	 Archaea	MHS492
0.01	340	0	14563	6730	D	10239	 Viruses	MHS492
92.48	7893034	15864	440702056	22049760	D	2	 Bacteria	MHS495
1.20	102461	0	4872695	1963389	D	2759	 Eukaryota	MHS495
0.00	352	0	5495	3082	D	2157	 Archaea	MHS495
0.14	11766	0	511897	16221	D	10239	 Viruses	MHS495
92.70	10174099	3160	522401972	11037838	D	2	 Bacteria	MHS525
4.31	473461	0	25147026	3435858	D	2759	 Eukaryota	MHS525
0.00	224	0	6779	2882	D	2157	 Archaea	MHS525
0.01	924	0	38181	12057	D	10239	 Viruses	MHS525
97.55	14644020	7489	828795629	3145015	D	2	 Bacteria	MHS523
1.49	223931	0	11955994	2096815	D	2759	 Eukaryota	MHS523
0.00	30	0	3053	1903	D	2157	 Archaea	MHS523
0.01	840	0	33025	9881	D	10239	 Viruses	MHS523
47.49	2308952	0	121671382	7087108	D	2759	 Eukaryota	MHS530
41.55	2019848	15630	90795606	17181830	D	2	 Bacteria	MHS530
0.02	881	0	9696	5174	D	2157	 Archaea	MHS530
0.03	1617	0	36523	10783	D	10239	 Viruses	MHS530
87.66	12001301	5807	677652006	6878169	D	2	 Bacteria	MHS529
10.22	1398550	0	75660954	4422694	D	2759	 Eukaryota	MHS529
0.00	213	0	5184	3207	D	2157	 Archaea	MHS529
0.07	9828	0	101717	7402	D	10239	 Viruses	MHS529
60.93	2736318	11812	135663567	6230949	D	2	 Bacteria	MHS528
24.61	1105384	0	59889173	4541862	D	2759	 Eukaryota	MHS528
0.01	605	0	4966	2359	D	2157	 Archaea	MHS528
0.02	734	0	11171	3189	D	10239	 Viruses	MHS528
72.59	6041970	20985	288616707	26195514	D	2	 Bacteria	MHS532
18.67	1554096	0	80286628	4886854	D	2759	 Eukaryota	MHS532
0.01	1242	1	17603	8396	D	2157	 Archaea	MHS532
0.03	2629	0	60591	10424	D	10239	 Viruses	MHS532
63.61	3359612	18769	159697410	20562443	D	2	 Bacteria	MHS531
18.47	975548	0	51951224	6446981	D	2759	 Eukaryota	MHS531
0.02	1171	0	11819	6696	D	2157	 Archaea	MHS531
0.06	3159	3	52547	12946	D	10239	 Viruses	MHS531
85.07	1116315	4361	59789327	9747942	D	2	 Bacteria	MHS457
2.25	29509	0	1388591	859920	D	2759	 Eukaryota	MHS457
0.01	175	0	1727	1064	D	2157	 Archaea	MHS457
0.04	515	0	15970	6873	D	10239	 Viruses	MHS457
76.19	464059	2363	26136553	2399271	D	2	 Bacteria	MHS456
0.45	2720	0	133866	103136	D	2759	 Eukaryota	MHS456
0.01	32	0	304	197	D	2157	 Archaea	MHS456
0.05	281	0	12298	4739	D	10239	 Viruses	MHS456
79.85	520196	278	30009912	2221514	D	2	 Bacteria	MHS455
17.63	114876	0	6348298	2744729	D	2759	 Eukaryota	MHS455
0.00	6	0	194	157	D	2157	 Archaea	MHS455
