1	 Peptacetobacter
2	 Desulfosporosinus
1	 Desulfitobacterium
1	 Syntrophobotulus
1	 Thermaerobacter
1	 Mogibacterium
1	 Intestinimonas
2	 Heliorestis
1	 Alkalibacter
1	 Christensenella
1	 Petrocella
2	 Halanaerobium
1	 Moorella
1	 Natranaerobius
68	 Veillonella
2	 Megasphaera
10	 Selenomonas
3	 Pectinatus
2	 Methylomusa
308	 Calothrix
40	 Nostoc
1	 Richelia
6	 Scytonema
2	 Brasilonema
2	 Anabaenopsis
2	 Sphaerospermopsis
1	 Microchaete
1	 Rivularia
1	 Tolypothrix
18	 Leptolyngbya
7	 Pseudanabaena
5	 Crinalium
3	 Oscillatoria
1	 Geitlerinema
1	 Planktothrix
3	 Microcystis
2	 Crocosphaera
1	 Gloeothece
1	 Gloeocapsa
10	 Synechococcus
6	 Acaryochloris
1	 Cyanobium
14	 Chroococcidiopsis
2	 Stanieria
2	 Pleurocapsa
3	 Anthocerotibacter
1	 Gloeobacter
131	 Deinococcus
4	 Meiothermus
3	 Thermus
2	 Marinithermus
1	 Oceanithermus
3	 Truepera
9	 Dehalogenimonas
8	 Roseiflexus
5	 Pelolinea
3	 Anaerolinea
5	 Candidatus Promineofilum
3	 Ktedonosporobacter
1	 Sphaerobacter
1	 Thermomicrobium
2	 Caldilinea
1	 Thermobaculum
1	 Tepidiforma
4	 Spiroplasma
2	 Mycoplasma
1	 Chthonomonas
1	 Fimbriimonas
166927	 Vibrio
2	 Photobacterium
2	 Aliivibrio
1	 Grimontia
42896	 Plesiomonas
2269	 Klebsiella
353	 Escherichia
45	 Enterobacter
25	 Pluralibacter
20	 Salmonella
13	 Citrobacter
10	 Cedecea
6	 Candidatus Doolittlea
1	 Candidatus Symbiopectobacterium
6	 Leclercia
4	 Raoultella
4	 Cronobacter
3	 Buttiauxella
3	 Kluyvera
2	 Candidatus Moranella
1	 Atlantibacter
1	 Candidatus Schneideria
1	 Kosakonia
1	 Lelliottia
71	 Pantoea
16	 Mixta
15	 Erwinia
7	 Tatumella
4	 Buchnera
78	 Edwardsiella
3	 Hafnia
29	 Serratia
8	 Yersinia
1	 Rahnella
1	 Nissabacter
10	 Proteus
4	 Xenorhabdus
3	 Morganella
3	 Photorhabdus
2	 Providencia
1	 Arsenophonus
10	 Pectobacterium
9	 Dickeya
2	 Brenneria
1	 Lonsdalea
1	 Leminorella
2	 Sodalis
3919	 Moraxella
209	 Acinetobacter
13	 Psychrobacter
963	 Pseudomonas
4	 Permianibacter
2	 Azotobacter
1	 Entomomonas
1470	 Xanthomonas
242	 Stenotrophomonas
99	 Lysobacter
44	 Pseudoxanthomonas
27	 Thermomonas
20	 Luteimonas
7	 Arenimonas
7	 Pseudolysobacter
1	 Xylella
18	 Dyella
8	 Luteibacter
5	 Rhodanobacter
4	 Ahniella
3	 Dokdonella
2	 Frateuria
2	 Aerosticca
131	 Haemophilus
7	 Aggregatibacter
6	 Pasteurella
5	 Mannheimia
4	 Avibacterium
2	 Actinobacillus
1	 Bibersteinia
1	 Basfia
61	 Halomonas
4	 Zymobacter
1	 Candidatus Portiera
2	 Cobetia
1	 Halotalea
1	 Kushneria
20	 Kangiella
7	 Nitrincola
5	 Marinomonas
