normalized_position	All_Reads.normalized_coverage
0	0.881488
1	0.894703
2	0.915632
3	0.943422
4	0.968133
5	0.981064
6	0.984289
7	0.9796
8	0.980912
9	0.988729
10	0.99085
11	0.990442
12	0.995651
13	1.007356
14	1.017253
15	1.025673
16	1.036012
17	1.039325
18	1.035099
19	1.033647
20	1.037508
21	1.040176
22	1.043354
23	1.045749
24	1.050135
25	1.049689
26	1.048695
27	1.04831
28	1.049038
29	1.048806
30	1.049123
31	1.046342
32	1.040915
33	1.033388
34	1.033232
35	1.033398
36	1.033146
37	1.036254
38	1.037594
39	1.037696
40	1.037101
41	1.030639
42	1.025966
43	1.021761
44	1.022358
45	1.021126
46	1.019255
47	1.019927
48	1.021707
49	1.018997
50	1.009855
51	1.000109
52	0.999373
53	1.008741
54	1.012064
55	1.011799
56	1.010738
57	1.006951
58	1.00676
59	1.006616
60	1.002514
61	1.000271
62	1.000074
63	1.005934
64	1.005239
65	1.00216
66	1.002389
67	0.998898
68	0.998938
69	0.999228
70	0.994415
71	0.987915
72	0.983958
73	0.981483
74	0.977614
75	0.979183
76	0.981601
77	0.97939
78	0.978141
79	0.97917
80	0.979887
81	0.982791
82	0.984133
83	0.980243
84	0.977742
85	0.971862
86	0.970845
87	0.969703
88	0.968652
89	0.966566
90	0.962826
91	0.960289
92	0.959464
93	0.954404
94	0.947944
95	0.947226
96	0.947461
97	0.95339
98	0.955882
99	0.95277
100	0.946151
