normalized_position	All_Reads.normalized_coverage
0	1.080501
1	1.12888
2	1.173609
3	1.214161
4	1.250967
5	1.281105
6	1.296731
7	1.305886
8	1.31383
9	1.3176
10	1.31762
11	1.309794
12	1.302902
13	1.29043
14	1.279761
15	1.268803
16	1.255777
17	1.247173
18	1.235472
19	1.220576
20	1.203396
21	1.186629
22	1.175719
23	1.168123
24	1.154846
25	1.132709
26	1.113875
27	1.098881
28	1.086607
29	1.074006
30	1.061223
31	1.05437
32	1.045606
33	1.036224
34	1.023623
35	1.009516
36	0.998887
37	0.98776
38	0.978668
39	0.976498
40	0.969863
41	0.958918
42	0.949797
43	0.940239
44	0.931068
45	0.924738
46	0.922247
47	0.915992
48	0.915046
49	0.916111
50	0.912402
51	0.907938
52	0.904872
53	0.903244
54	0.900979
55	0.903531
56	0.902933
57	0.898514
58	0.897869
59	0.895058
60	0.899819
61	0.914708
62	0.913981
63	0.901568
64	0.87502
65	0.865008
66	0.862283
67	0.858484
68	0.854353
69	0.848967
70	0.844771
71	0.842874
72	0.841553
73	0.84483
74	0.847595
75	0.85225
76	0.859878
77	0.862952
78	0.864202
79	0.857278
80	0.860369
81	0.8653
82	0.875379
83	0.884955
84	0.893318
85	0.905499
86	0.902091
87	0.900718
88	0.899403
89	0.891402
90	0.892542
91	0.894604
92	0.895042
93	0.891744
94	0.885402
95	0.882224
96	0.881342
97	0.884469
98	0.888527
99	0.890752
100	0.893979
