normalized_position	All_Reads.normalized_coverage
0	0.806219
1	0.817333
2	0.826778
3	0.840162
4	0.863726
5	0.877527
6	0.878621
7	0.878611
8	0.890485
9	0.904054
10	0.912587
11	0.910201
12	0.90795
13	0.922534
14	0.936839
15	0.94469
16	0.952104
17	0.958549
18	0.966655
19	0.977669
20	0.986972
21	0.99573
22	0.997476
23	1.001579
24	1.008125
25	1.015922
26	1.020822
27	1.019868
28	1.022582
29	1.02177
30	1.024382
31	1.02807
32	1.032137
33	1.032955
34	1.034926
35	1.04036
36	1.049544
37	1.059992
38	1.06422
39	1.069187
40	1.064075
41	1.05304
42	1.042833
43	1.041531
44	1.041499
45	1.04252
46	1.040097
47	1.038844
48	1.038981
49	1.040341
50	1.039439
51	1.034271
52	1.031264
53	1.034745
54	1.043733
55	1.043771
56	1.045986
57	1.044102
58	1.045642
59	1.047628
60	1.042028
61	1.038137
62	1.038583
63	1.044348
64	1.042872
65	1.042883
66	1.039639
67	1.042773
68	1.041333
69	1.034904
70	1.033851
71	1.031263
72	1.02376
73	1.023337
74	1.024052
75	1.028559
76	1.030641
77	1.033257
78	1.037732
79	1.031304
80	1.029513
81	1.02715
82	1.019172
83	1.016747
84	1.01748
85	1.006588
86	1.006502
87	1.006508
88	1.008645
89	1.003618
90	0.993424
91	0.987815
92	0.986971
93	0.981569
94	0.970788
95	0.970711
96	0.965779
97	0.96907
98	0.960056
99	0.951611
100	0.938844
