normalized_position	All_Reads.normalized_coverage
0	0.841989
1	0.865975
2	0.887638
3	0.902215
4	0.920827
5	0.9357
6	0.931161
7	0.926877
8	0.929988
9	0.938321
10	0.946938
11	0.950327
12	0.955476
13	0.969114
14	0.979269
15	0.9865
16	0.989541
17	0.993457
18	0.99582
19	1.001172
20	1.005469
21	1.006568
22	1.007336
23	1.006072
24	1.008832
25	1.018965
26	1.02149
27	1.025485
28	1.031475
29	1.031532
30	1.030864
31	1.031882
32	1.035914
33	1.033396
34	1.029494
35	1.031417
36	1.034912
37	1.047913
38	1.053448
39	1.056086
40	1.053815
41	1.04687
42	1.034879
43	1.030504
44	1.024928
45	1.021031
46	1.017608
47	1.016718
48	1.017464
49	1.016786
50	1.016652
51	1.015261
52	1.015561
53	1.020216
54	1.025036
55	1.029738
56	1.032839
57	1.029433
58	1.030934
59	1.032095
60	1.02725
61	1.028263
62	1.031345
63	1.032016
64	1.030581
65	1.022498
66	1.01539
67	1.011171
68	1.009156
69	1.005448
70	1.000472
71	1.000632
72	1.003021
73	1.013783
74	1.015952
75	1.013364
76	1.017616
77	1.010738
78	1.007895
79	1.003145
80	1.002559
81	1.006714
82	1.008778
83	1.014817
84	1.013306
85	1.005904
86	1.002849
87	1.007325
88	1.004398
89	0.994132
90	0.984453
91	0.975534
92	0.970206
93	0.967675
94	0.966166
95	0.964713
96	0.96282
97	0.965449
98	0.959882
99	0.955928
100	0.941574
