normalized_position	All_Reads.normalized_coverage
0	0.840316
1	0.878831
2	0.917053
3	0.955953
4	0.988267
5	1.016561
6	1.04682
7	1.068674
8	1.094389
9	1.120006
10	1.135676
11	1.138719
12	1.137342
13	1.132144
14	1.124544
15	1.120185
16	1.113182
17	1.11562
18	1.110601
19	1.104999
20	1.094296
21	1.090965
22	1.095894
23	1.092666
24	1.088171
25	1.072476
26	1.058161
27	1.053109
28	1.054043
29	1.048229
30	1.045934
31	1.045422
32	1.039956
33	1.034814
34	1.026739
35	1.016354
36	1.007873
37	1.002516
38	0.99991
39	0.997131
40	0.99523
41	0.99222
42	0.992273
43	0.990661
44	0.988294
45	0.989103
46	0.988759
47	0.986568
48	0.987769
49	0.989444
50	0.987791
51	0.983241
52	0.979651
53	0.979596
54	0.977317
55	0.981281
56	0.981886
57	0.979982
58	0.975906
59	0.972301
60	0.974714
61	0.982994
62	0.983102
63	0.981545
64	0.967405
65	0.964941
66	0.961754
67	0.955237
68	0.952294
69	0.949194
70	0.943175
71	0.940728
72	0.942173
73	0.94063
74	0.940266
75	0.94083
76	0.944174
77	0.945165
78	0.94248
79	0.938564
80	0.938476
81	0.945513
82	0.948684
83	0.955139
84	0.961061
85	0.974343
86	0.977393
87	0.97399
88	0.971003
89	0.967764
90	0.968472
91	0.967986
92	0.960151
93	0.961426
94	0.953918
95	0.950446
96	0.943816
97	0.932619
98	0.917322
99	0.900608
100	0.89446
