normalized_position	All_Reads.normalized_coverage
0	0.69836
1	0.748117
2	0.799509
3	0.836181
4	0.881361
5	0.946119
6	0.984166
7	0.979435
8	0.98771
9	0.991411
10	1.022835
11	1.028595
12	1.01642
13	1.032963
14	1.0493
15	1.058132
16	1.039064
17	1.035366
18	1.035138
19	1.038966
20	1.042639
21	1.046207
22	1.086186
23	1.1078
24	1.112224
25	1.099581
26	1.122934
27	1.088392
28	1.076405
29	1.049976
30	0.996292
31	1.005047
32	0.998889
33	0.984471
34	1.010133
35	0.998879
36	0.992339
37	1.004454
38	0.99541
39	0.978387
40	0.972833
41	1.004463
42	1.022598
43	1.042193
44	1.040077
45	1.036552
46	1.037386
47	1.015092
48	1.020074
49	1.049454
50	1.025824
51	0.993114
52	0.977364
53	0.973341
54	0.983315
55	0.972476
56	0.991457
57	1.021584
58	1.036084
59	1.053858
60	1.049688
61	1.051184
62	1.050618
63	1.038574
64	1.033017
65	1.043902
66	1.05354
67	1.065203
68	1.060816
69	1.054483
70	1.062162
71	1.056998
72	1.06469
73	1.031739
74	1.007087
75	0.987482
76	0.996519
77	1.013686
78	1.008834
79	0.996415
80	0.979682
81	0.975603
82	1.009506
83	1.017206
84	1.002668
85	0.994962
86	0.997512
87	0.983153
88	0.955052
89	0.930913
90	0.956566
91	0.992685
92	0.994945
93	0.983734
94	0.927113
95	0.906727
96	0.881391
97	0.865211
98	0.828786
99	0.796369
100	0.778608
