normalized_position	All_Reads.normalized_coverage
0	0.879407
1	0.92815
2	0.973574
3	1.010739
4	1.044364
5	1.079061
6	1.10286
7	1.122862
8	1.144175
9	1.155861
10	1.165655
11	1.168442
12	1.169219
13	1.16218
14	1.152675
15	1.145394
16	1.139985
17	1.135514
18	1.136445
19	1.129988
20	1.123559
21	1.117214
22	1.112005
23	1.103476
24	1.092875
25	1.081374
26	1.071008
27	1.067343
28	1.063277
29	1.056241
30	1.045243
31	1.045524
32	1.041845
33	1.033573
34	1.026977
35	1.018642
36	1.01289
37	1.005682
38	1.000686
39	0.994674
40	0.984558
41	0.980626
42	0.972542
43	0.968164
44	0.961474
45	0.955424
46	0.954483
47	0.952691
48	0.953487
49	0.956705
50	0.952909
51	0.951503
52	0.953772
53	0.952763
54	0.954739
55	0.961357
56	0.964777
57	0.965596
58	0.966721
59	0.969577
60	0.971138
61	0.972762
62	0.968469
63	0.970027
64	0.963214
65	0.956624
66	0.9556
67	0.948673
68	0.94519
69	0.94317
70	0.940111
71	0.93912
72	0.940668
73	0.940556
74	0.93779
75	0.932656
76	0.934764
77	0.931988
78	0.930875
79	0.926194
80	0.924483
81	0.92337
82	0.923869
83	0.925219
84	0.931354
85	0.937886
86	0.942658
87	0.950503
88	0.956842
89	0.960122
90	0.962543
91	0.964538
92	0.960869
93	0.953377
94	0.947449
95	0.943321
96	0.936133
97	0.923109
98	0.90534
99	0.891998
100	0.889798
