normalized_position	All_Reads.normalized_coverage
0	0.550786
1	0.599708
2	0.643365
3	0.694797
4	0.754797
5	0.804942
6	0.843497
7	0.886017
8	0.925216
9	0.956486
10	0.975701
11	0.988676
12	0.993015
13	1.003709
14	1.017524
15	1.032798
16	1.044912
17	1.039629
18	1.045257
19	1.05465
20	1.052367
21	1.052988
22	1.04164
23	1.044776
24	1.064606
25	1.071074
26	1.066872
27	1.067693
28	1.074596
29	1.073722
30	1.070902
31	1.064838
32	1.059375
33	1.05734
34	1.059188
35	1.058797
36	1.060037
37	1.06012
38	1.070831
39	1.071939
40	1.069561
41	1.064445
42	1.06822
43	1.069186
44	1.06749
45	1.0711
46	1.079686
47	1.078475
48	1.079528
49	1.084099
50	1.083561
51	1.077276
52	1.062005
53	1.047864
54	1.040501
55	1.048467
56	1.06576
57	1.063753
58	1.06092
59	1.070574
60	1.075563
61	1.082844
62	1.084233
63	1.069588
64	1.080046
65	1.094394
66	1.100192
67	1.09987
68	1.094053
69	1.10643
70	1.113705
71	1.124669
72	1.116754
73	1.108102
74	1.108806
75	1.098483
76	1.082328
77	1.08003
78	1.072972
79	1.074336
80	1.072894
81	1.062296
82	1.047889
83	1.036886
84	1.022011
85	1.0026
86	0.989003
87	0.97174
88	0.9529
89	0.935253
90	0.917567
91	0.90054
92	0.879111
93	0.846173
94	0.808964
95	0.768199
96	0.717107
97	0.653643
98	0.600972
99	0.558732
100	0.527385
