normalized_position	All_Reads.normalized_coverage
0	0.85875
1	0.881267
2	0.886695
3	0.902941
4	0.905817
5	0.918819
6	0.920862
7	0.916079
8	0.930499
9	0.941278
10	0.945359
11	0.952801
12	0.953161
13	0.952987
14	0.963706
15	0.971864
16	0.97567
17	0.974685
18	0.968171
19	0.969777
20	0.985558
21	0.986051
22	0.980216
23	0.980894
24	0.990937
25	1.010618
26	1.015374
27	1.017325
28	1.032757
29	1.03024
30	1.016543
31	1.01487
32	1.00844
33	1.019064
34	1.008004
35	0.988837
36	0.989472
37	1.001821
38	0.9998
39	0.993019
40	1.00532
41	1.006199
42	1.008738
43	1.014888
44	1.01992
45	1.02383
46	1.007521
47	0.992084
48	0.991657
49	0.989576
50	0.984966
51	0.979733
52	0.992842
53	0.99365
54	0.996512
55	1.003135
56	1.020764
57	1.022029
58	1.01654
59	1.021457
60	1.03711
61	1.031565
62	1.03545
63	1.037329
64	1.038495
65	1.03907
66	1.042614
67	1.04883
68	1.048688
69	1.057892
70	1.049268
71	1.049978
72	1.045965
73	1.043134
74	1.058873
75	1.052372
76	1.045367
77	1.032344
78	1.024181
79	1.004595
80	0.994261
81	1.00325
82	0.991639
83	0.991631
84	0.995168
85	0.999765
86	1.009843
87	1.017486
88	1.017048
89	1.003202
90	0.99523
91	1.012968
92	1.032559
93	1.039325
94	1.029412
95	1.032876
96	1.034492
97	1.030257
98	1.027707
99	1.003536
100	0.982153
