species	MHS371	MHS389	MHS388	MHS413	MHS412	MHS391	MHS390	MHS349	MHS392	MHS341	MHS381	MHS383	MHS382	MHS350	MHS394	MHS393	MHS351	MHS396	MHS598	MHS380	MHS379	MHS378	MHS339	MHS338	MHS355	MHS398	MHS336	MHS376	MHS377	MHS337	MHS357	MHS358	MHS411	MHS344	MHS345	MHS419	MHS418	MHS423	MHS422	MHS421	MHS425	MHS424	MHS334	MHS374	MHS333	MHS375	MHS335	MHS360	MHS427	MHS426	MHS428	MHS361	MHS408	MHS384	MHS407	MHS409	MHS342	MHS433	MHS432	MHS434	MHS364	MHS331	MHS373	MHS332	MHS443	MHS442	MHS370	MHS369	MHS387	MHS386	MHS385	MHS410	MHS343	MHS435	MHS436	MHS365	MHS329	MHS328	MHS406	MHS372	MHS330	MHS405	MHS416	MHS415	MHS414	MHS347	MHS362	MHS430	MHS429	MHS363	MHS366	MHS438	MHS437	MHS441	MHS594	MHS440	MHS402	MHS368	MHS593	MHS439	MHS399	MHS367
Malassezia_globosa	7205076	  51628	  29004	0	1146837	1034489	  81755	646830	0	  1567	   6020	0	 10030	6803650	 921914	3877144	1213482	  42168	 109505	4090279	 137419	1759060	28798	188430	  73075	  15629	2286788	1846064	0	286177	  16612	1096895	   6256	 2700	 76098	   4858	124845	3379170	 556202	2252420	 163025	4740370	73420	 14514	1635844	 15087	 85162	114047	 144853	468747	  3845	 91805	6181726	  43424	 295932	   9764	1017253	  23811	 556427	0	 210116	0	1819787	  43932	3608584	2418282	  35171	5159140	3261793	   8889	224744	0	 168323	  30571	   3712	 25307	2380465	 98745	 776897	  34551	300095	 923630	4310077	  27551	 757624	  15111	 699168	 105325	2912613	  19184	2788323	 149151	   8841	904079	3110214	4335804	0	2198086	9661669	 359056	 57787	1850047
Malassezia_restricta	  23331	3097717	1747589	0	 495768	0	 475893	350270	0	0	0	0	0	0	1836791	 975304	 114230	2829955	0	  92459	2021139	1500199	 6906	 99442	6015459	  35967	   6602	 732555	0	143922	  26108	 239885	1296772	21300	 56056	 861196	292903	  16435	2080416	 791938	0	 398242	14850	 42872	 901552	0	 35771	 12799	 548703	865187	0	 56744	  16694	5404450	3727079	0	  96579	  28714	1406221	0	  37664	2473481	 708404	0	1694211	  16623	0	  54665	  31027	5088604	 36623	0	  69372	  45945	0	 12961	0	216788	1777373	0	 25426	1791158	  91998	1205229	1803334	  63716	0	 752718	0	0	  33610	1699867	1310468	 96330	3727858	 545010	0	 414013	  59530	2184973	567725	  73484
Cutibacterium_acnes	  79784	1716708	1218635	0	 322121	0	4133953	548562	0	 18552	2838438	   6582	255896	0	 200978	  23916	   4700	 559378	0	  98700	4021525	2169057	14254	252347	 837952	0	  87182	1181616	 149215	151083	0	 220667	1354103	81383	191842	2846668	748702	  11960	 559265	 239342	0	 107728	79906	395263	 752165	 11516	139405	142580	1717060	553702	  2448	182139	   6819	2514525	1200660	0	  64952	2229685	1957387	0	 264653	1727686	 381593	  39464	 630646	 634040	0	  55947	  81742	 859794	475458	0	  69064	1648562	   5127	129321	  45004	870918	1085489	0	 38557	  41304	  38652	4706075	 235583	 151889	  22757	1335078	 593098	  11098	0	 137836	 370019	 20509	1060304	 550330	0	 115255	  22374	 695554	767109	  29683
Malassezia_arunalokei	0	  54545	  15560	0	  27489	0	  13418	 45081	0	0	0	0	0	0	 701428	  30238	  81705	  18851	0	0	0	0	0	0	  58647	0	0	0	0	0	0	 987205	0	 6355	0	0	0	0	  37073	0	0	0	0	  5754	  16334	0	0	0	0	0	0	0	   7070	 981057	  48049	0	  41365	0	0	0	0	  43647	  66785	0	0	0	0	0	0	 155682	  8143	0	0	0	0	0	0	 61639	  16261	0	  7949	  35144	0	  10978	  17008	0	0	  30935	0	0	0	1068692	  43749	0	  43296	0	0	0	0	  29227	0	0
Cutibacterium_granulosum	0	  30298	0	0	0	0	  16297	 35563	0	0	0	0	0	0	0	0	0	  26271	0	0	 209997	  47858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 121087	0	0	0	0	 12475	0	0	0	0	0	0	0	0	0	 244966	   7952	0	0	0	0	0	0	  69128	 304118	0	 128699	0	0	0	0	  52749	0	0	0	  50818	0	0	0	 28740	0	0	0	0	0	  38445	  38035	0	0	0	0	0	0	0	0	0	 118691	0	0	0	0	0	0	0
Corynebacterium_kefirresidentii	0	 161991	0	0	  72401	0	 292015	 75314	0	0	  22987	0	 50256	0	0	0	  16196	  24430	0	0	 429112	0	12050	 37278	  41754	  87772	0	0	  16325	 58553	0	0	   6580	0	0	0	0	0	0	0	0	0	0	  2107	0	0	0	0	0	0	0	0	0	  41471	  30906	0	0	  17455	0	0	0	 155324	   7728	0	0	0	0	0	0	 171316	 22676	0	0	 129091	0	0	0	0	0	0	0	0	0	0	  16175	0	0	  34894	0	0	0	0	0	0	0	0	0	0	0	  51365	0	0
Staphylococcus_capitis	0	 391965	   6352	0	   9267	0	 135399	246558	  39171	  6379	  35404	2270542	 23457	0	0	0	0	  16432	1842811	0	 350551	  71700	 8763	  2734	 381224	 766472	0	  62780	  62115	0	1301912	 351990	 148487	 4345	0	   7179	 91641	0	0	  89724	 624798	0	0	  1876	 152881	209470	0	  5283	  14793	 11591	0	 10962	0	  93884	   6567	  28602	0	0	 588281	  15830	0	 421514	1158607	0	0	0	  14915	0	0	 270032	 34637	210352	  10469	 104247	   9536	  6060	0	156584	  86152	  12175	  3087	  13526	0	  47762	 331757	  24866	0	0	0	   3074	   6471	  29623	   9212	  9978	0	0	 147524	  15229	0	  82518	110944	  10854
Staphylococcus_epidermidis	0	 129581	  12289	 1370478	  28502	  14899	  26394	 88743	3729318	 14337	  24479	 114528	 56183	0	   8199	0	0	 121236	 273337	0	  22665	   8213	 7068	  3884	  80577	2237570	  39843	   4261	5805220	 55568	  47062	0	 146413	 3298	 17485	   4980	 12714	0	   6178	0	 798534	0	 7666	  7042	0	 57846	 11146	  5522	 146197	 35527	0	 11734	0	  29110	  40298	 783985	0	 385171	 183051	 572544	  15259	  56471	  60209	4147399	  23036	   5846	1394677	0	0	  37860	  3971	 30441	   9981	 152204	1478751	 38589	0	332521	   6421	 874317	 79300	  15068	0	  30385	  50151	 211880	0	 680204	0	   8611	   6713	   7931	0	 61590	 315572	  97695	2861662	  96012	0	 154104	0	  57983
Rothia_mucilaginosa	0	0	  27656	0	  36984	0	0	0	0	0	0	0	 39407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 153642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_mitis	0	0	  83481	0	  16849	0	0	0	0	0	0	0	 28480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_oralis	0	0	  22610	0	0	0	0	0	0	0	0	0	 18940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  5692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus_parainfluenzae	0	0	   7645	0	0	0	0	0	0	0	0	0	 12184	   7753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Malassezia_dermatis	0	0	  12040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 492622	0	0	0	 418647	0	0	0	   7730	0	0	0	0	0	0	0	0	0	0	 91422	0	0	0	0	0	0	0	0	0	0	 12733	 163528	243239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  51322	0	0	0	   5026	0	0	0	0	0	0	0	0	0	  53488	0	0	0	0	0	0	0	0	0
Staphylococcus_hominis	0	0	0	10167771	  41574	1809990	0	0	1024685	223826	  17491	 648120	476637	0	0	0	  34587	0	 382103	0	0	0	 3999	  7129	0	 227548	2220260	0	  40644	 48961	  53594	0	0	 4577	 25998	0	0	0	0	0	 484424	  18441	91079	0	0	 18020	 45970	  5030	0	0	0	 11833	0	0	0	6820020	  23437	 173551	0	 973328	3003052	0	  18293	  10138	  15153	   6931	  27186	0	0	0	0	0	0	0	 711411	143186	0	0	0	5798931	 42578	0	0	0	0	1644173	 741626	0	0	 234349	  11078	0	0	 18792	0	  11730	2073792	  52544	0	  20237	0	 115746
Staphylococcus_haemolyticus	0	0	0	  575592	0	0	0	0	 350886	0	0	0	0	0	0	0	0	0	0	0	0	0	 2506	0	0	  41123	0	0	 134997	0	0	0	0	0	0	0	0	0	0	0	 103979	0	0	0	0	0	0	0	0	0	357761	0	0	0	0	  88908	0	0	0	0	0	0	  12863	0	0	0	0	0	0	0	0	 16279	0	0	  52836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	  68214	0	0	0	0	0
Corynebacterium_tuberculostearicum	0	0	0	  568761	 167738	0	  31932	0	1589920	0	0	0	 11918	0	0	0	 109775	  10425	 440663	0	0	0	13419	 18620	0	  55965	0	0	 309602	0	0	0	0	0	0	0	0	0	0	0	  48944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 181615	0	0	0	1439012	0	0	   8096	0	0	0	0	0	0	0	0	0	0	0	 140062	 68674	0	0	0	 438859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2352933	0	0	0	0	0
