pangene	corr_p_vals	corr_coeff	species_tested_for	p_adj	significant	transcripts_from
DNF11_3785	0.141884107225934	-0.38678235294117647	Cutibacterium_acnes	0.6394147279660116	FALSE	Malassezia_restricta
DNF11_3790	0.6855484587887692	0.11050882352941176	Cutibacterium_acnes	0.8754013345871282	FALSE	Malassezia_restricta
DNF11_3794	0.5931247832174634	0.1454735294117647	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_3795	0.06659552766263073	-0.4715705882352941	Cutibacterium_acnes	0.5240778481276592	FALSE	Malassezia_restricta
DNF11_3796	0.14699560913915188	-0.38133529411764705	Cutibacterium_acnes	0.6394147279660116	FALSE	Malassezia_restricta
DNF11_3797	0.25746532556090435	-0.30167647058823527	Cutibacterium_acnes	0.706745710171827	FALSE	Malassezia_restricta
DNF11_3813	0.5298693747533699	-0.17005882352941176	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_3880	0.16016688486837083	0.36913235294117647	Cutibacterium_acnes	0.6479614188742128	FALSE	Malassezia_restricta
DNF11_3970	0.010425408731814067	-0.6247088235294117	Cutibacterium_acnes	0.16541942295293394	FALSE	Malassezia_restricta
DNF11_3971	0.04423813786606416	-0.5092441176470588	Cutibacterium_acnes	0.4214264712504007	FALSE	Malassezia_restricta
DNF11_3976	0.5335632862745551	-0.1686029411764706	Cutibacterium_acnes	0.8248501092107757	FALSE	Malassezia_restricta
DNF11_3978	0.3319318224182663	-0.26047941176470585	Cutibacterium_acnes	0.7394806798686683	FALSE	Malassezia_restricta
DNF11_3979	0.797369492005222	-0.06986176470588235	Cutibacterium_acnes	0.913442266157881	FALSE	Malassezia_restricta
DNF11_4039	0.007710235655248612	-0.6423882352941176	Cutibacterium_acnes	0.1550614059555554	FALSE	Malassezia_restricta
DNF11_4071	0.3226343141706936	0.2646970588235294	Cutibacterium_acnes	0.7374995941229909	FALSE	Malassezia_restricta
DNF11_4081	0.01096703356594037	0.6174705882352941	Cutibacterium_acnes	0.16541942295293394	FALSE	Malassezia_restricta
