OG	read_count_sum	RPK_sum	LIBID	feature_class	TPM
2ZAHJ|Bacteria	380	154.68275831912197	MHS413	bacteria_OG	4.639469500967501
2ZAK5|Bacteria	5591	3693.4215569710746	MHS413	bacteria_OG	110.77845297037803
2ZB3T|Bacteria	53	72.75608036675267	MHS413	bacteria_OG	2.1822058226754635
2ZB59|Bacteria	41	100.41845254417683	MHS413	bacteria_OG	3.011895785772702
2ZB6I|Bacteria	3	6.802721088435374	MHS413	bacteria_OG	0.20403707146385153
2ZBCP|Bacteria	34	28.162351496768135	MHS413	bacteria_OG	0.8446860675656194
2ZBFQ|Bacteria	211	283.4536694698996	MHS413	bacteria_OG	8.501753322305165
2ZBQP|Bacteria	10	17.452006980802793	MHS413	bacteria_OG	0.5234458901428652
2ZBRM|Bacteria	2	3.5650623885918	MHS413	bacteria_OG	0.10692851873506656
2ZBTG|Bacteria	142	323.69321341875536	MHS413	bacteria_OG	9.708676051846892
2ZBU7|Bacteria	91	180.20998359150477	MHS413	bacteria_OG	5.405119043182228
2ZBVG|Bacteria	750	2151.7302497044657	MHS413	bacteria_OG	64.53781259329253
2ZBVN|Bacteria	4797	11515.845008986418	MHS413	bacteria_OG	345.39991578658436
2ZBWV|Bacteria	1	6.410256410256411	MHS413	bacteria_OG	0.19226570195632164
2ZBXH|Bacteria	35	60.99622418050619	MHS413	bacteria_OG	1.8294871699650284
2ZBYA|Bacteria	2	3.9682539682539684	MHS413	bacteria_OG	0.11902162502058006
2ZC38|Bacteria	6	11.976047904191617	MHS413	bacteria_OG	0.359202988086062
2ZC8J|Bacteria	4	7.575757575757575	MHS413	bacteria_OG	0.22722310231201645
2ZCCA|Bacteria	22	35.59870550161812	MHS413	bacteria_OG	1.0677279759127765
2ZCDZ|Bacteria	3	8.60969387755102	MHS413	bacteria_OG	0.2582344185714371
2ZCEC|Bacteria	925	1212.230586943054	MHS413	bacteria_OG	36.35897689811869
2ZCFK|Bacteria	211	594.5020229821699	MHS413	bacteria_OG	17.831166407046744
2ZCIC|Bacteria	166	170.90656799259946	MHS413	bacteria_OG	5.1260775171907
2ZCK2|Bacteria	4	4.219409282700422	MHS413	bacteria_OG	0.1265546392623889
2ZCKS|Bacteria	3	9.514837494112106	MHS413	bacteria_OG	0.2853827979297036
2ZCS9|Bacteria	2	7.662835249042145	MHS413	bacteria_OG	0.22983486210870632
2ZCSA|Bacteria	1	3.8314176245210727	MHS413	bacteria_OG	0.11491743105435316
2ZCSX|Bacteria	2	7.246376811594202	MHS413	bacteria_OG	0.2173438369941027
2ZCZM|Bacteria	0	0	MHS413	bacteria_OG	0
2ZD1G|Bacteria	587	1373.9141226110698	MHS413	bacteria_OG	41.20842386099729
2ZD7C|Bacteria	1	3.7037037037037033	MHS413	bacteria_OG	0.11108685001920804
2ZDE7|Bacteria	19	8.19318671841311	MHS413	bacteria_OG	0.2457419321252856
2ZDUU|Bacteria	1	5.376344086021505	MHS413	bacteria_OG	0.16125510486659234
2ZEB0|Bacteria	96	241.59635730547743	MHS413	bacteria_OG	7.246308143478754
2ZEC6|Bacteria	3	13.333333333333332	MHS413	bacteria_OG	0.39991266006914894
2ZEJ4|Bacteria	4	11.799410029498524	MHS413	bacteria_OG	0.35390500891075133
2ZEJ8|Bacteria	17	59.027777777777786	MHS413	bacteria_OG	1.7704466721811287
2ZENP|Bacteria	10	38.75968992248062	MHS413	bacteria_OG	1.1625368025265959
2ZEV1|Bacteria	8	18.140589569160998	MHS413	bacteria_OG	0.5440988572369374
2ZF6Y|Bacteria	4	18.264840182648403	MHS413	bacteria_OG	0.5478255617385603
2ZF7P|Bacteria	107	415.0590422447699	MHS413	bacteria_OG	12.449052425239442
2ZF80|Bacteria	1026	2228.5194166969577	MHS413	bacteria_OG	66.84098459602716
2ZFJP|Bacteria	6	14.084507042253522	MHS413	bacteria_OG	0.4224429507772701
2ZFK6|Bacteria	7	31.963470319634702	MHS413	bacteria_OG	0.9586947330424804
2ZFSE|Bacteria	6545	23829.526627206073	MHS413	bacteria_OG	714.7297036255948
2ZFSQ|Bacteria	3	16.470971950424005	MHS413	bacteria_OG	0.49402126549638026
2ZFT6|Bacteria	10	25.252525252525253	MHS413	bacteria_OG	0.7574103410400549
2ZFWE|Bacteria	2647	7404.76414247309	MHS413	bacteria_OG	222.09441940507983
2ZG0D|Bacteria	4629	6952.257248697133	MHS413	bacteria_OG	208.52217673586202
2ZG6B|Bacteria	32	53.87433079740772	MHS413	bacteria_OG	1.615877020397745
2ZGBU|Bacteria	1145	2195.035625385409	MHS413	bacteria_OG	65.83669019208202
2ZGED|Bacteria	45	26.315789473684212	MHS413	bacteria_OG	0.7893013027680573
2ZGFI|Bacteria	39	97.98300239513665	MHS413	bacteria_OG	2.938848234705067
2ZGX2|Bacteria	5	9.950248756218905	MHS413	bacteria_OG	0.29844228363369324
2ZGY5|Bacteria	2	6.666666666666667	MHS413	bacteria_OG	0.1999563300345745
2ZH0T|Bacteria	1010	2838.5700800881446	MHS413	bacteria_OG	85.13850836405604
2ZH1R|Bacteria	55	134.80392156862746	MHS413	bacteria_OG	4.043234614669705
2ZH85|Bacteria	123	91.94832361352407	MHS413	bacteria_OG	2.757847401388752
2ZH8A|Bacteria	36	176.2913415087328	MHS413	bacteria_OG	5.287585449743709
2ZH8X|Bacteria	356	1032.3868677905946	MHS413	bacteria_OG	30.964843388894515
2ZHI5|Bacteria	12	37.03703703703704	MHS413	bacteria_OG	1.1108685001920806
2ZHN8|Bacteria	10	11.001100110011	MHS413	bacteria_OG	0.32996094065111303
2ZHWX|Bacteria	148	224.94150940752883	MHS413	bacteria_OG	6.746771804035077
2ZI0B|Bacteria	44	229.81906303251384	MHS413	bacteria_OG	6.893066462394903
2ZI1H|Bacteria	16	36.03603603603604	MHS413	bacteria_OG	1.0808450272139163
2ZIFJ|Bacteria	829	1001.6831441762425	MHS413	bacteria_OG	30.043932805046254
2ZIY1|Bacteria	65	192.4036634989982	MHS413	bacteria_OG	5.770849565770035
2ZJ2F|Bacteria	1	5.376344086021505	MHS413	bacteria_OG	0.16125510486659234
2ZJ5A|Bacteria	15	24.08189973342617	MHS413	bacteria_OG	0.7222992436434742
2ZJA5|Bacteria	4	8.88888888888889	MHS413	bacteria_OG	0.26660844004609935
2ZJBS|Bacteria	6	10.050251256281408	MHS413	bacteria_OG	0.30144170356971034
2ZJJ8|Bacteria	55	344.26619132501486	MHS413	bacteria_OG	10.325730625849596
2ZJK7|Bacteria	5	4.468275245755138	MHS413	bacteria_OG	0.13401898795883008
2ZJP3|Bacteria	2	5.376344086021505	MHS413	bacteria_OG	0.16125510486659234
2ZJVY|Bacteria	19	81.68978848131259	MHS413	bacteria_OG	2.4501585459035886
2ZKGH|Bacteria	2	8.007288070579209	MHS413	bacteria_OG	0.24016619041839715
2ZKHC|Bacteria	4	18.01801801801802	MHS413	bacteria_OG	0.5404225136069581
2ZKHQ|Bacteria	5	21.09704641350211	MHS413	bacteria_OG	0.6327731963119446
2ZKJX|Bacteria	108	527.6515970870287	MHS413	bacteria_OG	15.826091533560636
2ZKK9|Bacteria	1	3.7878787878787876	MHS413	bacteria_OG	0.11361155115600823
2ZKSP|Bacteria	0	0	MHS413	bacteria_OG	0
2ZM8T|Bacteria	4	14.035087719298247	MHS413	bacteria_OG	0.42096069480963055
2ZMRC|Bacteria	2	3.663003663003663	MHS413	bacteria_OG	0.10986611540361237
2ZMTS|Bacteria	23	56.57757658736132	MHS413	bacteria_OG	1.6969566864988253
2ZMV9|Bacteria	71	364.1025641025641	MHS413	bacteria_OG	10.920691871119068
2ZMYT|Bacteria	4	7.984031936127744	MHS413	bacteria_OG	0.2394686587240413
2ZN3X|Bacteria	4	7.751937984496124	MHS413	bacteria_OG	0.23250736050531917
2ZNE6|Bacteria	40	37.42395636668764	MHS413	bacteria_OG	1.1224735455685364
2ZNJR|Bacteria	11	16.32275299215414	MHS413	bacteria_OG	0.48957566765580174
2ZNPS|Bacteria	43	137.82051282051282	MHS413	bacteria_OG	4.133712592060915
2ZNT6|Bacteria	1	3.9215686274509802	MHS413	bacteria_OG	0.11762137060857324
2ZP1M|Bacteria	145	503.4722222222223	MHS413	bacteria_OG	15.100868674486097
