MHS446	23759976	1470
MHS475	17359382	3216
MHS474	11392196	1492
MHS473	3022010	1599
MHS477	21764566	752
MHS476	21769116	2269
MHS499	23802898	2283
MHS498	16515240	1398
MHS497	4666810	1511
MHS501	33985882	1256
MHS484	4994530	2067
MHS483	18463448	1284
MHS486	26167420	3570
MHS485	16410436	2738
MHS504	18547592	5832
MHS503	2834702	1748
MHS502	6642988	2546
MHS505	16693716	2136
MHS508	12367880	1243
MHS507	9013566	1887
MHS448	28400852	2123
MHS447	32652336	491
MHS450	30353726	2502
MHS449	31335530	2046
MHS592	13639018	3003
MHS513	465100	1080
MHS452	31216236	3443
MHS451	7026824	1151
MHS454	19939018	1231
MHS453	27815210	3031
MHS517	2078528	1574
MHS521	24191554	1741
MHS493	34041002	678
MHS492	12467978	1047
MHS495	17069862	1515
MHS525	21949304	1501
MHS523	30023980	984
MHS530	9723252	2788
MHS529	27380996	1394
MHS528	8981330	2176
MHS532	16646412	2014
MHS531	10562010	2096
MHS457	2624228	1558
MHS456	1218116	1686
MHS455	1302904	1944
MHS459	12060804	2971
MHS458	13649770	13292
MHS540	1938334	1527
MHS539	20567652	1298
MHS538	13469826	1858
MHS542	2825304	2232
MHS541	9405266	1780
MHS480	30122190	4335
MHS479	26818554	872
MHS478	11513196	1683
MHS482	24465102	1705
MHS481	28689852	1584
MHS544	3727848	1665
MHS543	27350136	990
MHS547	44343822	592
MHS546	11045142	1259
MHS461	18307960	1237
MHS460	6963130	1340
MHS462	16705314	4135
MHS567	26413314	1887
MHS564	11442968	2269
MHS569	19467086	3703
MHS568	13479370	2008
MHS489	15716564	1388
MHS488	13720622	1704
MHS487	1111054	1837
MHS491	42777760	1773
MHS490	10752494	1799
MHS549	10029710	2024
MHS553	19550206	1081
MHS551	40784402	2512
MHS465	17699338	4282
MHS464	7111464	1665
MHS463	4783420	1251
MHS467	17430092	818
MHS466	24992044	3380
MHS560	15456844	2412
MHS469	18658790	2541
MHS471	42263886	298
MHS468	2216126	1490
MHS472	18853456	2146
MHS535	3588572	3817
MHS534	18338162	2105
MHS533	32999352	2426
MHS536	25400442	27883
MHS556	5231206	1317
MHS555	21750948	1404
MHS554	5631380	1020
MHS571	819612	2526
MHS572	20034224	1281
MHS570	9214290	1785
MHS574	30184622	361
MHS573	18248620	3277
MHS576	16247210	2547
MHS577	9989444	1540
MHS575	3692134	1922
MHS578	22888122	2772
