name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Salmonella enterica	28901	S	1007594	2410935	3418529	0.27567
Salmonella bongori	54736	S	1661	506	2167	0.00017
Salmonella sp. A39	2878546	S	95	1422	1517	0.00012
Salmonella sp. SSDFZ69	2500543	S	33	139	172	0.00001
Salmonella sp. SSDFZ54	2500542	S	24	379	403	0.00003
Escherichia coli	562	S	379110	2694302	3073412	0.24784
Escherichia albertii	208962	S	2614	562	3176	0.00026
Escherichia marmotae	1499973	S	2290	434	2724	0.00022
Escherichia fergusonii	564	S	2129	1477	3606	0.00029
Escherichia sp. E4742	2044467	S	1746	435	2181	0.00018
Escherichia sp. SCLE84	2725997	S	16	549	565	0.00005
Citrobacter freundii	546	S	1494	1929	3423	0.00028
Citrobacter sedlakii	67826	S	137	60	197	0.00002
Citrobacter portucalensis	1639133	S	114	221	335	0.00003
Citrobacter werkmanii	67827	S	77	80	157	0.00001
Citrobacter youngae	133448	S	57	82	139	0.00001
Citrobacter braakii	57706	S	29	145	174	0.00001
Citrobacter sp. RHB25-C09	2742624	S	284	27	311	0.00003
Citrobacter sp. R56	1573676	S	122	6	128	0.00001
Citrobacter farmeri	67824	S	252	33	285	0.00002
Citrobacter amalonaticus	35703	S	161	73	234	0.00002
Citrobacter pasteurii	1563222	S	120	51	171	0.00001
Citrobacter rodentium	67825	S	84	5	89	0.00001
Citrobacter tructae	2562449	S	51	3	54	0.00000
Citrobacter telavivensis	2653932	S	49	12	61	0.00000
Citrobacter koseri	545	S	42	22	64	0.00001
Citrobacter arsenatis	2546350	S	24	2	26	0.00000
Citrobacter cronae	1748967	S	17	50	67	0.00001
Shigella dysenteriae	622	S	1124	2863	3987	0.00032
Shigella boydii	621	S	929	5979	6908	0.00056
Shigella flexneri	623	S	897	10418	11315	0.00091
Shigella sonnei	624	S	35	2881	2916	0.00024
Enterobacter hormaechei	158836	S	872	1101	1973	0.00016
Enterobacter roggenkampii	1812935	S	239	76	315	0.00003
Enterobacter cloacae	550	S	233	154	387	0.00003
Enterobacter kobei	208224	S	152	117	269	0.00002
Enterobacter asburiae	61645	S	113	51	164	0.00001
Enterobacter cancerogenus	69218	S	55	1	56	0.00000
Enterobacter ludwigii	299767	S	33	15	48	0.00000
Enterobacter cloacae complex sp.	2027919	S	14	30	44	0.00000
Enterobacter chengduensis	2494701	S	11	1	12	0.00000
Enterobacter sp. 638	399742	S	111	5	116	0.00001
Enterobacter sp. RHBSTW-00994	2742676	S	104	3	107	0.00001
Enterobacter sp. JUb54	2724468	S	77	2	79	0.00001
Enterobacter sp. RHBSTW-00175	2742639	S	44	4	48	0.00000
Enterobacter sp. SA187	1914861	S	29	0	29	0.00000
Enterobacter sp. E76	2596949	S	27	12	39	0.00000
Enterobacter sp. C2	2870346	S	22	0	22	0.00000
Enterobacter oligotrophicus	2478464	S	29	0	29	0.00000
Enterobacter soli	885040	S	25	0	25	0.00000
Enterobacter bugandensis	881260	S	24	5	29	0.00000
Enterobacter mori	539813	S	10	3	13	0.00000
Klebsiella pneumoniae	573	S	520	1883	2403	0.00019
Klebsiella sp. BDA134-6	2787706	S	64	100	164	0.00001
Klebsiella sp. STW0522-44	2681387	S	11	8	19	0.00000
Klebsiella huaxiensis	2153354	S	144	9	153	0.00001
Klebsiella variicola	244366	S	104	41	145	0.00001
Klebsiella quasipneumoniae	1463165	S	77	140	217	0.00002
Klebsiella oxytoca	571	S	74	9	83	0.00001
Klebsiella aerogenes	548	S	57	3	60	0.00000
Klebsiella michiganensis	1134687	S	56	22	78	0.00001
Klebsiella africana	2489010	S	18	1	19	0.00000
Leclercia sp. 4-9-1-25	2815358	S	146	10	156	0.00001
Leclercia sp. 29361	2714951	S	111	68	179	0.00001
Leclercia adecarboxylata	83655	S	43	91	134	0.00001
Raoultella ornithinolytica	54291	S	220	221	441	0.00004
Raoultella planticola	575	S	23	4	27	0.00000
Cronobacter dublinensis	413497	S	92	5	97	0.00001
Cronobacter sp. JZ38	1906275	S	87	75	162	0.00001
Cronobacter sakazakii	28141	S	46	5	51	0.00000
Cronobacter condimenti	1163710	S	32	1	33	0.00000
Cronobacter universalis	535744	S	17	2	19	0.00000
Cronobacter malonaticus	413503	S	11	2	13	0.00000
Kosakonia sp. SMBL-WEM22	2725560	S	17	8	25	0.00000
Kosakonia sp. MUSA4	2067958	S	13	13	26	0.00000
Kosakonia sp. CCTCC M2018092	2492396	S	13	19	32	0.00000
Kosakonia sacchari	1158459	S	31	21	52	0.00000
Kosakonia oryzae	497725	S	29	36	65	0.00001
Kosakonia cowanii	208223	S	27	29	56	0.00000
Kosakonia radicincitans	283686	S	27	41	68	0.00001
Kosakonia arachidis	551989	S	23	4	27	0.00000
Kosakonia pseudosacchari	1646340	S	21	11	32	0.00000
[Enterobacter] lignolyticus	1334193	S	200	3	203	0.00002
Pluralibacter gergoviae	61647	S	53	2	55	0.00000
Jejubacter calystegiae	2579935	S	166	0	166	0.00001
Yokenella regensburgei	158877	S	146	7	153	0.00001
Kluyvera intermedia	61648	S	75	35	110	0.00001
Cedecea neteri	158822	S	73	4	77	0.00001
Cedecea sp. FDAARGOS_727	2545798	S	27	0	27	0.00000
Cedecea lapagei	158823	S	22	1	23	0.00000
Lelliottia amnigena	61646	S	90	4	94	0.00001
