name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Limosilactobacillus fermentum	1613	S	1191971	63692	1255663	0.24367
Limosilactobacillus reuteri	1598	S	602	14	616	0.00012
Limosilactobacillus panis	47493	S	162	7	169	0.00003
Limosilactobacillus mucosae	97478	S	23	0	23	0.00000
Lactiplantibacillus plantarum	1590	S	152	197	349	0.00007
Lactobacillus delbrueckii	1584	S	40	4	44	0.00001
Lactobacillus sp. 3B(2020)	2695882	S	39	0	39	0.00001
Lactobacillus johnsonii	33959	S	15	2	17	0.00000
Weissella paramesenteroides	1249	S	65	10	75	0.00001
Oenococcus oeni	1247	S	57	1	58	0.00001
Lacticaseibacillus paracasei	1597	S	42	2	44	0.00001
Loigolactobacillus bifermentans	1607	S	35	2	37	0.00001
Ligilactobacillus murinus	1622	S	21	1	22	0.00000
Paucilactobacillus nenjiangensis	1296540	S	32	3	35	0.00001
Levilactobacillus brevis	1580	S	21	5	26	0.00001
Furfurilactobacillus rossiae	231049	S	19	0	19	0.00000
Latilactobacillus sakei	1599	S	11	4	15	0.00000
Enterococcus faecalis	1351	S	812017	41467	853484	0.16563
Enterococcus faecium	1352	S	218	41	259	0.00005
Enterococcus cecorum	44008	S	49	0	49	0.00001
Enterococcus rotai	118060	S	24	0	24	0.00000
Enterococcus wangshanyuanii	2005703	S	22	0	22	0.00000
Enterococcus mundtii	53346	S	19	0	19	0.00000
Enterococcus durans	53345	S	17	0	17	0.00000
Enterococcus hirae	1354	S	17	0	17	0.00000
Enterococcus sp. DA9	2603296	S	15	27	42	0.00001
Enterococcus avium	33945	S	12	0	12	0.00000
Vagococcus coleopterorum	2714946	S	31	4	35	0.00001
Tetragenococcus halophilus	51669	S	18	1	19	0.00000
Streptococcus uberis	1349	S	12	9	21	0.00000
Carnobacterium sp. 17-4	208596	S	18	6	24	0.00000
Bacillus subtilis	1423	S	9567	370903	380470	0.07383
Bacillus vallismortis	72361	S	4429	6574	11003	0.00214
Bacillus tequilensis	227866	S	2642	246	2888	0.00056
Bacillus mojavensis	72360	S	1180	629	1809	0.00035
Bacillus halotolerans	260554	S	622	2033	2655	0.00052
Bacillus spizizenii	96241	S	1332	78450	79782	0.01548
Bacillus velezensis	492670	S	709	18838	19547	0.00379
Bacillus amyloliquefaciens	1390	S	122	4209	4331	0.00084
Bacillus siamensis	659243	S	55	267	322	0.00006
Bacillus inaquosorum	483913	S	865	6668	7533	0.00146
Bacillus atrophaeus	1452	S	555	422	977	0.00019
Bacillus paralicheniformis	1648923	S	96	62	158	0.00003
Bacillus sp. MBGLi79	2070759	S	256	1089	1345	0.00026
Bacillus sp. MD-5	2009331	S	215	1245	1460	0.00028
Bacillus sp. PAMC26543	2762329	S	168	1896	2064	0.00040
Bacillus sp. NSP9.1	1071078	S	100	2	102	0.00002
Bacillus sp. JS	1127744	S	93	572	665	0.00013
Bacillus sp. WR11	2448811	S	67	63111	63178	0.01226
Bacillus sp. LJBS06	2809036	S	65	431	496	0.00010
Bacillus sp. LJBS17	2859227	S	61	1412	1473	0.00029
Bacillus sp. HNA3	2585772	S	43	33842	33885	0.00658
Bacillus sp. FJAT-18017	1705566	S	31	0	31	0.00001
Bacillus sp. THAF10	2587848	S	21	0	21	0.00000
Bacillus sp. DSL-17	2567941	S	12	0	12	0.00000
Bacillus sp. N3536	2666127	S	12	2	14	0.00000
Bacillus intestinalis	1963032	S	680	440328	441008	0.08558
Bacillus cereus	1396	S	221	4317	4538	0.00088
Bacillus mycoides	1405	S	92	33	125	0.00002
Bacillus pseudomycoides	64104	S	31	0	31	0.00001
Bacillus thuringiensis	1428	S	15	82	97	0.00002
Bacillus wiedmannii	1890302	S	12	4	16	0.00000
Bacillus anthracis	1392	S	11	457	468	0.00009
Bacillus glycinifermentans	1664069	S	93	8	101	0.00002
Bacillus pumilus	1408	S	51	61	112	0.00002
Bacillus altitudinis	293387	S	46	239	285	0.00006
Bacillus fonticola	2728853	S	44	0	44	0.00001
Bacillus haynesii	1925021	S	39	13	52	0.00001
Bacillus gobiensis	1441095	S	37	0	37	0.00001
Bacillus safensis	561879	S	26	58	84	0.00002
Bacillus haikouensis	1510468	S	18	25	43	0.00001
Alkalihalobacillus clausii	79880	S	16	0	16	0.00000
Priestia megaterium	1404	S	15	3	18	0.00000
