name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas fulva	47880	S	95	9	104	0.00001
Pseudomonas monteilii	76759	S	60	23	83	0.00001
Pseudomonas plecoglossicida	70775	S	27	7	34	0.00000
Pseudomonas mosselii	78327	S	20	16	36	0.00000
Pseudomonas sp. SGAir0191	2217867	S	12	2	14	0.00000
Pseudomonas stutzeri	316	S	850	65	915	0.00010
Pseudomonas balearica	74829	S	91	9	100	0.00001
Pseudomonas xanthomarina	271420	S	34	1	35	0.00000
Pseudomonas luteola	47886	S	12	1	13	0.00000
Pseudomonas syringae	317	S	109	78	187	0.00002
Pseudomonas viridiflava	33069	S	57	1	58	0.00001
Pseudomonas cichorii	36746	S	45	0	45	0.00001
Pseudomonas asturiensis	1190415	S	27	0	27	0.00000
Pseudomonas coronafaciens	53409	S	20	1	21	0.00000
Pseudomonas amygdali	47877	S	12	21	33	0.00000
Pseudomonas fuscovaginae	50340	S	17	2	19	0.00000
Pseudomonas chlororaphis	587753	S	299	45	344	0.00004
Pseudomonas lundensis	86185	S	29	0	29	0.00000
Pseudomonas fragi	296	S	17	4	21	0.00000
Pseudomonas knackmussii	65741	S	278	4	282	0.00003
Pseudomonas denitrificans (nom. rej.)	43306	S	231	5	236	0.00003
Pseudomonas otitidis	319939	S	189	3	192	0.00002
Pseudomonas lalkuanensis	2604832	S	127	1	128	0.00001
Pseudomonas entomophila	312306	S	123	3	126	0.00001
Pseudomonas psychrotolerans	237610	S	121	3	124	0.00001
Pseudomonas campi	2731681	S	112	0	112	0.00001
Pseudomonas oryzae	1392877	S	97	1	98	0.00001
Pseudomonas parafulva	157782	S	68	3	71	0.00001
Pseudomonas alkylphenolica	237609	S	63	1	64	0.00001
Pseudomonas guangdongensis	1245526	S	59	0	59	0.00001
Pseudomonas qingdaonensis	2056231	S	58	0	58	0.00001
Pseudomonas eucalypticola	2599595	S	56	0	56	0.00001
Pseudomonas marincola	437900	S	55	0	55	0.00001
Pseudomonas rhizosphaerae	216142	S	55	0	55	0.00001
Pseudomonas frederiksbergensis	104087	S	52	3	55	0.00001
Pseudomonas pohangensis	364197	S	51	0	51	0.00001
Pseudomonas cremoricolorata	157783	S	51	0	51	0.00001
Pseudomonas vanderleydeniana	2745495	S	47	0	47	0.00001
Pseudomonas brassicacearum	930166	S	43	36	79	0.00001
Pseudomonas saudiphocaensis	1499686	S	40	0	40	0.00000
Pseudomonas sediminis	1691904	S	39	1	40	0.00000
