logFC	logCPM	F	PValue	feature	contrast
-0.30853430230897216	9.385444359732551	0.33950234231923493	0.5601168076243667	3NTVK	Ch_vs_Vf
1.1819797557522094	7.268604274429162	3.4990157900827934	0.06140572790996762	3NTVM	Ch_vs_Vf
1.6389905799760984	7.745487243302108	7.449907122278469	0.006344130447121102	3NTVQ	Ch_vs_Vf
1.231360498329743	6.892303436543045	3.627332079029579	0.056838269939715254	3NTVR	Ch_vs_Vf
1.4727182759451398	7.639901904366092	5.674356607732524	0.017214916893632592	3NTVY	Ch_vs_Vf
1.6013072963487256	6.90320264724589	6.008055230192162	0.014240956511953664	3NTVZ	Ch_vs_Vf
1.2026103935072132	9.549506982919517	5.572363412203144	0.0182463889567769	3NTW3	Ch_vs_Vf
1.5577551546192927	7.577655147519506	6.707082807222375	0.009603268070812543	3NTW4	Ch_vs_Vf
1.3729976404676199	8.862987931500774	6.306066057111749	0.012032776663437116	3NTW5	Ch_vs_Vf
-0.9564501062837834	9.606442414647786	2.9145855996687624	0.08778240224332831	3NTW9	Ch_vs_Vf
1.1239693865621718	10.69347321574911	5.837092084264947	0.015691993287249413	3NTWE	Ch_vs_Vf
1.26748462321485	7.9486847461775945	4.244981680125271	0.039366862460784205	3NTWF	Ch_vs_Vf
0.6189750586212902	7.224154605906903	0.9859751900629385	0.3207284093862266	3NTWH	Ch_vs_Vf
0.7799637403949009	9.324803497535381	2.1126168265536047	0.1460897625053035	3NTWM	Ch_vs_Vf
0.6574441864905125	6.850798584292177	1.0146519418203652	0.3137912988242276	3NTWN	Ch_vs_Vf
0.2170312903658078	7.607024715705408	0.12712889716356363	0.7214277773366033	3NTWS	Ch_vs_Vf
1.1609938297319606	7.515235524932253	3.7894188577098986	0.051577951804764155	3NTWU	Ch_vs_Vf
0.8894894114691798	6.579560483493405	1.7035651075689924	0.19182282624169236	3NTWW	Ch_vs_Vf
1.8612360993026105	7.500755004484192	9.16875481897528	0.0024619095471015593	3NTWY	Ch_vs_Vf
1.1895362742244153	8.861630024174287	4.3610994747807075	0.036768927085407965	3NTXD	Ch_vs_Vf
-0.20850686246781147	9.27065481557686	0.15903127673162754	0.6900500883781883	3NTXF	Ch_vs_Vf
1.2547268233357	6.3196713283721015	3.611292179540652	0.057388922765648914	3NTXG	Ch_vs_Vf
0.9851148045325622	7.418025853901613	2.5329403497120317	0.11149273517835517	3NTXH	Ch_vs_Vf
1.2168275184803485	6.921930934431834	3.6250691627979648	0.056915615246933816	3NTXU	Ch_vs_Vf
0.8851557091844559	7.287179116479895	1.9444520117366053	0.1631863976026241	3NTXX	Ch_vs_Vf
1.0766749755873146	7.269567995399937	2.9494212824249817	0.08590875807425019	3NTXZ	Ch_vs_Vf
0.6974534973436888	9.11475304535519	1.7750073394071186	0.18276402635428748	3NTY2	Ch_vs_Vf
