logFC	logCPM	F	PValue	feature	contrast
6.609529175052611	1.055895631061204	3.544712760578248	0.059735636434508306	2Z7QD	Ch_vs_Vf
2.989449538844942	8.104352220466442	15.588600570757794	7.873016050932283e-5	2Z7RS	Ch_vs_Vf
7.241337114820473	1.2827540913690068	3.8423591295903634	0.04997328264418208	2Z7SC	Ch_vs_Vf
3.0263107946278516	4.92179334679564	8.721252171611653	0.0031452516033472332	2Z7SI	Ch_vs_Vf
-0.18683434892750286	7.161531122625616	0.05863269408067875	0.8086702433860284	2Z7U4	Ch_vs_Vf
4.4221138736205585	8.775687280072558	39.88721150242057	2.6910840403066177e-10	2Z7VY	Ch_vs_Vf
4.239542104462879	5.965897197549459	12.619305056513982	3.8179095008267113e-4	2Z802	Ch_vs_Vf
8.23823184766331	5.169020895078827	20.026951650769366	7.63620125795818e-6	2Z80P	Ch_vs_Vf
4.779525711736055	8.248266830517146	31.591825497590936	1.9025081665937187e-8	2Z80V	Ch_vs_Vf
-0.03589259976987074	4.849234628170924	0.006231371039142997	0.9370811226419177	2Z83G	Ch_vs_Vf
4.540104586055775	9.646783178164911	55.01979904860676	1.1936286020823926e-13	2Z83I	Ch_vs_Vf
3.377093808502375	5.309651603247155	11.424313500841558	7.249042050736625e-4	2Z88M	Ch_vs_Vf
3.599467469650217	8.589999238277247	26.831355952400695	2.2202464192520106e-7	2Z89R	Ch_vs_Vf
5.325285031178932	1.7180229255137869	2.3137958914131724	0.12823070339947656	2Z8AJ	Ch_vs_Vf
3.571394514302577	7.552358376310729	17.693438720724735	2.595301422152019e-5	2Z8UC	Ch_vs_Vf
3.392276507756801	4.418647448143137	8.203638643940746	0.0041806846572087575	2Z8XT	Ch_vs_Vf
0.912346409850032	8.065409458407169	1.821723749496788	0.1771083652444846	2Z90C	Ch_vs_Vf
8.361879452879947	7.35952978799975	22.1782060373281	2.4849303947328703e-6	2Z97R	Ch_vs_Vf
3.936775545098215	6.38673237518732	11.760683556305981	6.049607701072456e-4	2Z980	Ch_vs_Vf
3.4837119390141735	2.446708471372284	1.6489464124953022	0.19910252130474723	2Z9E3	Ch_vs_Vf
1.6864810217253356	1.5498225402401116	0.9992223970961689	0.3174988444052809	2Z9EA	Ch_vs_Vf
5.706453964179216	-0.3549021644560007	3.053532908079493	0.08056185563752467	2Z9FM	Ch_vs_Vf
3.4848272727291087	9.449957116796433	30.201145773653923	3.8952085987497587e-8	2Z9GU	Ch_vs_Vf
0.1285875982411235	2.1725034591635923	0.0035123856186705786	0.9527407382178276	2Z9IR	Ch_vs_Vf
0.46546189014452227	6.488926016317751	0.32089278969407514	0.5710716602619106	2Z9JM	Ch_vs_Vf
8.909698835607754	4.659656143060214	25.88973254982238	3.6151541467426397e-7	2Z9SP	Ch_vs_Vf
4.13671096190295	8.098577225585245	18.184412458025513	2.005213015340201e-5	2Z9UW	Ch_vs_Vf
3.6510319626335335	4.513509682705761	10.729726514055194	0.0010542960174759356	2Z9XI	Ch_vs_Vf
0.8183805132224075	3.8775110083245936	0.4775210500009113	0.48954740033738786	2ZAAY	Ch_vs_Vf
-0.018290884166795356	4.799780168321523	0.014100518945641497	0.9054769142423785	2ZADB	Ch_vs_Vf
3.9607074504570083	8.99721545530971	37.72703454134823	8.138241588852881e-10	2ZAIR	Ch_vs_Vf
3.256646712339932	8.12107349069432	18.749854416098177	1.4904108948093058e-5	2ZAQK	Ch_vs_Vf
1.7201954705654232	5.178335052673876	1.9929165543666822	0.15803639840703404	2ZARS	Ch_vs_Vf
0.7912969578528589	8.440405810204325	1.5754741076297776	0.20941394691444862	2ZAV8	Ch_vs_Vf
2.3458712573052107	5.342869277040814	5.68134362182724	0.017146313783380236	2ZAVY	Ch_vs_Vf
-3.707186999382563	-0.3568981527765136	8.77740643123115e-9	0.9999252479482494	2ZB32	Ch_vs_Vf
2.2010246350613722	4.79619053289815	3.5832962871387486	0.05836336053548555	2ZBEI	Ch_vs_Vf
5.65851300279712	-0.9816582790604739	1.8146692273531677	0.17794925976439424	2ZBM8	Ch_vs_Vf
2.757471212440972	8.413917327836467	16.56282299100952	4.706624235908392e-5	2ZBU7	Ch_vs_Vf
2.6816055485619663	3.590775789304103	4.749508886052356	0.029306759496117874	2ZBVG	Ch_vs_Vf
3.324288937487144	4.823897971221901	9.397488059387129	0.0021728547596726474	2ZBVN	Ch_vs_Vf
0.33581340435972756	10.825127708182	0.4458798091534687	0.504298157077055	2ZC43	Ch_vs_Vf
4.30081131529378	6.857892165264807	23.440922941199972	1.2881747661725562e-6	2ZCCT	Ch_vs_Vf
1.6877419096162007	8.209080807977491	6.256354790902552	0.012374926818125067	2ZCFK	Ch_vs_Vf
1.87055511522823	7.830679692012785	5.704149745558368	0.016924932587671176	2ZCGZ	Ch_vs_Vf
1.413441283185037	3.8885266177029383	1.3506010983954244	0.24517318127412194	2ZD1G	Ch_vs_Vf
4.66565142365897	-1.103224842836575	1.3796429286774692	0.2401621017531841	2ZDSY	Ch_vs_Vf
3.0915951131485255	5.988507616972879	10.745672351135198	0.001045250242476221	2ZDVV	Ch_vs_Vf
4.0085352500597295	5.113413295383141	13.519714233143533	2.3607578346491364e-4	2ZF6Y	Ch_vs_Vf
0.7591045622811856	4.332775014074762	0.4842987483748968	0.4864816564386456	2ZF7P	Ch_vs_Vf
3.5101468356348873	2.6815283283798337	6.275471141200335	0.012242126019049957	2ZF80	Ch_vs_Vf
2.865206249995712	5.170809965024413	3.331298818961545	0.06797330808326069	2ZFBC	Ch_vs_Vf
