TYPE	ACCESSION	ALIAS
EXPERIMENT	ERX14354331	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:129-85319
EXPERIMENT	ERX14354332	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:130-85321
EXPERIMENT	ERX14354333	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:130-85323
EXPERIMENT	ERX14354334	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:130-85325
EXPERIMENT	ERX14354335	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:131-85327
EXPERIMENT	ERX14354336	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:131-85329
EXPERIMENT	ERX14354337	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:131-85331
EXPERIMENT	ERX14354338	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:132-85333
EXPERIMENT	ERX14354339	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:132-85335
EXPERIMENT	ERX14354340	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:132-85337
EXPERIMENT	ERX14354341	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:133-85339
EXPERIMENT	ERX14354342	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:133-85341
EXPERIMENT	ERX14354343	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:133-85343
EXPERIMENT	ERX14354344	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:134-85345
EXPERIMENT	ERX14354345	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:134-85347
EXPERIMENT	ERX14354346	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:134-85349
EXPERIMENT	ERX14354347	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:135-85351
EXPERIMENT	ERX14354348	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:135-85353
EXPERIMENT	ERX14354349	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:135-85355
EXPERIMENT	ERX14354350	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:136-85357
EXPERIMENT	ERX14354351	ena-EXPERIMENT-TAB-07-05-2025-22:52:54:136-85359
