TYPE	ACCESSION	ALIAS
SAMPLE	ERS24436189	MHS328_merged
SAMPLE	ERS24436190	MHS329_merged
SAMPLE	ERS24436191	MHS330_merged
SAMPLE	ERS24436192	MHS331_merged
SAMPLE	ERS24436193	MHS332_merged
SAMPLE	ERS24436194	MHS333_merged
SAMPLE	ERS24436195	MHS334_merged
SAMPLE	ERS24436196	MHS335_merged
SAMPLE	ERS24436197	MHS336_merged
SAMPLE	ERS24436198	MHS337_merged
SAMPLE	ERS24436199	MHS338_merged
SAMPLE	ERS24436200	MHS372_merged
SAMPLE	ERS24436201	MHS373_merged
SAMPLE	ERS24436202	MHS374_merged
SAMPLE	ERS24436203	MHS375_merged
SAMPLE	ERS24436204	MHS376_merged
SAMPLE	ERS24436205	MHS377_merged
SAMPLE	ERS24436206	MHS378_merged
SAMPLE	ERS24436207	MHS379_merged
SAMPLE	ERS24436208	MHS380_merged
SAMPLE	ERS24436209	MHS406_merged
SAMPLE	ERS24436210	SMT028_T1_Ac_merged
SAMPLE	ERS24436211	SMT028_T1_Ch_merged
SAMPLE	ERS24436212	SMT028_T1_Sc_merged
SAMPLE	ERS24436213	SMT028_T1_Tw_merged
SAMPLE	ERS24436214	SMT028_T1_Vf_merged
SAMPLE	ERS24436215	SMT028_T2_Ch_merged
SAMPLE	ERS24436216	SMT028_T2_Sc_merged
SAMPLE	ERS24436217	SMT028_T2_Tw_merged
SAMPLE	ERS24436218	SMT028_T2_Vf_merged
SAMPLE	ERS24436219	SMT028_T3_Ch_merged
SAMPLE	ERS24436220	SMT028_T3_Sc_merged
SAMPLE	ERS24436221	SMT028_T3_Tw_merged
SAMPLE	ERS24436222	SMT029_T1_Ac_merged
SAMPLE	ERS24436223	SMT029_T1_Ch_merged
SAMPLE	ERS24436224	SMT029_T1_Sc_merged
SAMPLE	ERS24436225	SMT029_T1_Tw_merged
SAMPLE	ERS24436226	SMT029_T1_Vf_merged
SAMPLE	ERS24436227	SMT029_T2_Ac_merged
SAMPLE	ERS24436228	SMT029_T2_Ch_merged
SAMPLE	ERS24436229	SMT029_T2_Sc_merged
SAMPLE	ERS24436230	SMT029_T2_Tw_merged
SAMPLE	ERS24436231	SMT029_T2_Vf_merged
SAMPLE	ERS24436232	SMT029_T3_Ac_merged
SAMPLE	ERS24436233	SMT029_T3_Ch_merged
SAMPLE	ERS24436234	SMT029_T3_Sc_merged
SAMPLE	ERS24436235	SMT029_T3_Tw_merged
SAMPLE	ERS24436236	SMT029_T3_Vf_merged
SAMPLE	ERS24436237	SMT030_T1_Ac_merged
SAMPLE	ERS24436238	SMT030_T1_Ch_merged
SAMPLE	ERS24436239	SMT030_T1_Sc_merged
SAMPLE	ERS24436240	SMT030_T1_Tw_merged
SAMPLE	ERS24436241	SMT030_T1_Vf_merged
SAMPLE	ERS24436242	SMT030_T2_Ac_merged
SAMPLE	ERS24436243	SMT030_T2_Ch_merged
SAMPLE	ERS24436244	SMT030_T2_Sc_merged
SAMPLE	ERS24436245	SMT030_T2_Tw_merged
SAMPLE	ERS24436246	SMT030_T2_Vf_merged
SAMPLE	ERS24436247	SMT030_T3_Ac_merged
SAMPLE	ERS24436248	SMT030_T3_Ch_merged
SAMPLE	ERS24436249	SMT030_T3_Sc_merged
SAMPLE	ERS24436250	SMT030_T3_Tw_merged
SAMPLE	ERS24436251	SMT030_T3_Vf_merged
SAMPLE	ERS24436252	MHS339_merged
SAMPLE	ERS24436253	MHS340_merged
SAMPLE	ERS24436254	MHS341_merged
SAMPLE	ERS24436255	MHS342_merged
SAMPLE	ERS24436256	MHS343_merged
SAMPLE	ERS24436257	MHS344_merged
SAMPLE	ERS24436258	MHS345_merged
SAMPLE	ERS24436259	MHS346_merged
SAMPLE	ERS24436260	MHS347_merged
SAMPLE	ERS24436261	MHS348_merged
SAMPLE	ERS24436262	MHS349_merged
SAMPLE	ERS24436263	MHS350_merged
SAMPLE	ERS24436264	MHS351_merged
SAMPLE	ERS24436265	MHS352_merged
SAMPLE	ERS24436266	MHS353_merged
SAMPLE	ERS24436267	MHS354_merged
SAMPLE	ERS24436268	MHS355_merged
SAMPLE	ERS24436269	MHS356_merged
SAMPLE	ERS24436270	MHS357_merged
SAMPLE	ERS24436271	MHS358_merged
SAMPLE	ERS24436272	MHS359_merged
SAMPLE	ERS24436273	MHS360_merged
SAMPLE	ERS24436274	MHS361_merged
SAMPLE	ERS24436275	MHS362_merged
SAMPLE	ERS24436276	MHS363_merged
SAMPLE	ERS24436277	MHS364_merged
SAMPLE	ERS24436278	MHS365_merged
SAMPLE	ERS24436279	MHS366_merged
SAMPLE	ERS24436280	MHS367_merged
SAMPLE	ERS24436281	MHS368_merged
SAMPLE	ERS24436282	MHS369_merged
SAMPLE	ERS24436283	MHS370_merged
SAMPLE	ERS24436284	MHS371_merged
