normalized_position	All_Reads.normalized_coverage
0	0.189059
1	0.31727
2	0.411041
3	0.489293
4	0.572336
5	0.658575
6	0.736587
7	0.806683
8	0.872949
9	0.935524
10	0.991755
11	1.043348
12	1.085566
13	1.112755
14	1.142122
15	1.162525
16	1.173336
17	1.177509
18	1.178841
19	1.184775
20	1.19505
21	1.197439
22	1.192807
23	1.189901
24	1.185646
25	1.180073
26	1.174804
27	1.16801
28	1.164114
29	1.153306
30	1.139917
31	1.129731
32	1.124039
33	1.121634
34	1.121075
35	1.123409
36	1.122398
37	1.126029
38	1.126342
39	1.118274
40	1.113501
41	1.112643
42	1.116188
43	1.116368
44	1.119684
45	1.124195
46	1.119152
47	1.108681
48	1.102516
49	1.102402
50	1.10296
51	1.098856
52	1.087541
53	1.079653
54	1.074371
55	1.068368
56	1.069943
57	1.072375
58	1.071468
59	1.070114
60	1.073792
61	1.080147
62	1.08987
63	1.101422
64	1.100972
65	1.095359
66	1.103537
67	1.112956
68	1.123987
69	1.130905
70	1.131311
71	1.131529
72	1.139843
73	1.141331
74	1.132949
75	1.128408
76	1.124611
77	1.117278
78	1.10725
79	1.097482
80	1.082632
81	1.070528
82	1.056831
83	1.045303
84	1.032249
85	1.013336
86	0.991448
87	0.967791
88	0.932503
89	0.893704
90	0.851066
91	0.805475
92	0.748449
93	0.681023
94	0.611962
95	0.542174
96	0.461889
97	0.37906
98	0.290726
99	0.194581
100	0.096187
