normalized_position	All_Reads.normalized_coverage
0	0.187532
1	0.351094
2	0.495213
3	0.622978
4	0.747647
5	0.85922
6	0.958504
7	1.044562
8	1.12011
9	1.188531
10	1.254739
11	1.308963
12	1.350235
13	1.375807
14	1.398996
15	1.413491
16	1.430033
17	1.43806
18	1.436953
19	1.432478
20	1.425415
21	1.410962
22	1.397058
23	1.385172
24	1.366346
25	1.346201
26	1.326025
27	1.299373
28	1.276641
29	1.255631
30	1.239903
31	1.228162
32	1.213522
33	1.200105
34	1.184043
35	1.16541
36	1.148181
37	1.132795
38	1.118469
39	1.108386
40	1.09968
41	1.093685
42	1.084923
43	1.075659
44	1.069392
45	1.064371
46	1.061424
47	1.058652
48	1.058091
49	1.055854
50	1.051945
51	1.046455
52	1.042011
53	1.034953
54	1.027694
55	1.024525
56	1.017368
57	1.011071
58	1.004839
59	0.994773
60	0.985995
61	0.982637
62	0.982072
63	0.976973
64	0.971044
65	0.964638
66	0.959566
67	0.952922
68	0.945518
69	0.937152
70	0.928704
71	0.922732
72	0.917256
73	0.921125
74	0.92587
75	0.926358
76	0.925481
77	0.921552
78	0.919283
79	0.914999
80	0.913756
81	0.913724
82	0.920907
83	0.919675
84	0.914222
85	0.903099
86	0.879953
87	0.852304
88	0.820238
89	0.776547
90	0.734771
91	0.692751
92	0.64291
93	0.587293
94	0.529337
95	0.465184
96	0.398352
97	0.333832
98	0.265764
99	0.185306
100	0.092391
