normalized_position	All_Reads.normalized_coverage
0	0.138146
1	0.248638
2	0.330193
3	0.411418
4	0.508309
5	0.594482
6	0.669684
7	0.741741
8	0.811723
9	0.886572
10	0.949026
11	0.982228
12	1.00913
13	1.027731
14	1.047458
15	1.059425
16	1.073069
17	1.073974
18	1.101428
19	1.136544
20	1.151079
21	1.157021
22	1.166911
23	1.169843
24	1.166576
25	1.181852
26	1.19608
27	1.193798
28	1.194396
29	1.184355
30	1.16746
31	1.189237
32	1.212984
33	1.214237
34	1.223277
35	1.217118
36	1.19774
37	1.191747
38	1.200584
39	1.204175
40	1.208544
41	1.216601
42	1.214455
43	1.222174
44	1.240877
45	1.255908
46	1.265848
47	1.265128
48	1.273255
49	1.284261
50	1.278005
51	1.261563
52	1.24933
53	1.236298
54	1.209899
55	1.193969
56	1.160473
57	1.15582
58	1.15552
59	1.14647
60	1.158583
61	1.157054
62	1.165576
63	1.164682
64	1.1598
65	1.14616
66	1.145558
67	1.131177
68	1.118653
69	1.121997
70	1.116574
71	1.123945
72	1.120118
73	1.125559
74	1.127025
75	1.10027
76	1.077992
77	1.078747
78	1.083248
79	1.076243
80	1.066143
81	1.043099
82	1.004899
83	0.982921
84	0.947604
85	0.91338
86	0.887248
87	0.850711
88	0.802475
89	0.754906
90	0.704342
91	0.652842
92	0.593538
93	0.530588
94	0.469916
95	0.404671
96	0.33819
97	0.276748
98	0.20778
99	0.141744
100	0.07408
