normalized_position	All_Reads.normalized_coverage
0	0.125065
1	0.226621
2	0.310218
3	0.382273
4	0.458387
5	0.530095
6	0.601743
7	0.670858
8	0.735006
9	0.793202
10	0.850715
11	0.902527
12	0.947809
13	0.987867
14	1.028962
15	1.056978
16	1.080815
17	1.101596
18	1.119378
19	1.13923
20	1.151156
21	1.160862
22	1.169863
23	1.177705
24	1.180946
25	1.181325
26	1.183441
27	1.184427
28	1.188266
29	1.1891
30	1.19052
31	1.180739
32	1.174823
33	1.175872
34	1.18183
35	1.179222
36	1.173707
37	1.16833
38	1.16873
39	1.177496
40	1.176799
41	1.180403
42	1.186874
43	1.189559
44	1.18725
45	1.185037
46	1.185416
47	1.178756
48	1.178091
49	1.186489
50	1.190724
51	1.186534
52	1.18143
53	1.181253
54	1.176485
55	1.170914
56	1.174451
57	1.181888
58	1.179005
59	1.17111
60	1.164936
61	1.163738
62	1.159883
63	1.157517
64	1.159811
65	1.158472
66	1.156044
67	1.15367
68	1.155281
69	1.161213
70	1.167295
71	1.166662
72	1.167667
73	1.167197
74	1.163169
75	1.153536
76	1.149549
77	1.141498
78	1.129699
79	1.120262
80	1.108763
81	1.091978
82	1.076706
83	1.061102
84	1.042209
85	1.01186
86	0.976628
87	0.937782
88	0.898305
89	0.848153
90	0.789914
91	0.724835
92	0.658959
93	0.588621
94	0.514285
95	0.441615
96	0.368148
97	0.295048
98	0.22138
99	0.145352
100	0.071571
