normalized_position	All_Reads.normalized_coverage
0	0.13387
1	0.232725
2	0.33629
3	0.442114
4	0.547228
5	0.636786
6	0.727924
7	0.795737
8	0.862797
9	0.920275
10	0.97407
11	1.020817
12	1.068317
13	1.096441
14	1.121669
15	1.149096
16	1.156284
17	1.161705
18	1.172598
19	1.184576
20	1.178825
21	1.163758
22	1.153357
23	1.152615
24	1.141462
25	1.121947
26	1.128152
27	1.128054
28	1.12563
29	1.115837
30	1.108374
31	1.102005
32	1.097253
33	1.112626
34	1.130948
35	1.138266
36	1.147531
37	1.156266
38	1.168325
39	1.156581
40	1.161104
41	1.157471
42	1.163938
43	1.173684
44	1.192417
45	1.196215
46	1.201136
47	1.225007
48	1.225574
49	1.236868
50	1.239978
51	1.241772
52	1.241467
53	1.221538
54	1.209262
55	1.22408
56	1.207087
57	1.209441
58	1.197915
59	1.182993
60	1.180721
61	1.163208
62	1.154923
63	1.12737
64	1.129065
65	1.127588
66	1.118427
67	1.119082
68	1.118745
69	1.099737
70	1.09805
71	1.108718
72	1.117197
73	1.109359
74	1.112024
75	1.120093
76	1.09853
77	1.08037
78	1.077113
79	1.054199
80	1.019171
81	1.022277
82	1.008491
83	0.955467
84	0.938028
85	0.919621
86	0.899119
87	0.876207
88	0.849351
89	0.804871
90	0.76626
91	0.724648
92	0.659667
93	0.595238
94	0.545164
95	0.477015
96	0.404318
97	0.334783
98	0.254987
99	0.174177
100	0.091614
