normalized_position	All_Reads.normalized_coverage
0	0.156057
1	0.281367
2	0.373824
3	0.45913
4	0.538742
5	0.638571
6	0.724593
7	0.800927
8	0.868462
9	0.930584
10	0.971443
11	1.000871
12	1.02363
13	1.057646
14	1.075773
15	1.106149
16	1.137328
17	1.152587
18	1.165018
19	1.181304
20	1.196153
21	1.196431
22	1.183797
23	1.181465
24	1.164705
25	1.161799
26	1.174104
27	1.173949
28	1.176618
29	1.174116
30	1.157047
31	1.137889
32	1.126466
33	1.118497
34	1.105698
35	1.101813
36	1.089051
37	1.103959
38	1.10638
39	1.107134
40	1.116239
41	1.128603
42	1.136226
43	1.150107
44	1.145744
45	1.154871
46	1.1707
47	1.169035
48	1.148267
49	1.145535
50	1.15123
51	1.140493
52	1.12477
53	1.118228
54	1.122525
55	1.121907
56	1.136996
57	1.148351
58	1.167304
59	1.182446
60	1.188527
61	1.188308
62	1.18617
63	1.185706
64	1.202376
65	1.189587
66	1.184984
67	1.185015
68	1.194514
69	1.19137
70	1.194854
71	1.197118
72	1.190724
73	1.172053
74	1.154498
75	1.124958
76	1.083981
77	1.069009
78	1.057511
79	1.052162
80	1.027691
81	1.007161
82	1.001049
83	0.984307
84	0.960784
85	0.934927
86	0.918143
87	0.906695
88	0.877479
89	0.847842
90	0.805208
91	0.744637
92	0.681258
93	0.599533
94	0.539144
95	0.477966
96	0.395331
97	0.33173
98	0.259092
99	0.182668
100	0.091304
