normalized_position	All_Reads.normalized_coverage
0	0.153718
1	0.272478
2	0.382672
3	0.480094
4	0.573793
5	0.666254
6	0.748261
7	0.825968
8	0.892373
9	0.949454
10	0.994532
11	1.030514
12	1.060172
13	1.078986
14	1.107543
15	1.126964
16	1.145469
17	1.15662
18	1.173714
19	1.18905
20	1.206055
21	1.203032
22	1.191833
23	1.187428
24	1.182588
25	1.179812
26	1.17677
27	1.170142
28	1.173201
29	1.163835
30	1.153017
31	1.152145
32	1.1519
33	1.142908
34	1.133509
35	1.128761
36	1.11349
37	1.097424
38	1.103887
39	1.115861
40	1.121867
41	1.133277
42	1.138433
43	1.135057
44	1.136514
45	1.135997
46	1.126999
47	1.121582
48	1.116708
49	1.116412
50	1.112982
51	1.111306
52	1.115933
53	1.11867
54	1.121819
55	1.114677
56	1.110603
57	1.109459
58	1.10683
59	1.097278
60	1.106916
61	1.116749
62	1.1304
63	1.139634
64	1.135642
65	1.133651
66	1.130666
67	1.124728
68	1.136804
69	1.139284
70	1.147887
71	1.146172
72	1.156717
73	1.149998
74	1.153497
75	1.158402
76	1.152582
77	1.144888
78	1.126318
79	1.115567
80	1.093685
81	1.080188
82	1.05806
83	1.035077
84	1.0035
85	0.965372
86	0.938497
87	0.919406
88	0.882635
89	0.843694
90	0.79846
91	0.74028
92	0.691278
93	0.629827
94	0.554431
95	0.479696
96	0.404474
97	0.323632
98	0.245797
99	0.162326
100	0.080414
