normalized_position	All_Reads.normalized_coverage
0	0.130473
1	0.257339
2	0.372453
3	0.474923
4	0.574222
5	0.671704
6	0.757755
7	0.844188
8	0.922971
9	0.991088
10	1.049098
11	1.100781
12	1.135301
13	1.167699
14	1.191492
15	1.209597
16	1.232654
17	1.250928
18	1.270527
19	1.281373
20	1.288726
21	1.291929
22	1.29295
23	1.290894
24	1.286383
25	1.284617
26	1.28013
27	1.270443
28	1.25716
29	1.243362
30	1.235828
31	1.229307
32	1.216837
33	1.206765
34	1.190867
35	1.176235
36	1.164452
37	1.153851
38	1.143483
39	1.135163
40	1.126255
41	1.117622
42	1.109683
43	1.108096
44	1.105982
45	1.104698
46	1.103628
47	1.10433
48	1.104376
49	1.111666
50	1.116765
51	1.115655
52	1.113754
53	1.108971
54	1.100013
55	1.094401
56	1.089333
57	1.085375
58	1.079802
59	1.072413
60	1.065157
61	1.064273
62	1.066599
63	1.065366
64	1.058425
65	1.052878
66	1.045899
67	1.041579
68	1.040067
69	1.03965
70	1.036494
71	1.033512
72	1.035578
73	1.033237
74	1.026217
75	1.01707
76	1.007831
77	0.998718
78	0.992394
79	0.986407
80	0.986227
81	0.976409
82	0.971078
83	0.966764
84	0.960842
85	0.954016
86	0.936267
87	0.918067
88	0.895608
89	0.859482
90	0.823832
91	0.779383
92	0.721066
93	0.658768
94	0.592262
95	0.520745
96	0.445693
97	0.366367
98	0.284679
99	0.194955
100	0.09707
