LIBID	READS_ALIGNED	EXONIC_ALIGNMENTS	INTRONIC_ALIGNMENTS	INTERGENIC_ALIGNMENTS	OVERLAPPING_EXON_ALIGNMENTS	FIVE_PRIME_BIAS	THREE_PRIME_BIAS	FIVE_TO_THREE_PRIME_BIAS
SRR12952952	4408572	113639	2328049	3102692	101839	0.5	0.28	2.99
SRR12952953	66922954	13410398	61557720	94966776	3057547	0.3	0.31	0.95
SRR12952954	26447416	8291843	26912453	41909241	1428239	0.31	0.31	1.07
SRR12952955	31272349	1501344	19228304	21996602	1067859	0.44	0.44	1.14
SRR12952956	54136349	17915522	66362877	117657417	3607718	0.25	0.22	1.16
SRR12952957	31225462	13966263	35319628	58936410	2672351	0.32	0.25	1.37
SRR12952958	44962615	1264710	25512636	28709027	1101945	0.41	0.39	1.06
SRR12952959	37489433	5510977	26488215	32191645	1770268	0.4	0.38	1.09
SRR12952960	29690359	11093354	34517116	54722591	1653364	0.18	0.12	2.43
