#Transcript position	Transcript coverage profile
0.0	2787.1583514798267
1.0	15353.907701985196
2.0	23772.118495749324
3.0	26887.74826966109
4.0	28001.29234098115
5.0	30204.44006763182
6.0	33492.22165861938
7.0	42361.25220753037
8.0	42024.15319889172
9.0	42404.71656724449
10.0	44178.9687560275
11.0	50273.06360519163
12.0	51737.03024045897
13.0	49660.81133676246
14.0	45855.32537062406
15.0	39245.906051485734
16.0	32697.791330316082
17.0	28426.268317300008
18.0	27131.283742193005
19.0	27070.089441396605
20.0	27324.285998178795
21.0	28624.496124409372
22.0	29748.52610541377
23.0	29560.60095654104
24.0	28617.746396173756
25.0	28225.65306374203
26.0	28063.34845795019
27.0	28887.929327738548
28.0	27461.54344873998
29.0	25016.96039273715
30.0	22649.30853880655
31.0	23002.334837678995
32.0	22883.736334066623
33.0	22208.202426388405
34.0	22089.19220929172
35.0	22257.49542785867
36.0	22517.145477001293
37.0	22951.918647985578
38.0	25797.25532294366
39.0	31858.039950658334
40.0	34206.06388698584
41.0	35485.16270884203
42.0	37797.17974187974
43.0	39597.99214533866
44.0	51586.99761135397
45.0	51637.49258287342
46.0	52674.74213598553
47.0	54467.66583527883
48.0	54734.16995818555
49.0	55142.43991749081
50.0	54333.46105977892
51.0	53003.41355805612
52.0	51392.847717026096
53.0	51205.847403209555
54.0	51564.39039659071
55.0	52061.737335076316
56.0	51982.593396867735
57.0	51748.44628969809
58.0	51341.37372692563
59.0	50654.83296606513
60.0	46469.842421996094
61.0	29852.13959220014
62.0	14108.169758162465
63.0	12866.77876366757
64.0	12804.76601417433
65.0	12776.211901263276
66.0	12670.380961607118
67.0	12487.104763122963
68.0	12217.151962945842
69.0	11970.040410529018
70.0	11676.894880547736
71.0	11269.117240866059
72.0	10599.196120281382
73.0	10508.163408726612
74.0	10082.157850896549
75.0	9436.652786542949
76.0	8684.10485281006
77.0	6539.559118280833
78.0	2826.3373793601363
79.0	1679.0500159786095
80.0	1884.033025558216
81.0	2005.880688650736
82.0	1899.034383760415
83.0	1554.0332229467865
84.0	1086.8579587235454
85.0	989.3678327493417
86.0	901.9199151186442
87.0	862.7407354358215
88.0	838.631608601923
89.0	895.9649533302573
90.0	873.4150384505581
91.0	765.8641442750429
92.0	675.6565849023226
93.0	561.8642812832376
94.0	521.5506336246314
95.0	481.06568897738555
96.0	442.246344969899
97.0	410.9856528509877
98.0	361.0508213673313
99.0	165.77681321227
