#Transcript position	Transcript coverage profile
0.0	5831.562348309141
1.0	6218.313847486512
2.0	6432.705978990201
3.0	6869.833174228606
4.0	7541.988750682906
5.0	8382.145882059163
6.0	9403.020332479222
7.0	9985.490617360369
8.0	10428.847268879259
9.0	11029.459388902098
10.0	11466.8272114364
11.0	11797.162590292683
12.0	12022.881896793997
13.0	12322.806146260415
14.0	12746.816834349807
15.0	13018.18547526013
16.0	13326.884193709795
17.0	13426.418004973884
18.0	13758.0252866495
19.0	13680.397370917985
20.0	13793.411429149786
21.0	13386.05538507924
22.0	13437.569894754568
23.0	13569.3273041436
24.0	13425.216164819802
25.0	13680.02362276322
26.0	14013.146438148444
27.0	14403.063697336122
28.0	14624.971942608923
29.0	15024.08629602426
30.0	15234.447405757155
31.0	15032.201264087029
32.0	15143.324528603818
33.0	15462.037039576044
34.0	15830.69542446634
35.0	16269.445634706872
36.0	16476.138316473713
37.0	16583.49462009509
38.0	16829.285925236476
39.0	17274.308566080523
40.0	17621.40960326348
41.0	17423.334486181073
42.0	17204.71081614331
43.0	17492.7631250297
44.0	17532.42058392977
45.0	18086.34248129911
46.0	18369.45674438927
47.0	18372.339346263467
48.0	18415.432587787316
49.0	18368.661225739997
50.0	18223.389495834796
51.0	18033.201118794368
52.0	18164.015074679086
53.0	18211.653618662665
54.0	18238.443815091603
55.0	18255.840853853308
56.0	17751.403894575535
57.0	17958.603850053725
58.0	18208.09265161829
59.0	18557.19147912992
60.0	18649.752589827327
61.0	18254.18918183645
62.0	17752.352433377142
63.0	17595.279962537235
64.0	17522.617740455233
65.0	17258.733315092504
66.0	17297.99131680303
67.0	17206.11284303907
68.0	17019.859321575932
69.0	16911.8328309111
70.0	16981.810051208326
71.0	16743.43896730582
72.0	16472.292678772516
73.0	16265.630494408044
74.0	15691.65249132774
75.0	15560.58753273292
76.0	15479.044983188925
77.0	15402.298950723354
78.0	15128.282536131546
79.0	14888.800797456597
80.0	14732.007858839645
81.0	14230.991418552883
82.0	13778.25452523522
83.0	13492.302601578862
84.0	13249.446875479553
85.0	13016.46199517391
86.0	12759.100141644705
87.0	12357.376823488805
88.0	11612.008940632968
89.0	11035.47265748733
90.0	10302.974650196136
91.0	9106.163091464412
92.0	8007.535187579246
93.0	7108.057276848146
94.0	6217.768716695134
95.0	4968.470749994791
96.0	3624.240496310251
97.0	2614.689089115072
98.0	1423.3156714009738
99.0	241.16681589828048
