#Transcript position	Transcript coverage profile
0.0	28847.316986161488
1.0	30745.349363005138
2.0	32237.40111555109
3.0	34463.84233614913
4.0	37326.990542510284
5.0	40970.75869420132
6.0	44886.626472216165
7.0	47471.57479253143
8.0	50010.16700474946
9.0	52691.47319486179
10.0	54416.65117720366
11.0	56656.1330699402
12.0	57577.385335583735
13.0	59114.729254888116
14.0	61185.80544475143
15.0	62297.642952926006
16.0	64023.330344562004
17.0	66167.92217390591
18.0	68695.50086607528
19.0	69024.5506071471
20.0	69922.69482850119
21.0	69434.40695286401
22.0	69947.42519420879
23.0	70562.40902100482
24.0	71712.5886757957
25.0	72808.66404923135
26.0	73984.6689369379
27.0	75697.34197999166
28.0	76577.09606771605
29.0	78028.73776277083
30.0	78397.04004120396
31.0	78767.5139192421
32.0	79704.77964071986
33.0	80893.86015539229
34.0	81675.28115351923
35.0	82755.54114687788
36.0	82988.36080232498
37.0	83618.50800064573
38.0	84274.10689503253
39.0	85821.0363981886
40.0	88226.69941965757
41.0	87790.61192051723
42.0	86894.49863978707
43.0	86876.22261059203
44.0	87024.02488436697
45.0	88039.79939768753
46.0	88314.01354238082
47.0	87812.76282760185
48.0	88104.36094479986
49.0	88111.52923972804
50.0	87501.69988728968
51.0	88078.73154899546
52.0	88567.73135405712
53.0	88491.6558279382
54.0	87971.17553847158
55.0	87116.52770888983
56.0	84365.31346982703
57.0	83519.58715621848
58.0	83269.49111486186
59.0	83669.90102841357
60.0	82072.58800996172
61.0	80782.74139147473
62.0	80504.61575962264
63.0	80502.04974419034
64.0	79958.78666460353
65.0	78631.49070156619
66.0	78427.72106382278
67.0	79366.06271484328
68.0	79578.09400857211
69.0	79371.6861716038
70.0	79713.44630468276
71.0	79408.88636133913
72.0	78644.05205091649
73.0	76877.42056983546
74.0	74452.0729350966
75.0	72935.15887697726
76.0	71762.77750688152
77.0	70422.88756086268
78.0	68804.14667259366
79.0	67187.32084018464
80.0	66429.44851243716
81.0	64677.510449137706
82.0	63270.818536601
83.0	62701.96157026608
84.0	60617.91820726337
85.0	59019.69537153896
86.0	57422.067433172124
87.0	55007.28707054363
88.0	51245.991786421015
89.0	47147.866027302254
90.0	43291.55766035135
91.0	38499.65470556357
92.0	34324.9109337326
93.0	29382.139865106452
94.0	26410.111249254373
95.0	21798.3303156019
96.0	15546.90548429887
97.0	11150.39342478733
98.0	6556.847270454476
99.0	1290.5534657725536
