LIBID	READ_PAIRS_ALIGNED	EXONIC_ALIGNMENTS	INTRONIC_ALIGNMENTS	INTERGENIC_ALIGNMENTS	OVERLAPPING_EXON_ALIGNMENTS	FIVE_PRIME_BIAS	THREE_PRIME_BIAS	FIVE_TO_THREE_PRIME_BIAS
SRIS_healthy_1	43681680	35549700	31867632	15245370	3822103	0.82	0.69	1.18
SRIS_healthy_2	57025436	48083098	26627884	33233832	4909348	0.6	0.48	1.31
SRIS_healthy_3	20446190	5977186	18231406	14462722	1115711	0	0	7.83
SRIS_healthy_4	22773839	31759047	8023301	2920505	2326275	0.7	0.5	1.3
