# Pathway	MHS382_genefamilies_Abundance
M00119|g__Staphylococcus.s__Staphylococcus_epidermidis	48.0856967093
M00119|unclassified	27.1310138976
M00116	512.9202159064
M00116|g__Staphylococcus.s__Staphylococcus_hominis	169.3791709925
M00609	503.3594636610
M00609|g__Staphylococcus.s__Staphylococcus_hominis	264.1588903043
M00913	497.7449334371
M00913|g__Staphylococcus.s__Staphylococcus_hominis	361.5783832572
M00913|g__Cutibacterium.s__Cutibacterium_acnes	97.1370143149
M00913|unclassified	39.0295358650
M00913|g__Staphylococcus.s__Staphylococcus_epidermidis	36.6300366300
M00926	416.5348333217
M00926|g__Staphylococcus.s__Staphylococcus_hominis	234.7160275991
M00702	394.0600538291
M00702|g__Staphylococcus.s__Staphylococcus_hominis	312.1595315281
M00702|g__Staphylococcus.s__Staphylococcus_epidermidis	68.4905606152
M00702|g__Staphylococcus.s__Staphylococcus_capitis	13.4099616858
M00373-1	368.7810893420
M00373-1|g__Cutibacterium.s__Cutibacterium_acnes	282.1222316684
M00373-1|g__Veillonella.s__Veillonella_parvula	32.8076101535
M00913-2	353.6877540448
M00913-2|g__Staphylococcus.s__Staphylococcus_hominis	288.2282778237
M00913-2|g__Staphylococcus.s__Staphylococcus_epidermidis	40.5373578411
M00913-2|unclassified	24.9221183801
M00088	338.0552134605
M00088|g__Staphylococcus.s__Staphylococcus_hominis	288.1568573841
M00088|g__Staphylococcus.s__Staphylococcus_epidermidis	32.0011386318
M00088|unclassified	14.9327124273
M00525	302.3771024426
M00364	298.5811181312
M00364|g__Staphylococcus.s__Staphylococcus_hominis	245.1410156328
M00364|g__Staphylococcus.s__Staphylococcus_capitis	29.5238095238
M00364|g__Cutibacterium.s__Cutibacterium_acnes	23.9162929746
M00365	298.5811181312
M00365|g__Staphylococcus.s__Staphylococcus_hominis	245.1410156328
M00365|g__Staphylococcus.s__Staphylococcus_capitis	29.5238095238
M00365|g__Cutibacterium.s__Cutibacterium_acnes	23.9162929746
M00972	298.4845512759
M00972|g__Staphylococcus.s__Staphylococcus_hominis	101.1159576276
M00972|g__Cutibacterium.s__Cutibacterium_acnes	50.4548973095
