#Transcript position	Transcript coverage profile
0.0	581.2450365528556
1.0	623.8114862466082
2.0	726.8869294637014
3.0	791.8214661792816
4.0	950.7741714060992
5.0	1073.295189964916
6.0	1183.0596774103328
7.0	1283.8126336996518
8.0	1366.8319339649909
9.0	1479.0688157563436
10.0	1642.2608418432937
11.0	1719.878876086674
12.0	1767.6605807066937
13.0	1849.1952190494337
14.0	1940.2725377089382
15.0	2024.1157267552976
16.0	2065.351722298019
17.0	2140.2850102464945
18.0	2219.1906448322875
19.0	2291.1516728357724
20.0	2401.959328426804
21.0	2501.081896213926
22.0	2531.7567276927616
23.0	2559.859627806681
24.0	2600.749047531794
25.0	2656.7129058644155
26.0	2722.163487488203
27.0	2777.5566954437695
28.0	2860.530453510286
29.0	2935.12998613162
30.0	2985.826668701524
31.0	3020.393678496242
32.0	3042.0070386362554
33.0	3079.3227009585858
34.0	3151.544485958941
35.0	3204.7385930418272
36.0	3282.9979127110682
37.0	3358.0867765649755
38.0	3377.784370756844
39.0	3415.270341425795
40.0	3518.6721193507547
41.0	3608.5055924870035
42.0	3731.6492344643757
43.0	3758.631554758809
44.0	3757.0411016800367
45.0	3818.2237782424163
46.0	3891.9296761770156
47.0	3886.121400306674
48.0	3892.713024634523
49.0	3892.7737002265058
50.0	3793.5889980440847
51.0	3717.84192237743
52.0	3636.8158545252304
53.0	3590.200852728089
54.0	3522.338778956357
55.0	3467.9094867188564
56.0	3435.631557366926
57.0	3374.661409900473
58.0	3287.3085168853177
59.0	3185.7308532016327
60.0	3109.85295219768
61.0	3105.888326474061
62.0	3102.1641881521587
63.0	3007.670545480473
64.0	2955.7641062560638
65.0	2833.7274194672773
66.0	2729.0059473186766
67.0	2632.087191164699
68.0	2608.9192787778325
69.0	2567.003569729798
70.0	2438.8261621435886
71.0	2327.5690165374463
72.0	2284.751869462818
73.0	2262.251316781553
74.0	2234.3585577171666
75.0	2184.4655571497237
76.0	2151.8771778537002
77.0	2128.538637065745
78.0	2075.6695438830207
79.0	2008.6217727130831
80.0	1929.1289548346053
81.0	1874.4921822700667
82.0	1908.8870813349363
83.0	1932.1230406153065
84.0	1880.8004503234545
85.0	1655.0106750804682
86.0	1436.666737290528
87.0	1342.1576757395972
88.0	1303.4000819416415
89.0	1251.183451436484
90.0	1131.916551333981
91.0	948.445204370076
92.0	793.9588653381039
93.0	735.9103040507011
94.0	675.7536467185474
95.0	513.2357473042476
96.0	316.1814244120853
97.0	216.34286638161106
98.0	87.24353679812688
99.0	10.628179915354481
