18.60	640611	unclassified
51.82	1784238	 Malassezia sympodialis
4.89	168323	 Malassezia globosa
2.01	69372	 Malassezia restricta
0.31	10666	 Malassezia obtusa
0.28	9725	 Malassezia yamatoensis
0.26	8781	 Malassezia japonica
0.17	5920	 Malassezia slooffiae
0.16	5620	 Malassezia arunalokei
0.14	4743	 Malassezia furfur
0.10	3538	 Malassezia dermatis
0.08	2731	 Malassezia cuniculi
0.08	2661	 Malassezia caprae
0.03	1092	 Malassezia nana
0.03	868	 Malassezia pachydermatis
0.01	346	 Malassezia equina
0.00	60	 Malassezia vespertilionis
0.00	82	 Ustilago maydis
0.00	55	 Sporisorium graminicola
0.02	657	 Marasmius oreades
0.01	201	 Rhizoctonia solani
0.00	35	 Cryptococcus neoformans
0.07	2434	 Aspergillus chevalieri
0.03	1109	 Aspergillus oryzae
0.00	12	 Aspergillus flavus
0.04	1221	 Aspergillus luchuensis
0.02	539	 Aspergillus fumigatus
0.01	334	 Aspergillus puulaauensis
0.01	249	 Talaromyces rugulosus
0.00	169	 Fusarium venenatum
0.00	118	 Fusarium graminearum
0.00	36	 Fusarium pseudograminearum
0.00	133	 Fusarium fujikuroi
0.00	117	 Fusarium verticillioides
0.00	91	 Fusarium oxysporum
0.01	291	 Ustilaginoidea virens
0.01	285	 Pochonia chlamydosporia
0.00	152	 Drechmeria coniospora
0.01	279	 Colletotrichum higginsianum
0.03	1075	 Neurospora crassa
0.01	278	 Thermothelomyces thermophilus
0.01	247	 Thermothielavioides terrestris
0.00	134	 Pyricularia grisea
0.00	107	 Pyricularia oryzae
0.00	100	 Pyricularia pennisetigena
0.00	132	 Botrytis cinerea
0.02	741	 Cercospora beticola
0.01	444	 Zymoseptoria tritici
0.01	192	 Saccharomyces cerevisiae
0.00	9	 Saccharomyces paradoxus
0.00	1	 Saccharomyces eubayanus
0.00	44	 Naumovozyma castellii
0.00	31	 Naumovozyma dairenensis
0.00	38	 Eremothecium sinecaudum
0.00	27	 Eremothecium gossypii
0.00	32	 Kazachstania africana
0.00	17	 Kazachstania naganishii
0.00	38	 Zygotorulaspora mrakii
0.00	30	 Tetrapisispora phaffii
0.00	5	 Tetrapisispora blattae
0.00	29	 [Candida] glabrata
0.00	22	 Torulaspora globosa
0.00	13	 Zygosaccharomyces rouxii
0.00	4	 Kluyveromyces marxianus
0.00	2	 Kluyveromyces lactis
0.00	1	 Lachancea thermotolerans
0.01	395	 Brettanomyces nanus
0.00	14	 Brettanomyces bruxellensis
0.00	107	 Pichia kudriavzevii
0.00	42	 Candida orthopsilosis
0.00	26	 Candida albicans
0.00	13	 Candida dubliniensis
0.00	75	 Debaryomyces hansenii
0.00	20	 Scheffersomyces stipitis
0.00	111	 Yarrowia lipolytica
0.00	90	 Sugiyamaella lignohabitans
0.00	58	 [Candida] auris
0.00	13	 Komagataella phaffii
0.00	2	 Schizosaccharomyces pombe
0.00	15	 Encephalitozoon romaleae
0.25	8601	 Homo sapiens
0.78	26750	 Rothia amarae
0.21	7177	 Rothia mucilaginosa
0.05	1579	 Rothia kristinae
0.04	1258	 Rothia terrae
0.03	1172	 Rothia aeria
0.03	948	 Rothia dentocariosa
0.00	2	 Rothia nasimurium
0.12	3996	 Kocuria palustris
0.11	3911	 Kocuria rhizophila
0.04	1500	 Kocuria indica
0.03	1048	 Kocuria sp. KD4
0.00	134	 Kocuria sp. TGY1120_3
0.00	47	 Kocuria sp. BT304
0.00	27	 Kocuria sp. TGY1127_2
0.00	151	 Kocuria varians
0.00	52	 Kocuria rosea
0.00	10	 Kocuria turfanensis
0.00	9	 Kocuria flava
0.03	1071	 Micrococcus luteus
0.02	847	 Micrococcus sp. KD337-16
0.00	19	 Micrococcus sp. KBS0714
0.00	140	 Arthrobacter sp. NEB 688
0.00	15	 Arthrobacter sp. PAMC 25486
0.00	10	 Arthrobacter sp. QXT-31
0.00	6	 Arthrobacter sp. PAMC25284
0.00	4	 Arthrobacter sp. StoSoilB5
0.00	4	 Arthrobacter sp. 24S4-2
0.00	3	 Arthrobacter sp. NicSoilB4
0.00	2	 Arthrobacter sp. PGP41
0.00	2	 Arthrobacter sp. ERGS1:01
0.00	2	 Arthrobacter sp. FB24
0.00	1	 Arthrobacter sp. StoSoilB19
0.00	1	 Arthrobacter sp. U41
0.00	1	 Arthrobacter sp. NicSoilB11
0.00	1	 Arthrobacter sp. NicSoilC5
0.00	31	 Arthrobacter alpinus
0.00	10	 Arthrobacter agilis
0.00	6	 Arthrobacter citreus
0.00	2	 Arthrobacter crystallopoietes
0.00	2	 Arthrobacter woluwensis
0.00	1	 Arthrobacter dokdonellae
0.00	49	 Citricoccus sp. SGAir0253
0.00	11	 Pseudarthrobacter chlorophenolicus
0.00	1	 Pseudarthrobacter sp. NIBRBAC000502771
0.00	1	 Pseudarthrobacter sp. NBSH8
0.00	1	 Pseudarthrobacter sp. BIM B-2242
0.00	1	 Pseudarthrobacter equi
0.00	19	 Glutamicibacter protophormiae
0.00	2	 Glutamicibacter creatinolyticus
0.00	1	 Glutamicibacter arilaitensis
0.00	1	 Glutamicibacter mishrai
0.00	1	 Glutamicibacter halophytocola
0.00	34	 Psychromicrobium lacuslunae
0.00	26	 Nesterenkonia sp. NBAIMH1
0.00	21	 Sinomonas atrocyanea
0.00	1	 Sinomonas sp. R1AF57
0.00	14	 Neomicrococcus aestuarii
0.00	11	 Renibacterium salmoninarum
0.00	9	 Paenarthrobacter sp. YJN-5
0.00	1	 Paenarthrobacter sp. YJN-D
0.00	8	 Paeniglutamicibacter sp. Y32M11
0.72	24644	 Dermacoccus nishinomiyaensis
0.32	10889	 Dermacoccus sp. PAMC28757
0.01	456	 Luteipulveratus mongoliensis
0.00	157	 Yimella sp. cx-51
0.15	5104	 Ornithinimicrobium flavum
0.00	94	 Ornithinimicrobium sp. AMA3305
0.00	57	 Ornithinimicrobium sp. HY006
0.00	36	 Ornithinimicrobium sp. H23M54
0.00	56	 Ornithinimicrobium pratense
0.00	112	 Serinicoccus chungangensis
0.00	67	 Serinicoccus profundi
0.00	41	 Serinicoccus hydrothermalis
0.00	39	 Serinicoccus marinus
0.13	4636	 Phycicoccus endophyticus
0.00	77	 Phycicoccus sp. HDW14
0.01	505	 Pedococcus dokdonensis
0.00	111	 Janibacter melonis
0.00	80	 Janibacter indicus
0.00	69	 Janibacter limosus
0.00	40	 Janibacter sp. YB324
0.00	31	 Arsenicicoccus sp. oral taxon 190
0.00	26	 Tetrasphaera sp. HKS02
0.00	15	 Intrasporangium calvum
0.01	406	 Brachybacterium saurashtrense
0.01	175	 Brachybacterium sp. P6-10-X1
0.00	33	 Brachybacterium sp. SGAir0954
0.00	109	 Brachybacterium ginsengisoli
0.00	107	 Brachybacterium vulturis
0.00	37	 Brachybacterium faecium
0.00	1	 Brachybacterium avium
0.01	226	 Dermabacter jinjuensis
0.00	7	 Dermabacter vaginalis
0.00	18	 Devriesea agamarum
0.06	2035	 Kytococcus sedentarius
0.00	35	 Microbacterium sp. PM5
