virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAK6|Virus	5478	4590.418184877199	S	N-acetylmuramoyl-L-alanine amidase activity	MHS493	virus_OG
4QAKE|Virus	19	71.13363363363364	S	endonuclease activity	MHS493	virus_OG
4QAQV|Virus	1	3.436426116838488	S	protein disulfide oxidoreductase activity	MHS493	virus_OG
4QAR6|Virus	5	11.82033096926714	L	dUTP diphosphatase activity	MHS493	virus_OG
4QAR7|Virus	108	128.71863512999627	S	Phage portal protein, SPP1 Gp6-like	MHS493	virus_OG
4QARF|Virus	11	8.507347254447023	S	Pfam:Terminase_3C	MHS493	virus_OG
4QAWG|Virus	24	42.291666666666664	S	DnaB-like helicase C terminal domain	MHS493	virus_OG
4QAX8|Virus	1	3.623188405797101	S	calcium ion binding	MHS493	virus_OG
4QAZF|Virus	3	6.25	S	Protein of unknwon function (DUF3310)	MHS493	virus_OG
4QB0W|Virus	2	4.866180048661801	S	Protein of unknown function (DUF1064)	MHS493	virus_OG
4QBCW|Virus	6	14.814814814814813	S	Phage gp6-like head-tail connector protein	MHS493	virus_OG
4QBF8|Virus	29	69.54671903125512	S	Phage tail protein	MHS493	virus_OG
4QBFR|Virus	3	4.587155963302752	S	ERF superfamily	MHS493	virus_OG
4QBGM|Virus	5	9.009009009009008	S	deoxyribonucleoside 5'-monophosphate N-glycosidase activity	MHS493	virus_OG
4QBMM|Virus	93	80.31088082901555	S	NA	MHS493	virus_OG
4QBNM|Virus	4	5.188067444876784	S	serine-type endopeptidase activity	MHS493	virus_OG
4QBV3|Virus	20	27.166269186082065	S	Phage Terminase	MHS493	virus_OG
4QC3R|Virus	1	4.065040650406504	S	NA	MHS493	virus_OG
4QDBK|Virus	37	106.89373623773814	S	NA	MHS493	virus_OG
4QDKP|Virus	3998	7301.585293869634	S	transaminase activity	MHS493	virus_OG
4QDV8|Virus	49	102.08333333333334	S	NA	MHS493	virus_OG
4QE1H|Virus	71	197.1313086638164	S	NA	MHS493	virus_OG
4QFB2|Virus	1	6.5359477124183005	S	NA	MHS493	virus_OG
4QFMI|Virus	68	81.32814343005427	S	PD-(D/E)XK nuclease superfamily	MHS493	virus_OG
4QGJD|Virus	19	59.190031152647975	S	NA	MHS493	virus_OG
4QGQS|Virus	1	4.065040650406504	S	NA	MHS493	virus_OG
4QGVM|Virus	79	227.70680231652577	S	NA	MHS493	virus_OG
4QHQD|Virus	223	213.33256485415365	S	NA	MHS493	virus_OG
