virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAK6|Virus	6559	5506.313746443413	S	N-acetylmuramoyl-L-alanine amidase activity	MHS461	virus_OG
4QAKE|Virus	4	13.201320132013201	S	endonuclease activity	MHS461	virus_OG
4QAQV|Virus	10	33.888051253869165	S	protein disulfide oxidoreductase activity	MHS461	virus_OG
4QAR6|Virus	7	16.431924882629108	L	dUTP diphosphatase activity	MHS461	virus_OG
4QAR7|Virus	40	31.252046576813754	S	Phage portal protein, SPP1 Gp6-like	MHS461	virus_OG
4QARF|Virus	15	11.60092807424594	S	Pfam:Terminase_3C	MHS461	virus_OG
4QAU9|Virus	6	14.492753623188406	S	Single-strand binding protein family	MHS461	virus_OG
4QAX8|Virus	1	3.623188405797101	S	calcium ion binding	MHS461	virus_OG
4QAZF|Virus	20	80.2750120973336	S	Protein of unknwon function (DUF3310)	MHS461	virus_OG
4QB07|Virus	11	27.989821882951652	S	NA	MHS461	virus_OG
4QB0W|Virus	7	17.0316301703163	S	Protein of unknown function (DUF1064)	MHS461	virus_OG
4QBCW|Virus	12	31.292018090697958	S	Phage gp6-like head-tail connector protein	MHS461	virus_OG
4QBF8|Virus	10	10.92896174863388	S	Phage tail protein	MHS461	virus_OG
4QBIH|Virus	33	23.504273504273506	S	recombinase activity	MHS461	virus_OG
4QBMM|Virus	4	13.60544217687075	S	NA	MHS461	virus_OG
4QBNM|Virus	15	25.252525252525253	S	serine-type endopeptidase activity	MHS461	virus_OG
4QCCB|Virus	17	36.05310543148163	S	Pfam:Peptidase_M78	MHS461	virus_OG
4QD4X|Virus	2	4.761904761904762	S	NA	MHS461	virus_OG
4QDBK|Virus	10	31.22640424436077	S	NA	MHS461	virus_OG
4QDF9|Virus	2	5.420054200542006	S	Protein of unknown function (DUF1071)	MHS461	virus_OG
4QDU7|Virus	5	14.005602240896359	S	Staphylococcal nuclease homologue	MHS461	virus_OG
4QDV8|Virus	8	16.666666666666668	S	NA	MHS461	virus_OG
4QE1H|Virus	11	30.555555555555557	S	NA	MHS461	virus_OG
4QE7B|Virus	90	47.69475357710652	S	metallocarboxypeptidase activity	MHS461	virus_OG
4QEE8|Virus	122	133.33333333333331	S	Pfam:DUF5047	MHS461	virus_OG
4QEM5|Virus	18	44.776119402985074	S	NA	MHS461	virus_OG
4QERS|Virus	2	6.172839506172839	S	NA	MHS461	virus_OG
4QFB2|Virus	2	10.92896174863388	S	NA	MHS461	virus_OG
4QFX0|Virus	2	9.261045726413276	S	NA	MHS461	virus_OG
4QG3J|Virus	19	14.328808446455504	S	Domain of unknown function (DUF4041)	MHS461	virus_OG
4QGHH|Virus	42	50.421034290864036	S	NA	MHS461	virus_OG
4QGJD|Virus	5	14.600463841450559	S	NA	MHS461	virus_OG
4QGVM|Virus	21	58.333333333333336	S	NA	MHS461	virus_OG
