virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAJ5|Virus	2	3.7878787878787876	S	Major capsid protein Gp23	MHS488	virus_OG
4QAK6|Virus	12905	11419.620150026849	S	N-acetylmuramoyl-L-alanine amidase activity	MHS488	virus_OG
4QAKE|Virus	75	248.70668207520276	S	endonuclease activity	MHS488	virus_OG
4QAQE|Virus	3	6.172839506172839	S	Phage integrase family	MHS488	virus_OG
4QAQQ|Virus	2	4.830917874396135	S	T4-like virus tail tube protein gp19	MHS488	virus_OG
4QAR6|Virus	3	7.042253521126761	L	dUTP diphosphatase activity	MHS488	virus_OG
4QAR7|Virus	2839	2141.025641025641	S	Phage portal protein, SPP1 Gp6-like	MHS488	virus_OG
4QASJ|Virus	38	35.12070716894681	S	Polyomavirus coat protein	MHS488	virus_OG
4QATV|Virus	18	31.413612565445028	S	T-antigen specific domain	MHS488	virus_OG
4QAU9|Virus	40	91.13908428976923	S	Single-strand binding protein family	MHS488	virus_OG
4QAUM|Virus	120	259.3399009464825	S	Early Protein (E6)	MHS488	virus_OG
4QAWG|Virus	1979	2284.8885903148207	S	DnaB-like helicase C terminal domain	MHS488	virus_OG
4QAZ6|Virus	3	11.363636363636363	S	Phage tail sheath protein	MHS488	virus_OG
4QB0W|Virus	2	4.866180048661801	S	Protein of unknown function (DUF1064)	MHS488	virus_OG
4QB1K|Virus	7	22.39994460601025	S	Gene 25-like lysozyme	MHS488	virus_OG
4QB31|Virus	89	267.07745461036626	S	E7 protein, Early protein	MHS488	virus_OG
4QB5I|Virus	44	62.67806267806268	S	N-methyltransferase activity	MHS488	virus_OG
4QBBN|Virus	2	4.11522633744856	S	Siphovirus Gp157	MHS488	virus_OG
4QBF8|Virus	1780	2131.3173490908093	S	Phage tail protein	MHS488	virus_OG
4QBHW|Virus	38	63.048590254010385	S	NA	MHS488	virus_OG
4QBM5|Virus	3	10.416666666666668	S	NA	MHS488	virus_OG
4QBMM|Virus	2216	2290.6483249952375	S	NA	MHS488	virus_OG
4QBNM|Virus	37	62.28956228956229	S	serine-type endopeptidase activity	MHS488	virus_OG
4QBSI|Virus	177	53.75783692308438	S	NA	MHS488	virus_OG
4QBV3|Virus	3514	2335.9640190088257	S	Phage Terminase	MHS488	virus_OG
4QC2G|Virus	20	34.54231433506045	S	Ribonucleotide reductase, small chain	MHS488	virus_OG
4QC7C|Virus	35	34.619188921859546	S	NA	MHS488	virus_OG
4QCCB|Virus	17	44.973544973544975	S	Pfam:Peptidase_M78	MHS488	virus_OG
4QCR1|Virus	618	488.06523459920095	S	Late Protein L2	MHS488	virus_OG
4QDBK|Virus	638	1829.1344504573738	S	NA	MHS488	virus_OG
4QDF9|Virus	31	81.36482939632546	S	Protein of unknown function (DUF1071)	MHS488	virus_OG
4QDFC|Virus	11	26.570048309178745	S	NA	MHS488	virus_OG
4QDKP|Virus	780	1402.3666975855188	S	transaminase activity	MHS488	virus_OG
4QDQV|Virus	345	583.3963745482996	S	E2 (early) protein, N terminal	MHS488	virus_OG
4QDRW|Virus	14	30.762527233115467	S	Phage virion morphogenesis family	MHS488	virus_OG
4QDS9|Virus	17	19.883040935672515	S	Phage capsid scaffolding protein (GPO) serine peptidase	MHS488	virus_OG
4QDV8|Virus	860	1802.115021313562	S	NA	MHS488	virus_OG
4QE1H|Virus	780	2255.4965361042614	S	NA	MHS488	virus_OG
4QE7B|Virus	142	100.11388109010136	S	metallocarboxypeptidase activity	MHS488	virus_OG
4QEAI|Virus	3	8.711484593837536	S	Phage regulatory protein CII (CP76)	MHS488	virus_OG
4QEC5|Virus	23	13.403263403263404	S	Polyomavirus large T antigen C-terminus	MHS488	virus_OG
4QEI8|Virus	3	15.15151515151515	S	Protein of unknown function (DUF2724)	MHS488	virus_OG
4QEX3|Virus	2	6.872852233676976	S	NA	MHS488	virus_OG
4QEZU|Virus	618	412.61423302408105	S	L1 (late) protein	MHS488	virus_OG
4QFMI|Virus	1087	1126.5341472098476	S	PD-(D/E)XK nuclease superfamily	MHS488	virus_OG
4QG3J|Virus	85	64.1025641025641	S	Domain of unknown function (DUF4041)	MHS488	virus_OG
4QGJD|Virus	882	1403.0547142385033	S	NA	MHS488	virus_OG
4QGQN|Virus	695	407.5105278571061	L	Papillomavirus helicase	MHS488	virus_OG
4QGVM|Virus	748	2283.7594664115104	S	NA	MHS488	virus_OG
4QGXN|Virus	7	23.333333333333336	S	NA	MHS488	virus_OG
4QH23|Virus	29	24.914089347079038	S	Phage late control gene D protein (GPD)	MHS488	virus_OG
4QH4R|Virus	2	4.662004662004662	S	Pfam:Phi29_Phage_SSB	MHS488	virus_OG
4QHQD|Virus	1028	1171.5030634536856	S	NA	MHS488	virus_OG
4QHQH|Virus	28	13.017201301720132	S	Bacteriophage replication gene A protein (GPA)	MHS488	virus_OG
4QHQR|Virus	7	18.239663933033714	S	NA	MHS488	virus_OG
