virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAIU|Virus	13	23.598100536052087	S	HNH endonuclease	MHS485	virus_OG
4QAK6|Virus	2860	2467.5284018871125	S	N-acetylmuramoyl-L-alanine amidase activity	MHS485	virus_OG
4QAKA|Virus	28	68.62745098039215	S	sigma factor activity	MHS485	virus_OG
4QAKE|Virus	9	29.391618407123733	S	endonuclease activity	MHS485	virus_OG
4QAKM|Virus	24	38.51063829787234	S	DNA polymerase family A	MHS485	virus_OG
4QAMU|Virus	47	57.400149309443826	S	Baseplate J-like protein	MHS485	virus_OG
4QAN9|Virus	14	17.879948914431672	S	NA	MHS485	virus_OG
4QAPQ|Virus	11	12.557077625570777	S	NA	MHS485	virus_OG
4QAPV|Virus	65	85.90354825548492	S	DNA binding	MHS485	virus_OG
4QAQA|Virus	2	9.132420091324201	S	NinB protein	MHS485	virus_OG
4QAQE|Virus	16	30.655610446893444	S	Phage integrase family	MHS485	virus_OG
4QAQV|Virus	16	61.898871109397426	S	protein disulfide oxidoreductase activity	MHS485	virus_OG
4QAR6|Virus	11	25.821596244131456	L	dUTP diphosphatase activity	MHS485	virus_OG
4QAR7|Virus	164	127.83035946896135	S	Phage portal protein, SPP1 Gp6-like	MHS485	virus_OG
4QARF|Virus	57	44.18604651162791	S	Pfam:Terminase_3C	MHS485	virus_OG
4QATN|Virus	1	3.8314176245210727	S	cysteine-type peptidase activity	MHS485	virus_OG
4QATP|Virus	31	51.926298157453935	S	NA	MHS485	virus_OG
4QAU9|Virus	40	87.61103319308089	S	Single-strand binding protein family	MHS485	virus_OG
4QAUM|Virus	15	32.467532467532465	S	Early Protein (E6)	MHS485	virus_OG
4QAVQ|Virus	43	71.66666666666667	S	Phage major tail protein 2	MHS485	virus_OG
4QAWD|Virus	26	64.13985471577095	S	DNA polymerase type B, organellar and viral	MHS485	virus_OG
4QAWH|Virus	17	36.55913978494623	S	Protein of unknown function (DUF2001)	MHS485	virus_OG
4QAX8|Virus	53	77.51111298693962	S	calcium ion binding	MHS485	virus_OG
4QAYF|Virus	6	10	S	Uncharacterized protein conserved in bacteria (DUF2313)	MHS485	virus_OG
4QAZ6|Virus	52	47.27754900038285	S	Phage tail sheath protein	MHS485	virus_OG
4QAZF|Virus	6	13.513513513513514	S	Protein of unknwon function (DUF3310)	MHS485	virus_OG
4QB05|Virus	2	8.658008658008658	S	Pfam:Phage_holin_Dp1	MHS485	virus_OG
4QB0W|Virus	2	4.246284501061571	S	Protein of unknown function (DUF1064)	MHS485	virus_OG
4QB1F|Virus	24	53.42163207816289	S	NA	MHS485	virus_OG
4QB1K|Virus	2	5.899705014749262	S	Gene 25-like lysozyme	MHS485	virus_OG
4QB31|Virus	12	40.17857142857143	S	E7 protein, Early protein	MHS485	virus_OG
4QB3F|Virus	15	14.731126291819933	S	Protein of unknown function (DUF1351)	MHS485	virus_OG
4QB3I|Virus	2	4.566210045662101	S	NA	MHS485	virus_OG
4QB40|Virus	45	59.021876368429446	S	DNA polymerase family B	MHS485	virus_OG
4QB49|Virus	4	8.385744234800839	S	Domain of unknown function (DUF4055)	MHS485	virus_OG
4QB5I|Virus	14	31.05981568422883	S	N-methyltransferase activity	MHS485	virus_OG
4QB5N|Virus	15	20.5761316872428	S	NA	MHS485	virus_OG
4QB67|Virus	26	30.197444831591174	S	Podovirus DNA encapsidation protein (Gp16)	MHS485	virus_OG
4QB6U|Virus	22	52.23289759372234	S	Terminase small subunit	MHS485	virus_OG
4QB7V|Virus	5	16.501650165016503	S	NA	MHS485	virus_OG
4QB93|Virus	2	6.5359477124183005	S	Rho termination factor, N-terminal domain	MHS485	virus_OG
4QB9J|Virus	76	41.85373569229301	S	NA	MHS485	virus_OG
4QB9S|Virus	6	14.492753623188406	S	Phage major capsid protein E	MHS485	virus_OG
