virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAK6|Virus	6882	5587.809663108421	S	N-acetylmuramoyl-L-alanine amidase activity	MHS523	virus_OG
4QAKM|Virus	65	63.913470993117016	S	DNA polymerase family A	MHS523	virus_OG
4QAR7|Virus	2	8.23045267489712	S	Phage portal protein, SPP1 Gp6-like	MHS523	virus_OG
4QAT6|Virus	6	17.24137931034483	S	Protein of unknown function (DUF4054)	MHS523	virus_OG
4QAWG|Virus	6	7.220216606498195	S	DnaB-like helicase C terminal domain	MHS523	virus_OG
4QAYV|Virus	4	8.88888888888889	S	Phage portal protein	MHS523	virus_OG
4QB5I|Virus	8	8.385744234800839	S	N-methyltransferase activity	MHS523	virus_OG
4QBF8|Virus	1	3.4722222222222223	S	Phage tail protein	MHS523	virus_OG
4QBV3|Virus	4	7.207207207207206	S	Phage Terminase	MHS523	virus_OG
4QC2G|Virus	6	10.362694300518136	S	Ribonucleotide reductase, small chain	MHS523	virus_OG
4QD1J|Virus	3	10.75268817204301	S	Protein of unknown function (DUF1364)	MHS523	virus_OG
4QDBK|Virus	3	8.19672131147541	S	NA	MHS523	virus_OG
4QE9D|Virus	13	40.97222222222222	S	NA	MHS523	virus_OG
4QFMI|Virus	26	27.956989247311828	S	PD-(D/E)XK nuclease superfamily	MHS523	virus_OG
4QGHT|Virus	2	3.6429872495446265	S	Peptidase_C39 like family	MHS523	virus_OG
4QGJD|Virus	11	18.90230981140072	S	NA	MHS523	virus_OG
4QGN0|Virus	7	18.51851851851852	S	NA	MHS523	virus_OG
4QGVM|Virus	3	8.474576271186441	S	NA	MHS523	virus_OG
4QHD5|Virus	2	3.7243947858472994	S	NA	MHS523	virus_OG
4QHIM|Virus	2	5.2493438320209975	S	Helix-turn-helix domain	MHS523	virus_OG
