virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAK6|Virus	10836	8702.993453174238	S	N-acetylmuramoyl-L-alanine amidase activity	MHS539	virus_OG
4QAKE|Virus	106	347.3626076657858	S	endonuclease activity	MHS539	virus_OG
4QAQE|Virus	8	7.073386383731211	S	Phage integrase family	MHS539	virus_OG
4QAQQ|Virus	2	7.662835249042145	S	T4-like virus tail tube protein gp19	MHS539	virus_OG
4QAR7|Virus	358	269.98491704374055	S	Phage portal protein, SPP1 Gp6-like	MHS539	virus_OG
4QAU9|Virus	6	9.569377990430622	S	Single-strand binding protein family	MHS539	virus_OG
4QAUM|Virus	93	258.698850491665	S	Early Protein (E6)	MHS539	virus_OG
4QAWG|Virus	146	202.5907122403343	S	DnaB-like helicase C terminal domain	MHS539	virus_OG
4QAWI|Virus	7	12.612612612612612	S	Pfam:Peptidase_S77	MHS539	virus_OG
4QB0W|Virus	7	17.412935323383085	S	Protein of unknown function (DUF1064)	MHS539	virus_OG
4QB31|Virus	51	183.33501038245865	S	E7 protein, Early protein	MHS539	virus_OG
4QBF8|Virus	131	290.4761571212093	S	Phage tail protein	MHS539	virus_OG
4QBMM|Virus	172	405.47831230869053	S	NA	MHS539	virus_OG
4QBNW|Virus	5	18.51851851851852	S	NA	MHS539	virus_OG
4QBV3|Virus	1163	781.5241573321293	S	Phage Terminase	MHS539	virus_OG
4QC3R|Virus	1	3.623188405797101	S	NA	MHS539	virus_OG
4QCR1|Virus	462	298.75529255489084	S	Late Protein L2	MHS539	virus_OG
4QCX5|Virus	35	95.5339559113144	S	Glycosyl hydrolase 108	MHS539	virus_OG
4QD6Y|Virus	20	41.928721174004195	S	DNA N-6-adenine-methyltransferase (Dam)	MHS539	virus_OG
4QD8F|Virus	4	10.75268817204301	S	NA	MHS539	virus_OG
4QDBK|Virus	211	533.4972150325268	S	NA	MHS539	virus_OG
4QDKP|Virus	93	170.40503696208225	S	transaminase activity	MHS539	virus_OG
4QDQV|Virus	440	376.948329753946	S	E2 (early) protein, N terminal	MHS539	virus_OG
4QDV8|Virus	283	592.2431865828092	S	NA	MHS539	virus_OG
4QE1H|Virus	223	674.5539754363284	S	NA	MHS539	virus_OG
4QE47|Virus	47	94.94949494949495	S	NA	MHS539	virus_OG
4QE7B|Virus	13	9.868072406772097	S	metallocarboxypeptidase activity	MHS539	virus_OG
4QEZU|Virus	400	258.2657249383703	S	L1 (late) protein	MHS539	virus_OG
4QFMI|Virus	818	1002.7442022778466	S	PD-(D/E)XK nuclease superfamily	MHS539	virus_OG
4QG0Y|Virus	5	7.974481658692185	S	NA	MHS539	virus_OG
4QGJD|Virus	413	899.9047966293956	S	NA	MHS539	virus_OG
4QGQN|Virus	295	337.04498606138094	L	Papillomavirus helicase	MHS539	virus_OG
4QGVM|Virus	281	801.4003624048489	S	NA	MHS539	virus_OG
4QH77|Virus	4	14.336917562724013	S	NA	MHS539	virus_OG
4QHQD|Virus	65	193.76411340390757	S	NA	MHS539	virus_OG
