virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAIU|Virus	3	5.405405405405405	S	HNH endonuclease	MHS484	virus_OG
4QAK6|Virus	678	608.0776227684682	S	N-acetylmuramoyl-L-alanine amidase activity	MHS484	virus_OG
4QAKA|Virus	20	49.01960784313726	S	sigma factor activity	MHS484	virus_OG
4QAKE|Virus	8	26.402640264026402	S	endonuclease activity	MHS484	virus_OG
4QAKM|Virus	10	8.56898029134533	S	DNA polymerase family A	MHS484	virus_OG
4QAPV|Virus	4	11.594202898550726	S	DNA binding	MHS484	virus_OG
4QAQ9|Virus	9	14.563106796116505	S	NA	MHS484	virus_OG
4QAQV|Virus	1	4.62962962962963	S	protein disulfide oxidoreductase activity	MHS484	virus_OG
4QAR6|Virus	2	4.694835680751174	L	dUTP diphosphatase activity	MHS484	virus_OG
4QAR7|Virus	85	75.37042621129486	S	Phage portal protein, SPP1 Gp6-like	MHS484	virus_OG
4QARF|Virus	38	29.45736434108527	S	Pfam:Terminase_3C	MHS484	virus_OG
4QATP|Virus	14	23.450586264656618	S	NA	MHS484	virus_OG
4QAU9|Virus	18	38.70967741935484	S	Single-strand binding protein family	MHS484	virus_OG
4QAUM|Virus	8	17.316017316017316	S	Early Protein (E6)	MHS484	virus_OG
4QAVQ|Virus	20	42.17054263565892	S	Phage major tail protein 2	MHS484	virus_OG
4QAWD|Virus	2	5.698005698005699	S	DNA polymerase type B, organellar and viral	MHS484	virus_OG
4QAX8|Virus	46	57.10348116568723	S	calcium ion binding	MHS484	virus_OG
4QB1F|Virus	2	11.49425287356322	S	NA	MHS484	virus_OG
4QB40|Virus	5	5.112474437627812	S	DNA polymerase family B	MHS484	virus_OG
4QB6U|Virus	19	43.283580196331876	S	Terminase small subunit	MHS484	virus_OG
4QBCW|Virus	8	23.809523809523807	S	Phage gp6-like head-tail connector protein	MHS484	virus_OG
4QBDC|Virus	23	46.7479674796748	S	Pfam:Phage_holin_4_1	MHS484	virus_OG
4QBF8|Virus	4	4.246284501061571	S	Phage tail protein	MHS484	virus_OG
4QBFR|Virus	4	6.116207951070336	S	ERF superfamily	MHS484	virus_OG
4QBHS|Virus	27	29.7029702970297	S	DNA metabolic process	MHS484	virus_OG
4QBHW|Virus	11	17.79935275080906	S	NA	MHS484	virus_OG
4QBIH|Virus	1	3.875968992248062	S	recombinase activity	MHS484	virus_OG
4QBSI|Virus	146	43.0297671676982	S	NA	MHS484	virus_OG
4QBSJ|Virus	6	8.547008547008547	S	DNA primase activity	MHS484	virus_OG
4QBT2|Virus	1	4.219409282700422	S	NA	MHS484	virus_OG
4QBV3|Virus	3	9.72905115597866	S	Phage Terminase	MHS484	virus_OG
4QC5Z|Virus	83	78.85896934965703	S	Phage Mu protein F like protein	MHS484	virus_OG
4QCCB|Virus	14	30.279061376850812	S	Pfam:Peptidase_M78	MHS484	virus_OG
4QCCS|Virus	1	3.546099290780142	S	Bacteriophage holin	MHS484	virus_OG
4QCR1|Virus	20	12.746972594008923	S	Late Protein L2	MHS484	virus_OG
4QDBK|Virus	13	36.24397478680015	S	NA	MHS484	virus_OG
4QDEN|Virus	6	14.184397163120568	S	NA	MHS484	virus_OG
4QDKP|Virus	4	6.633499170812604	S	transaminase activity	MHS484	virus_OG
4QDQV|Virus	8	12.81128832393972	S	E2 (early) protein, N terminal	MHS484	virus_OG
4QDU7|Virus	3	8.474576271186441	S	Staphylococcal nuclease homologue	MHS484	virus_OG
4QDV8|Virus	26	54.05163599182004	S	NA	MHS484	virus_OG
4QDY5|Virus	3	11.195286195286194	S	NA	MHS484	virus_OG
4QE0Y|Virus	14	22.544283413848632	S	Pfam:Gamma_PGA_hydro	MHS484	virus_OG
4QE1H|Virus	9	25.070028011204485	S	NA	MHS484	virus_OG
4QE7B|Virus	105	93.27801857585139	S	metallocarboxypeptidase activity	MHS484	virus_OG
4QENQ|Virus	1	3.4013605442176873	S	NA	MHS484	virus_OG
4QEPC|Virus	1	3.436426116838488	S	NA	MHS484	virus_OG
4QEZU|Virus	33	21.551216916598875	S	L1 (late) protein	MHS484	virus_OG
4QF51|Virus	50	69.97144022847817	S	NA	MHS484	virus_OG
4QF7M|Virus	8	14.732965009208103	S	AAA domain	MHS484	virus_OG
4QFMI|Virus	6	19.607843137254903	S	PD-(D/E)XK nuclease superfamily	MHS484	virus_OG
4QG17|Virus	3	6.8965517241379315	S	NA	MHS484	virus_OG
4QG1E|Virus	7	12.82051282051282	S	NA	MHS484	virus_OG
4QG2D|Virus	79	40.51282051282051	S	NA	MHS484	virus_OG
4QG3C|Virus	4	4.11522633744856	S	NA	MHS484	virus_OG
4QG8W|Virus	2	7.49063670411985	S	NA	MHS484	virus_OG
4QGAP|Virus	6	11.76470588235294	S	Phage tail tube protein FII	MHS484	virus_OG
4QGE9|Virus	1	4.329004329004329	S	NA	MHS484	virus_OG
4QGQN|Virus	41	22.367703218767048	L	Papillomavirus helicase	MHS484	virus_OG
4QGVM|Virus	13	36.72316384180791	S	NA	MHS484	virus_OG
