virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAIJ|Virus	2	3.9215686274509802	S	C-5 cytosine-specific DNA methylase	MHS446	virus_OG
4QAIU|Virus	1	3.5087719298245617	S	HNH endonuclease	MHS446	virus_OG
4QAK6|Virus	6635	5471.694025100625	S	N-acetylmuramoyl-L-alanine amidase activity	MHS446	virus_OG
4QAKE|Virus	15	27.99145299145299	S	endonuclease activity	MHS446	virus_OG
4QAR6|Virus	1	4.273504273504273	L	dUTP diphosphatase activity	MHS446	virus_OG
4QAR7|Virus	8	19.753086419753085	S	Phage portal protein, SPP1 Gp6-like	MHS446	virus_OG
4QAUM|Virus	602	1248.6267523488366	S	Early Protein (E6)	MHS446	virus_OG
4QAX0|Virus	8	12.578616352201257	S	virus tail	MHS446	virus_OG
4QAY9|Virus	152	169.3222280155771	S	hydrolase activity, acting on acid anhydrides	MHS446	virus_OG
4QB31|Virus	346	1182.6923076923076	S	E7 protein, Early protein	MHS446	virus_OG
4QB5I|Virus	51	59.41643655526644	S	N-methyltransferase activity	MHS446	virus_OG
4QB9S|Virus	6	16.666666666666668	S	Phage major capsid protein E	MHS446	virus_OG
4QBH1|Virus	43	73.29339422381324	S	AAA domain	MHS446	virus_OG
4QC2G|Virus	28	48.359240069084635	S	Ribonucleotide reductase, small chain	MHS446	virus_OG
4QC2T|Virus	14	20.558002936857562	S	NA	MHS446	virus_OG
4QCB0|Virus	6	12.703608448289298	S	nuclease activity	MHS446	virus_OG
4QCMA|Virus	6	11.976047904191617	S	NA	MHS446	virus_OG
4QCR1|Virus	2160	1478.4394250513346	S	Late Protein L2	MHS446	virus_OG
4QDKP|Virus	21	37.74910756949714	S	transaminase activity	MHS446	virus_OG
4QDQV|Virus	838	1391.976997240155	S	E2 (early) protein, N terminal	MHS446	virus_OG
4QE1H|Virus	19	60.20749665327979	S	NA	MHS446	virus_OG
4QE2W|Virus	1	4.761904761904762	S	NA	MHS446	virus_OG
4QEZU|Virus	2049	1318.5328185328185	S	L1 (late) protein	MHS446	virus_OG
4QFB4|Virus	52	49.24242424242424	S	NA	MHS446	virus_OG
4QFMI|Virus	25	26.371308016877638	S	PD-(D/E)XK nuclease superfamily	MHS446	virus_OG
4QGFR|Virus	21	47.945205479452056	S	NA	MHS446	virus_OG
4QGQN|Virus	2485	1375.5345133335563	L	Papillomavirus helicase	MHS446	virus_OG
4QGVM|Virus	2	5.649717514124294	S	NA	MHS446	virus_OG
4QH92|Virus	2	5.167958656330749	S	NA	MHS446	virus_OG
4QHDH|Virus	7	13.565891472868216	S	NA	MHS446	virus_OG
4QHHE|Virus	3	4.854368932038835	S	NA	MHS446	virus_OG
4QHQD|Virus	5	12.919896640826874	S	NA	MHS446	virus_OG
