virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAJ5|Virus	1	3.436426116838488	S	Major capsid protein Gp23	MHS460	virus_OG
4QAK6|Virus	743	694.7484757853792	S	N-acetylmuramoyl-L-alanine amidase activity	MHS460	virus_OG
4QAQV|Virus	2	6.872852233676976	S	protein disulfide oxidoreductase activity	MHS460	virus_OG
4QAR6|Virus	4	9.456264775413711	L	dUTP diphosphatase activity	MHS460	virus_OG
4QAWD|Virus	3	4.975124378109453	S	DNA polymerase type B, organellar and viral	MHS460	virus_OG
4QAZF|Virus	42	149.29220277102397	S	Protein of unknwon function (DUF3310)	MHS460	virus_OG
4QB0C|Virus	2	4.566210045662101	S	Endodeoxyribonuclease RusA	MHS460	virus_OG
4QBV3|Virus	16	9.132420091324201	S	Phage Terminase	MHS460	virus_OG
4QC3R|Virus	2	8.394044979410832	S	NA	MHS460	virus_OG
4QCCB|Virus	3	6.369426751592357	S	Pfam:Peptidase_M78	MHS460	virus_OG
4QD4X|Virus	3	7.142857142857143	S	NA	MHS460	virus_OG
4QDBK|Virus	1	3.745318352059925	S	NA	MHS460	virus_OG
4QDKP|Virus	12	21.474548163139104	S	transaminase activity	MHS460	virus_OG
4QDV8|Virus	1	3.367003367003367	S	NA	MHS460	virus_OG
4QDW3|Virus	5	4.9603174603174605	S	Phage Connector (GP10)	MHS460	virus_OG
4QE7B|Virus	2	4.11522633744856	S	metallocarboxypeptidase activity	MHS460	virus_OG
4QEM5|Virus	90	223.88059701492537	S	NA	MHS460	virus_OG
4QF51|Virus	2	3.875968992248062	S	NA	MHS460	virus_OG
4QFIF|Virus	1	3.584229390681003	S	NA	MHS460	virus_OG
4QFWR|Virus	1	3.663003663003663	S	NA	MHS460	virus_OG
4QGHH|Virus	89	106.11254703331156	S	NA	MHS460	virus_OG
4QGYH|Virus	1	4.016064257028113	S	NA	MHS460	virus_OG
