virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAK6|Virus	11412	13847.500390519726	S	N-acetylmuramoyl-L-alanine amidase activity	MHS507	virus_OG
4QAKE|Virus	2	3.4542314335060453	S	endonuclease activity	MHS507	virus_OG
4QAPV|Virus	1910	2708.7668203759135	S	DNA binding	MHS507	virus_OG
4QAQV|Virus	12	33.38747430339297	S	protein disulfide oxidoreductase activity	MHS507	virus_OG
4QAR6|Virus	25	59.42529023010059	L	dUTP diphosphatase activity	MHS507	virus_OG
4QAU9|Virus	4	6.379585326953748	S	Single-strand binding protein family	MHS507	virus_OG
4QAWG|Virus	8	9.389671361502348	S	DnaB-like helicase C terminal domain	MHS507	virus_OG
4QAX8|Virus	14	27.290448343079923	S	calcium ion binding	MHS507	virus_OG
4QAY9|Virus	6	9.216589861751151	S	hydrolase activity, acting on acid anhydrides	MHS507	virus_OG
4QAYV|Virus	21	25.958553569930363	S	Phage portal protein	MHS507	virus_OG
4QAZF|Virus	7	16.829004329004327	S	Protein of unknwon function (DUF3310)	MHS507	virus_OG
4QB0W|Virus	5	12.43781094527363	S	Protein of unknown function (DUF1064)	MHS507	virus_OG
4QB5I|Virus	1	3.546099290780142	S	N-methyltransferase activity	MHS507	virus_OG
4QB6U|Virus	1	3.436426116838488	S	Terminase small subunit	MHS507	virus_OG
4QBET|Virus	1	4.694835680751174	S	hydrolase activity, acting on ester bonds	MHS507	virus_OG
4QBH1|Virus	6	11.76470588235294	S	AAA domain	MHS507	virus_OG
4QBHS|Virus	1	4.694835680751174	S	DNA metabolic process	MHS507	virus_OG
4QBNM|Virus	21	35.35353535353536	S	serine-type endopeptidase activity	MHS507	virus_OG
4QBSI|Virus	59	15.620863118877415	S	NA	MHS507	virus_OG
4QBV3|Virus	11	32.95477369209237	S	Phage Terminase	MHS507	virus_OG
4QC2G|Virus	23	39.72366148531952	S	Ribonucleotide reductase, small chain	MHS507	virus_OG
4QC3R|Virus	5	18.115942028985504	S	NA	MHS507	virus_OG
4QCB0|Virus	19	34.798534798534796	S	nuclease activity	MHS507	virus_OG
4QCCB|Virus	7	15.15151515151515	S	Pfam:Peptidase_M78	MHS507	virus_OG
4QE7B|Virus	141	126.2571876317701	S	metallocarboxypeptidase activity	MHS507	virus_OG
4QE9D|Virus	2384	8617.881944444445	S	NA	MHS507	virus_OG
4QFB4|Virus	24	22.727272727272727	S	NA	MHS507	virus_OG
4QFMI|Virus	2	8.438818565400844	S	PD-(D/E)XK nuclease superfamily	MHS507	virus_OG
4QFWR|Virus	2	8.130081300813009	S	NA	MHS507	virus_OG
4QG3J|Virus	59	44.4947209653092	S	Domain of unknown function (DUF4041)	MHS507	virus_OG
4QGHT|Virus	4542	8273.224043715847	S	Peptidase_C39 like family	MHS507	virus_OG
