virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAK6|Virus	3711	3103.017455161205	S	N-acetylmuramoyl-L-alanine amidase activity	MHS564	virus_OG
4QAR7|Virus	4	6.734006734006734	S	Phage portal protein, SPP1 Gp6-like	MHS564	virus_OG
4QAVQ|Virus	2	3.5273368606701943	S	Phage major tail protein 2	MHS564	virus_OG
4QAWN|Virus	3	9.25925925925926	S	Pfam:YdaS_antitoxin	MHS564	virus_OG
4QAXQ|Virus	1103	883.118703639537	S	Ribonucleotide reductase, barrel domain	MHS564	virus_OG
4QAYV|Virus	19	22.318132231956135	S	Phage portal protein	MHS564	virus_OG
4QB54|Virus	1	3.9215686274509802	S	NA	MHS564	virus_OG
4QBMM|Virus	11	15.66951566951567	S	NA	MHS564	virus_OG
4QBPB|Virus	7	19.709259041573606	S	NA	MHS564	virus_OG
4QBV3|Virus	3	5.405405405405405	S	Phage Terminase	MHS564	virus_OG
4QCCS|Virus	1	4.065040650406504	S	Bacteriophage holin	MHS564	virus_OG
4QD1J|Virus	10	32.489371152991936	S	Protein of unknown function (DUF1364)	MHS564	virus_OG
4QD4X|Virus	3	7.142857142857143	S	NA	MHS564	virus_OG
4QDBK|Virus	2	5.376344086021505	S	NA	MHS564	virus_OG
4QDKP|Virus	256	457.26171402872643	S	transaminase activity	MHS564	virus_OG
4QDV8|Virus	7	14.675052410901468	S	NA	MHS564	virus_OG
4QDW3|Virus	2	4.694835680751174	S	Phage Connector (GP10)	MHS564	virus_OG
4QDY5|Virus	1	4.329004329004329	S	NA	MHS564	virus_OG
4QE1H|Virus	5	20.080321285140563	S	NA	MHS564	virus_OG
4QE9D|Virus	9	25	S	NA	MHS564	virus_OG
4QEGJ|Virus	4	4.1928721174004195	S	NA	MHS564	virus_OG
4QESX|Virus	1	3.623188405797101	S	NA	MHS564	virus_OG
4QF38|Virus	2	3.7037037037037033	S	RNA ligase (ATP) activity	MHS564	virus_OG
4QFB2|Virus	1	4.219409282700422	S	NA	MHS564	virus_OG
4QFMI|Virus	10	10.319917440660475	S	PD-(D/E)XK nuclease superfamily	MHS564	virus_OG
4QFWR|Virus	1	3.7037037037037033	S	NA	MHS564	virus_OG
4QFXF|Virus	23	24.26160337552743	L	Helix-turn-helix domain	MHS564	virus_OG
4QFY7|Virus	3	10	S	Staphylococcal/Streptococcal toxin, beta-grasp domain	MHS564	virus_OG
4QGJD|Virus	7	15.298175344904315	S	NA	MHS564	virus_OG
4QGN0|Virus	2	5.291005291005291	S	NA	MHS564	virus_OG
4QGVM|Virus	6	16.80672268907563	S	NA	MHS564	virus_OG
4QHQD|Virus	6	5.747126436781609	S	NA	MHS564	virus_OG
