virus_OG	read_count_sum	RPK_sum	virus_eggnog_cat	virus_eggnog_desc	LIBID	feature_class
4QAIJ|Virus	3	9.345794392523365	S	C-5 cytosine-specific DNA methylase	MHS474	virus_OG
4QAIU|Virus	16	28.444444444444443	S	HNH endonuclease	MHS474	virus_OG
4QAK6|Virus	4228	3545.0212120060482	S	N-acetylmuramoyl-L-alanine amidase activity	MHS474	virus_OG
4QAKE|Virus	6	19.973872387238725	S	endonuclease activity	MHS474	virus_OG
4QAR6|Virus	3	7.042253521126761	L	dUTP diphosphatase activity	MHS474	virus_OG
4QAR7|Virus	58	58.01473875018152	S	Phage portal protein, SPP1 Gp6-like	MHS474	virus_OG
4QARF|Virus	10	7.733952049497294	S	Pfam:Terminase_3C	MHS474	virus_OG
4QAU9|Virus	3	7.246376811594203	S	Single-strand binding protein family	MHS474	virus_OG
4QAX8|Virus	1	3.623188405797101	S	calcium ion binding	MHS474	virus_OG
4QB0W|Virus	6	14.598540145985403	S	Protein of unknown function (DUF1064)	MHS474	virus_OG
4QB5I|Virus	3	4.587155963302752	S	N-methyltransferase activity	MHS474	virus_OG
4QBF8|Virus	37	52.44864079684582	S	Phage tail protein	MHS474	virus_OG
4QBFR|Virus	3	4.587155963302752	S	ERF superfamily	MHS474	virus_OG
4QBH7|Virus	4	9.876543209876543	S	DNA ligase (NAD+) activity	MHS474	virus_OG
4QBMM|Virus	52	46.973803071364046	S	NA	MHS474	virus_OG
4QBV3|Virus	54	35.714285714285715	S	Phage Terminase	MHS474	virus_OG
4QD62|Virus	1	4.385964912280701	S	NA	MHS474	virus_OG
4QDBK|Virus	27	79.61795610738392	S	NA	MHS474	virus_OG
4QDV8|Virus	23	50.25568682771998	S	NA	MHS474	virus_OG
4QE1H|Virus	15	42.016806722689076	S	NA	MHS474	virus_OG
4QE7B|Virus	17	13.589409687547436	S	metallocarboxypeptidase activity	MHS474	virus_OG
4QE9D|Virus	5	20.13888888888889	S	NA	MHS474	virus_OG
4QFB2|Virus	1	5.46448087431694	S	NA	MHS474	virus_OG
4QFEN|Virus	2	3.7243947858472994	S	NA	MHS474	virus_OG
4QFMI|Virus	4	10.840108401084011	S	PD-(D/E)XK nuclease superfamily	MHS474	virus_OG
4QG2D|Virus	2	4.219409282700422	S	NA	MHS474	virus_OG
4QGJD|Virus	5	19.832797797473994	S	NA	MHS474	virus_OG
4QGVM|Virus	18	52.01595186186866	S	NA	MHS474	virus_OG
4QHG3|Virus	2	5.698005698005699	S	Pfam:DUF5406	MHS474	virus_OG
4QHG7|Virus	2	8.547008547008547	S	PD-(D/E)XK nuclease superfamily	MHS474	virus_OG
4QHQD|Virus	13	21.10369546409591	S	NA	MHS474	virus_OG
4QHQV|Virus	4	6.379585326953748	S	virus tail assembly	MHS474	virus_OG
